level	start	end	color	opacity	title	initiation	in	out	children	parents	prof_uid
3	10810	10904	#00ff3c	1.0	Deferred Enqueue Task	1					1187
3	10963	11117	#be00ff	1.0	Scheduler	0					1188
3	11149	11468	#ff1100	1.0	Task Physical Dependence Analysis	1					905
3	11481	11485	#FFC0CB	1.0	ProfTask <1>						986
3	11657	11896	#ff9800	1.0	Logical Dependence Analysis	3					1189
3	11924	11953	#333399	1.0	Deferred Ready Trigger	3					20
3	11970	11983	#333399	1.0	Deferred Ready Trigger	4					21
3	11996	12014	#be00ff	1.0	Scheduler	0					1190
3	12025	12100	#ff2300	1.0	Operation Physical Dependence Analysis	3					1191
3	12117	12192	#ff1100	1.0	Task Physical Dependence Analysis	4					906
3	12204	12206	#FFC0CB	1.0	ProfTask <4>						988
3	12305	12330	#006600	1.0	Post-Task Execution	4					1192
3	12352	12565	#ca00ff	1.0	Deferred Post-Task Execution	4					1193
3	12586	12618	#ff9800	1.0	Logical Dependence Analysis	5					1194
3	12636	12644	#333399	1.0	Deferred Ready Trigger	5					1195
3	12660	12672	#333399	1.0	Deferred Ready Trigger	6					1196
3	12683	12702	#be00ff	1.0	Scheduler	0					23
3	12732	12740	#ff2300	1.0	Operation Physical Dependence Analysis	5					25
3	12753	12792	#ff1100	1.0	Task Physical Dependence Analysis	6					907
3	12804	12807	#FFC0CB	1.0	ProfTask <6>						990
3	12850	12864	#006600	1.0	Post-Task Execution	6					26
3	12887	12903	#ca00ff	1.0	Deferred Post-Task Execution	6					908
3	12919	12921	#FFC0CB	1.0	ProfTask <6>						992
3	13530	20984	#ff9800	1.0	Logical Dependence Analysis	7					1197
3	21008	21096	#333399	1.0	Deferred Ready Trigger	7					1198
3	21113	21122	#cdff00	1.0	Prepipeline Stage	7					1199
3	21157	21789	#ff2300	1.0	Operation Physical Dependence Analysis	7					909
3	21789	21814	#ff2300	0.15	Operation Physical Dependence Analysis (waiting)	7					909
3	21814	21824	#ff2300	0.45	Operation Physical Dependence Analysis (ready)	7					909
3	21824	22547	#ff2300	1.0	Operation Physical Dependence Analysis	7					909
2	21266	22036	#8eff00	1.0	Mapper Call map_inline for 7	7					982
3	22575	22581	#FFC0CB	1.0	ProfTask <7>						994
3	22756	22849	#ff9800	1.0	Logical Dependence Analysis	8					28
3	22869	22912	#333399	1.0	Deferred Ready Trigger	8					29
3	22925	23037	#ff9800	1.0	Logical Dependence Analysis	9					30
3	23053	23063	#333399	1.0	Deferred Ready Trigger	9					31
3	23074	23088	#be00ff	1.0	Scheduler	0					32
3	23096	23367	#ff9800	1.0	Logical Dependence Analysis	10					34
3	23383	23394	#333399	1.0	Deferred Ready Trigger	13					36
3	23401	23552	#ff9800	1.0	Logical Dependence Analysis	14					38
3	23566	23574	#333399	1.0	Deferred Ready Trigger	14					39
3	23581	23589	#333399	1.0	Deferred Ready Trigger	15					40
3	23596	23608	#be00ff	1.0	Scheduler	0					41
3	23615	23619	#333399	1.0	Deferred Ready Trigger	19					43
3	23624	23629	#333399	1.0	Deferred Ready Trigger	20					45
3	23636	23641	#333399	1.0	Deferred Ready Trigger	21					47
3	23647	23686	#ff2300	1.0	Operation Physical Dependence Analysis	21					90
3	23686	63740	#ff2300	0.15	Operation Physical Dependence Analysis (waiting)	21					90
3	63740	64005	#ff2300	0.45	Operation Physical Dependence Analysis (ready)	21					90
3	64005	64929	#ff2300	1.0	Operation Physical Dependence Analysis	21					90
2	23711	23798	#ff2300	1.0	Operation Physical Dependence Analysis	8					48
2	23814	23817	#cdff00	1.0	Prepipeline Stage	10					49
2	23823	24009	#ff1100	1.0	Task Physical Dependence Analysis	9					50
2	24009	24029	#ff1100	0.15	Task Physical Dependence Analysis (waiting)	9					50
2	24029	24034	#ff1100	0.45	Task Physical Dependence Analysis (ready)	9					50
2	24034	24185	#ff1100	1.0	Task Physical Dependence Analysis	9					50
1	23851	24089	#ff00b9	1.0	Mapper Call map_task for 9	9					983
2	24197	24228	#333399	1.0	Deferred Ready Trigger	10					51
2	24237	24244	#333399	1.0	Deferred Ready Trigger	11					53
2	24250	43310	#ff2300	1.0	Operation Physical Dependence Analysis	10					54
2	43327	43514	#ff2300	1.0	Operation Physical Dependence Analysis	11					55
2	43533	43539	#333399	1.0	Deferred Ready Trigger	12					57
2	43546	43552	#ff2300	1.0	Operation Physical Dependence Analysis	13					58
2	43558	43563	#ff2300	1.0	Operation Physical Dependence Analysis	14					59
2	43568	48598	#ff1100	1.0	Task Physical Dependence Analysis	15					60
2	48598	48606	#ff1100	0.15	Task Physical Dependence Analysis (waiting)	15					60
2	48606	48614	#ff1100	0.45	Task Physical Dependence Analysis (ready)	15					60
2	48614	48722	#ff1100	1.0	Task Physical Dependence Analysis	15					60
1	43586	48642	#ff00b9	1.0	Mapper Call map_task for 15	15					984
2	48734	48745	#333399	1.0	Deferred Ready Trigger	16					62
2	48756	48763	#333399	1.0	Deferred Ready Trigger	17					64
2	48772	56897	#ff2300	1.0	Operation Physical Dependence Analysis	16					65
2	56915	56924	#f100ff	1.0	Tighten Index Space	10					66
2	56931	56933	#f100ff	1.0	Tighten Index Space	10					67
2	56939	56940	#f100ff	1.0	Tighten Index Space	10					68
2	56945	56946	#f100ff	1.0	Tighten Index Space	16					69
2	56951	56952	#f100ff	1.0	Tighten Index Space	16					70
2	56957	56958	#f100ff	1.0	Tighten Index Space	16					71
2	56963	56964	#f100ff	1.0	Tighten Index Space	16					72
2	56969	56970	#f100ff	1.0	Tighten Index Space	16					73
2	56975	56977	#f100ff	1.0	Tighten Index Space	16					74
2	56983	56984	#f100ff	1.0	Tighten Index Space	16					75
2	56990	56991	#f100ff	1.0	Tighten Index Space	16					76
2	56998	56999	#f100ff	1.0	Tighten Index Space	16					77
2	57005	57006	#f100ff	1.0	Tighten Index Space	16					78
2	57011	57012	#f100ff	1.0	Tighten Index Space	16					79
2	57017	57018	#f100ff	1.0	Tighten Index Space	16					80
2	57023	57024	#f100ff	1.0	Tighten Index Space	16					81
2	57029	57030	#f100ff	1.0	Tighten Index Space	16					82
2	57034	57036	#f100ff	1.0	Tighten Index Space	16					83
2	57040	57041	#f100ff	1.0	Tighten Index Space	16					84
2	57046	57047	#f100ff	1.0	Tighten Index Space	16					85
2	57052	57053	#f100ff	1.0	Tighten Index Space	16					86
2	57058	57059	#f100ff	1.0	Tighten Index Space	16					87
2	57064	57065	#f100ff	1.0	Tighten Index Space	16					88
2	57070	63981	#ff2300	1.0	Operation Physical Dependence Analysis	17					89
3	64947	64951	#f100ff	1.0	Tighten Index Space	11					91
3	64959	64961	#f100ff	1.0	Tighten Index Space	11					92
3	64968	64969	#f100ff	1.0	Tighten Index Space	11					93
3	64975	64977	#f100ff	1.0	Tighten Index Space	17					94
3	64983	64985	#f100ff	1.0	Tighten Index Space	17					95
3	64991	64992	#f100ff	1.0	Tighten Index Space	17					96
3	64999	65000	#f100ff	1.0	Tighten Index Space	17					97
3	65008	65010	#f100ff	1.0	Tighten Index Space	17					98
3	65016	65018	#f100ff	1.0	Tighten Index Space	17					99
3	65024	65026	#f100ff	1.0	Tighten Index Space	17					100
3	65033	65035	#f100ff	1.0	Tighten Index Space	17					101
3	65097	65102	#f100ff	1.0	Tighten Index Space	17					102
3	65125	65128	#f100ff	1.0	Tighten Index Space	17					103
3	65163	65165	#f100ff	1.0	Tighten Index Space	17					104
3	65173	65174	#f100ff	1.0	Tighten Index Space	17					105
3	65181	65182	#f100ff	1.0	Tighten Index Space	17					106
3	65191	65193	#f100ff	1.0	Tighten Index Space	17					107
3	65210	65211	#f100ff	1.0	Tighten Index Space	17					108
3	65223	65224	#f100ff	1.0	Tighten Index Space	17					109
3	65228	65229	#f100ff	1.0	Tighten Index Space	17					110
3	65236	65237	#f100ff	1.0	Tighten Index Space	17					111
3	65244	65245	#f100ff	1.0	Tighten Index Space	17					112
3	65252	65253	#f100ff	1.0	Tighten Index Space	17					113
3	65260	65261	#f100ff	1.0	Tighten Index Space	21					114
3	65267	65268	#f100ff	1.0	Tighten Index Space	21					115
3	65274	65275	#f100ff	1.0	Tighten Index Space	21					116
3	65280	65281	#f100ff	1.0	Tighten Index Space	21					117
3	65288	65289	#f100ff	1.0	Tighten Index Space	21					118
3	65295	65296	#f100ff	1.0	Tighten Index Space	21					119
3	65301	65302	#f100ff	1.0	Tighten Index Space	21					120
3	65309	65310	#f100ff	1.0	Tighten Index Space	21					121
3	65317	65318	#f100ff	1.0	Tighten Index Space	21					122
3	65331	65332	#f100ff	1.0	Tighten Index Space	21					123
3	65343	65344	#f100ff	1.0	Tighten Index Space	21					124
3	65354	65355	#f100ff	1.0	Tighten Index Space	21					125
3	65362	65363	#f100ff	1.0	Tighten Index Space	21					126
3	65370	65371	#f100ff	1.0	Tighten Index Space	21					127
3	65381	65382	#f100ff	1.0	Tighten Index Space	21					128
3	65393	65394	#f100ff	1.0	Tighten Index Space	21					129
3	65404	65405	#f100ff	1.0	Tighten Index Space	21					130
3	65413	65414	#f100ff	1.0	Tighten Index Space	21					131
3	65420	65421	#f100ff	1.0	Tighten Index Space	21					132
3	65428	65429	#f100ff	1.0	Tighten Index Space	21					133
3	65436	65437	#f100ff	1.0	Tighten Index Space	21					134
3	65447	65448	#f100ff	1.0	Tighten Index Space	21					135
3	65457	65458	#f100ff	1.0	Tighten Index Space	21					136
3	65465	65466	#f100ff	1.0	Tighten Index Space	21					137
3	65477	65478	#f100ff	1.0	Tighten Index Space	21					138
3	65488	65489	#f100ff	1.0	Tighten Index Space	21					139
3	65499	65500	#f100ff	1.0	Tighten Index Space	21					140
3	65506	65507	#f100ff	1.0	Tighten Index Space	21					141
