time	count
0.00	0.00
15223.00	1.00
15313.00	0.00
15357.00	1.00
15446.00	0.00
15467.00	1.00
15727.00	0.00
15736.00	1.00
15738.00	0.00
15932.00	1.00
16173.00	0.00
16197.00	1.00
16216.00	0.00
16235.00	1.00
16246.00	0.00
16273.00	1.00
16288.00	0.00
16306.00	1.00
16369.00	0.00
16386.00	1.00
16428.00	0.00
16500.00	1.00
16515.00	0.00
16532.00	1.00
16670.00	0.00
16688.00	1.00
16707.00	0.00
16715.00	1.00
16722.00	0.00
16731.00	1.00
16738.00	0.00
16747.00	1.00
16757.00	0.00
16769.00	1.00
16773.00	0.00
16785.00	1.00
16818.00	0.00
16825.00	1.00
16826.00	0.00
16829.00	1.00
16834.00	0.00
16854.00	1.00
16869.00	0.00
16882.00	1.00
16883.00	0.00
17378.00	1.00
17420.00	0.00
17435.00	1.00
24388.00	0.00
24406.00	1.00
24466.00	0.00
24482.00	1.00
25763.00	0.00
25785.00	1.00
25790.00	0.00
25981.00	1.00
26049.00	0.00
26077.00	1.00
26122.00	0.00
26137.00	1.00
26250.00	0.00
26268.00	1.00
26277.00	0.00
26287.00	1.00
26301.00	0.00
26327.00	1.00
26526.00	0.00
26547.00	1.00
26693.00	0.00
26710.00	1.00
26715.00	0.00
26721.00	1.00
26724.00	0.00
26732.00	1.00
26740.00	0.00
26749.00	1.00
26766.00	0.00
26779.00	1.00
26785.00	0.00
26794.00	1.00
26802.00	0.00
26817.00	1.00
26824.00	0.00
26839.00	1.00
26846.00	0.00
26857.00	1.00
26885.00	0.00
26910.00	1.00
26991.00	0.00
27013.00	1.00
27015.00	0.00
27029.00	1.00
27387.00	0.00
27410.00	1.00
27442.00	0.00
27481.00	1.00
27495.00	0.00
27526.00	1.00
39155.00	0.00
39203.00	1.00
39378.00	0.00
39401.00	1.00
39408.00	0.00
39416.00	1.00
39421.00	0.00
39426.00	1.00
39431.00	0.00
39441.00	1.00
251275.00	0.00
251284.00	1.00
251292.00	0.00
251300.00	1.00
251306.00	0.00
251311.00	1.00
259206.00	0.00
259253.00	1.00
259262.00	0.00
259285.00	1.00
259287.00	0.00
259332.00	1.00
259337.00	0.00
259360.00	1.00
259363.00	0.00
259374.00	1.00
259376.00	0.00
259384.00	1.00
259385.00	0.00
259392.00	1.00
259393.00	0.00
259400.00	1.00
259401.00	0.00
259416.00	1.00
259418.00	0.00
259431.00	1.00
259433.00	0.00
259444.00	1.00
259446.00	0.00
259453.00	1.00
259455.00	0.00
259464.00	1.00
259466.00	0.00
259470.00	1.00
259471.00	0.00
259475.00	1.00
259476.00	0.00
259480.00	1.00
259481.00	0.00
259484.00	1.00
259485.00	0.00
259489.00	1.00
259490.00	0.00
259494.00	1.00
259495.00	0.00
259499.00	1.00
259500.00	0.00
259503.00	1.00
259504.00	0.00
259508.00	1.00
259509.00	0.00
259513.00	1.00
259514.00	0.00
259518.00	1.00
266200.00	0.00
266217.00	1.00
266853.00	0.00
266940.00	1.00
266947.00	0.00
266979.00	1.00
266982.00	0.00
266997.00	1.00
266998.00	0.00
267014.00	1.00
267016.00	0.00
267032.00	1.00
267033.00	0.00
267047.00	1.00
267049.00	0.00
267077.00	1.00
267079.00	0.00
267161.00	1.00
267167.00	0.00
267197.00	1.00
267201.00	0.00
267218.00	1.00
267220.00	0.00
267236.00	1.00
267238.00	0.00
267256.00	1.00
267258.00	0.00
267276.00	1.00
267278.00	0.00
267297.00	1.00
267298.00	0.00
267309.00	1.00
267310.00	0.00
267319.00	1.00
267320.00	0.00
267334.00	1.00
267335.00	0.00
267347.00	1.00
267348.00	0.00
267359.00	1.00
267360.00	0.00
267370.00	1.00
267372.00	0.00
267383.00	1.00
267384.00	0.00
267409.00	1.00
267412.00	0.00
267426.00	1.00
267427.00	0.00
267438.00	1.00
267439.00	0.00
267453.00	1.00
267454.00	0.00
267467.00	1.00
267468.00	0.00
267481.00	1.00
267483.00	0.00
267505.00	1.00
267512.00	0.00
267530.00	1.00
267532.00	0.00
267553.00	1.00
267554.00	0.00
267577.00	1.00
267579.00	0.00
267595.00	1.00
267597.00	0.00
267616.00	1.00
267621.00	0.00
267635.00	1.00
267636.00	0.00
267651.00	1.00
