level	start	end	color	opacity	title	initiation	in	out	children	parents	prof_uid
4	314846	315917	#ff002c	1.0	Copy size=100000	72					5248
4	317608	318132	#ff002c	1.0	Copy size=5000	72					5250
3	317723	318112	#ff002c	1.0	Copy size=5000	72					5249
2	317836	318091	#ff002c	1.0	Copy size=5000	72					149
1	317948	318068	#ff002c	1.0	Copy size=5000	72					148
4	318402	319458	#ff002c	1.0	Copy size=100000	72					4114
4	325327	328211	#ff002c	1.0	Copy size=100000	150					4547
4	328381	328844	#ff002c	1.0	Copy size=5000	150					5255
3	328552	328816	#ff002c	1.0	Copy size=5000	150					5254
2	328610	328800	#ff002c	1.0	Copy size=5000	150					5253
1	328663	328780	#ff002c	1.0	Copy size=5000	150					4548
4	330306	331372	#ff002c	1.0	Copy size=100000	150					4115
4	339281	341839	#ff002c	1.0	Copy size=100000	156					4552
4	341931	342433	#ff002c	1.0	Copy size=5000	156					4556
3	342104	342417	#ff002c	1.0	Copy size=5000	156					4555
2	342274	342400	#ff002c	1.0	Copy size=5000	156					4554
1	342327	342380	#ff002c	1.0	Copy size=5000	156					4553
4	343850	344903	#ff002c	1.0	Copy size=100000	156					4118
