time	count
0.00	0.00
149424.00	0.12
149443.00	0.00
149804.00	0.12
149805.00	0.00
149818.00	0.12
149859.00	0.00
149888.00	0.12
149932.00	0.00
149937.00	0.12
149973.00	0.00
150143.00	0.12
150155.00	0.00
150397.00	0.12
150398.00	0.00
150472.00	0.12
150489.00	0.00
150504.00	0.12
150522.00	0.00
150543.00	0.12
150545.00	0.00
150586.00	0.12
150597.00	0.00
150644.00	0.12
150663.00	0.00
150865.00	0.12
150866.00	0.00
150929.00	0.12
150935.00	0.25
150947.00	0.12
150952.00	0.00
150966.00	0.12
150968.00	0.00
150998.00	0.12
151000.00	0.00
151052.00	0.12
151053.00	0.00
