time	count
0.00	0.00
17883.00	0.06
17927.00	0.00
17990.00	0.06
17991.00	0.00
18232.00	0.06
18387.00	0.00
18570.00	0.06
18575.00	0.00
18595.00	0.06
18596.00	0.00
18613.00	0.06
18632.00	0.00
18647.00	0.06
18677.00	0.00
18722.00	0.06
18723.00	0.00
18774.00	0.06
18783.00	0.12
18786.00	0.06
18805.00	0.00
18837.00	0.06
18841.00	0.00
18904.00	0.06
18932.00	0.00
18954.00	0.06
18995.00	0.00
19075.00	0.06
19077.00	0.00
19109.00	0.06
19111.00	0.00
19123.00	0.06
19125.00	0.00
19151.00	0.06
19168.00	0.00
19177.00	0.06
19179.00	0.00
19196.00	0.06
19198.00	0.00
19246.00	0.06
19259.00	0.12
19260.00	0.06
19269.00	0.00
19289.00	0.06
19291.00	0.00
19294.00	0.06
19296.00	0.00
19303.00	0.06
19327.00	0.12
19328.00	0.06
19832.00	0.00
26950.00	0.06
26953.00	0.00
27027.00	0.06
27028.00	0.00
27058.00	0.06
27069.00	0.00
27492.00	0.06
27505.00	0.00
27995.00	0.06
28053.00	0.12
28060.00	0.06
28274.00	0.12
28275.00	0.06
28441.00	0.12
28442.00	0.06
28602.00	0.12
28603.00	0.06
28639.00	0.12
28646.00	0.06
28677.00	0.12
28723.00	0.06
28927.00	0.12
28928.00	0.06
28958.00	0.12
28959.00	0.06
28985.00	0.12
28987.00	0.06
29014.00	0.12
29015.00	0.06
29067.00	0.12
29069.00	0.06
29115.00	0.12
29117.00	0.06
29139.00	0.12
29142.00	0.06
29163.00	0.12
29164.00	0.06
29189.00	0.12
29190.00	0.06
29245.00	0.12
29246.00	0.06
29331.00	0.12
29338.00	0.06
29491.00	0.12
29492.00	0.06
29633.00	0.12
29639.00	0.19
29642.00	0.12
29673.00	0.19
29674.00	0.12
29695.00	0.19
29697.00	0.12
29995.00	0.06
30012.00	0.12
30014.00	0.06
45687.00	0.12
45690.00	0.06
45856.00	0.12
45858.00	0.06
45876.00	0.12
45878.00	0.06
45922.00	0.12
45924.00	0.06
45959.00	0.12
45961.00	0.06
46077.00	0.12
46079.00	0.06
46165.00	0.12
46190.00	0.19
46192.00	0.12
46203.00	0.06
