time	count
0.00	0.00
17765.00	0.50
17835.00	0.00
17882.00	0.50
17963.00	0.00
17988.00	0.50
18220.00	0.00
18229.00	0.50
18230.00	0.00
18390.00	0.50
18548.00	0.00
18569.00	0.50
18588.00	0.00
18595.00	0.50
18604.00	0.00
18611.00	0.50
18622.00	0.00
18644.00	0.50
18702.00	0.00
18722.00	0.50
18766.00	0.00
18861.00	0.50
18878.00	0.00
18902.00	0.50
19043.00	0.00
19073.00	0.50
19094.00	0.00
19106.00	0.50
19110.00	0.00
19122.00	0.50
19130.00	0.00
19147.00	0.50
19158.00	0.00
19175.00	0.50
19179.00	0.00
19197.00	0.50
19242.00	0.00
19273.00	0.50
19281.00	0.00
19290.00	0.50
19309.00	0.00
19876.00	0.50
26929.00	0.00
26954.00	0.50
27008.00	0.00
27028.00	0.50
27033.00	0.00
27061.00	0.50
28018.00	0.00
28191.00	0.50
28248.00	0.00
28370.00	0.50
28413.00	0.00
28448.00	0.50
28579.00	0.00
28608.00	0.50
28619.00	0.00
28642.00	0.50
28655.00	0.00
28677.00	0.50
28901.00	0.00
28938.00	0.50
28944.00	0.00
28957.00	0.50
28960.00	0.00
28987.00	0.50
28997.00	0.00
29023.00	0.50
29037.00	0.00
29083.00	0.50
29092.00	0.00
29114.00	0.50
29119.00	0.00
29139.00	0.50
29147.00	0.00
29163.00	0.50
29169.00	0.00
29189.00	0.50
29210.00	0.00
29225.00	0.50
29227.00	0.00
29248.00	0.50
29314.00	0.00
29335.00	0.50
29621.00	0.00
29630.00	0.50
29655.00	0.00
29674.00	0.50
29680.00	0.00
29696.00	0.50
45655.00	0.00
45679.00	0.50
45817.00	0.00
45840.00	0.50
45845.00	0.00
45890.00	0.50
45899.00	0.00
45919.00	0.50
45925.00	0.00
45960.00	0.50
46145.00	0.00
46193.00	0.50
46207.00	0.00
46229.00	0.50
46248.00	0.00
88662.00	0.50
88876.00	0.00
88895.00	0.50
96434.00	0.00
96455.00	0.50
103539.00	0.00
103561.00	0.50
103567.00	0.00
103660.00	0.50
103663.00	0.00
103674.00	0.50
103675.00	0.00
103689.00	0.50
103690.00	0.00
103707.00	0.50
103708.00	0.00
103722.00	0.50
103723.00	0.00
103762.00	0.50
103766.00	0.00
103788.00	0.50
103790.00	0.00
103806.00	0.50
103808.00	0.00
103828.00	0.50
103830.00	0.00
103849.00	0.50
103850.00	0.00
103864.00	0.50
103865.00	0.00
103874.00	0.50
103875.00	0.00
103891.00	0.50
103893.00	0.00
103914.00	0.50
103915.00	0.00
103929.00	0.50
103930.00	0.00
103943.00	0.50
103944.00	0.00
103958.00	0.50
103959.00	0.00
103972.00	0.50
103973.00	0.00
103985.00	0.50
103986.00	0.00
104000.00	0.50
104002.00	0.00
104020.00	0.50
104021.00	0.00
104037.00	0.50
104038.00	0.00
104067.00	0.50
104069.00	0.00
104085.00	0.50
104087.00	0.00
104103.00	0.50
104104.00	0.00
104116.00	0.50
104118.00	0.00
104133.00	0.50
104134.00	0.00
104149.00	0.50
104150.00	0.00
104187.00	0.50
104191.00	0.00
104214.00	0.50
104216.00	0.00
104235.00	0.50
104237.00	0.00
104253.00	0.50
104255.00	0.00
104266.00	0.50
104268.00	0.00
104281.00	0.50
104282.00	0.00
104293.00	0.50
104294.00	0.00
104307.00	0.50
104308.00	0.00
104324.00	0.50
104325.00	0.00
104340.00	0.50
104342.00	0.00
104354.00	0.50
104355.00	0.00
104368.00	0.50
104369.00	0.00
104382.00	0.50
104383.00	0.00
104410.00	0.50
104411.00	0.00
104430.00	0.50
104431.00	0.00
104443.00	0.50
104445.00	0.00
104457.00	0.50
104459.00	0.00
104470.00	0.50
104471.00	0.00
104483.00	0.50
104484.00	0.00
104495.00	0.50
104496.00	0.00
104508.00	0.50
104509.00	0.00
104522.00	0.50
104523.00	0.00
104540.00	0.50
104542.00	0.00
104558.00	0.50
104560.00	0.00
104574.00	0.50
104576.00	0.00
104587.00	0.50
104588.00	0.00
104604.00	0.50
104606.00	0.00
104620.00	0.50
104621.00	0.00
104634.00	0.50
104636.00	0.00
104650.00	0.50
104651.00	0.00
104666.00	0.50
104668.00	0.00
104680.00	0.50
104681.00	0.00
104696.00	0.50
104697.00	0.00
104716.00	0.50
104717.00	0.00
104734.00	0.50
104735.00	0.00
104751.00	0.50
104752.00	0.00
104766.00	0.50
104767.00	0.00
104781.00	0.50
104782.00	0.00
104798.00	0.50
104799.00	0.00
