time	count
0.00	0.00
11715.00	1.00
11816.00	0.00
11875.00	1.00
11990.00	0.00
12011.00	1.00
12288.00	0.00
12310.00	1.00
12314.00	0.00
12425.00	1.00
12507.00	0.00
12523.00	1.00
12554.00	0.00
12566.00	1.00
12692.00	0.00
12706.00	1.00
12728.00	0.00
12736.00	1.00
12751.00	0.00
12759.00	1.00
12835.00	0.00
12850.00	1.00
12901.00	0.00
12911.00	1.00
12914.00	0.00
13018.00	1.00
13048.00	0.00
13069.00	1.00
13290.00	0.00
13311.00	1.00
13344.00	0.00
13359.00	1.00
13368.00	0.00
13399.00	1.00
13412.00	0.00
13423.00	1.00
13441.00	0.00
13452.00	1.00
13459.00	0.00
13481.00	1.00
13557.00	0.00
13570.00	1.00
13573.00	0.00
13579.00	1.00
13588.00	0.00
13605.00	1.00
13626.00	0.00
13636.00	1.00
13637.00	0.00
14184.00	1.00
21466.00	0.00
21481.00	1.00
21548.00	0.00
21559.00	1.00
21567.00	0.00
21572.00	1.00
22732.00	0.00
22746.00	1.00
22751.00	0.00
22934.00	1.00
23021.00	0.00
23039.00	1.00
23075.00	0.00
23083.00	1.00
23090.00	0.00
23097.00	1.00
23106.00	0.00
23113.00	1.00
26008.00	0.00
26020.00	1.00
26026.00	0.00
26032.00	1.00
26033.00	0.00
26038.00	1.00
26039.00	0.00
26043.00	1.00
26044.00	0.00
26049.00	1.00
26050.00	0.00
26054.00	1.00
26055.00	0.00
26060.00	1.00
26061.00	0.00
26065.00	1.00
26066.00	0.00
26071.00	0.00
26076.00	1.00
26077.00	0.00
26082.00	0.00
26087.00	1.00
26088.00	0.00
26092.00	1.00
26093.00	0.00
26098.00	1.00
26099.00	0.00
26103.00	1.00
26104.00	0.00
26109.00	1.00
26110.00	0.00
26114.00	1.00
26115.00	0.00
26120.00	0.00
26125.00	1.00
26126.00	0.00
26130.00	1.00
26131.00	0.00
26136.00	1.00
26137.00	0.00
26141.00	1.00
26142.00	0.00
26146.00	1.00
26147.00	0.00
26152.00	0.00
26157.00	1.00
26158.00	0.00
26163.00	1.00
26164.00	0.00
26169.00	0.00
26174.00	1.00
26175.00	0.00
26179.00	1.00
26180.00	0.00
26185.00	1.00
26186.00	0.00
26190.00	1.00
26191.00	0.00
26196.00	1.00
26197.00	0.00
26201.00	1.00
26202.00	0.00
26207.00	1.00
26208.00	0.00
26212.00	1.00
26213.00	0.00
26218.00	1.00
26219.00	0.00
26223.00	1.00
26224.00	0.00
26228.00	1.00
26229.00	0.00
26234.00	1.00
26235.00	0.00
26239.00	1.00
26240.00	0.00
26249.00	1.00
26250.00	0.00
26255.00	1.00
26256.00	0.00
26260.00	1.00
26261.00	0.00
26266.00	1.00
26267.00	0.00
26271.00	1.00
26272.00	0.00
26277.00	1.00
26278.00	0.00
26282.00	1.00
26283.00	0.00
26288.00	1.00
26289.00	0.00
26293.00	1.00
26294.00	0.00
26299.00	1.00
26300.00	0.00
26304.00	1.00
26305.00	0.00
26309.00	1.00
26310.00	0.00
26315.00	1.00
26316.00	0.00
26320.00	1.00
26321.00	0.00
26326.00	0.00
26331.00	1.00
26332.00	0.00
26336.00	1.00
26337.00	0.00
26342.00	1.00
26343.00	0.00
26347.00	1.00
26348.00	0.00
26353.00	1.00
26354.00	0.00
26358.00	1.00
26359.00	0.00
26364.00	1.00
26365.00	0.00
26369.00	1.00
26370.00	0.00
26382.00	1.00
26383.00	0.00
26388.00	1.00
26389.00	0.00
26394.00	1.00
26395.00	0.00
26400.00	1.00
26401.00	0.00
26405.00	1.00
26406.00	0.00
26414.00	1.00
26415.00	0.00
26420.00	1.00
26421.00	0.00
26426.00	0.00
26431.00	1.00
26432.00	0.00
26436.00	1.00
26437.00	0.00
26442.00	1.00
26443.00	0.00
26447.00	1.00
26448.00	0.00
26453.00	1.00
26454.00	0.00
26458.00	1.00
26459.00	0.00
26464.00	1.00
26465.00	0.00
26469.00	1.00
26470.00	0.00
26475.00	1.00
26476.00	0.00
26480.00	1.00
26481.00	0.00
26486.00	1.00
26487.00	0.00
26491.00	1.00
26492.00	0.00
26497.00	1.00
26498.00	0.00
26502.00	1.00
26503.00	0.00
26508.00	1.00
26509.00	0.00
26513.00	1.00
26514.00	0.00
26519.00	0.00
26524.00	1.00
26525.00	0.00
26530.00	0.00
26535.00	1.00
26536.00	0.00
26540.00	1.00
26541.00	0.00
26546.00	0.00
26551.00	1.00
26552.00	0.00
26556.00	1.00
26557.00	0.00
26562.00	1.00
26563.00	0.00
26567.00	1.00
26568.00	0.00
26576.00	1.00
26577.00	0.00
26582.00	0.00
26587.00	1.00
26588.00	0.00
26593.00	1.00
26594.00	0.00
26598.00	1.00
26599.00	0.00
26604.00	0.00
26609.00	1.00
26610.00	0.00
26614.00	1.00
26615.00	0.00
26620.00	1.00
26621.00	0.00
26625.00	1.00
26626.00	0.00
26631.00	1.00
26632.00	0.00
26636.00	1.00
26637.00	0.00
26642.00	0.00
26647.00	1.00
26648.00	0.00
26652.00	1.00
26653.00	0.00
26658.00	1.00
26659.00	0.00
26663.00	1.00
26664.00	0.00
26669.00	0.00
26674.00	1.00
26675.00	0.00
26680.00	0.00
26685.00	1.00
26686.00	0.00
26690.00	1.00
26691.00	0.00
26696.00	1.00
26697.00	0.00
26701.00	1.00
26702.00	0.00
26707.00	1.00
26708.00	0.00
26712.00	1.00
26713.00	0.00
26721.00	0.00
26726.00	1.00
26727.00	0.00
26732.00	1.00
26733.00	0.00
26737.00	1.00
26738.00	0.00
26743.00	1.00
26744.00	0.00
26748.00	1.00
26749.00	0.00
