time	count
0.00	0.00
14725.00	0.12
14754.00	0.00
14863.00	0.12
14865.00	0.00
15141.00	0.12
15291.00	0.00
15344.00	0.12
15350.00	0.00
15381.00	0.12
15382.00	0.00
15536.00	0.12
15538.00	0.00
15543.00	0.12
15544.00	0.00
15579.00	0.12
15625.00	0.00
15686.00	0.12
15688.00	0.00
15732.00	0.12
15744.00	0.12
15759.00	0.00
15780.00	0.12
15790.00	0.00
15798.00	0.12
15839.00	0.00
15871.00	0.12
15911.00	0.00
16007.00	0.12
16008.00	0.00
16046.00	0.12
16047.00	0.00
16075.00	0.12
16095.00	0.00
16105.00	0.12
16135.00	0.00
16136.00	0.12
16139.00	0.00
16167.00	0.12
16169.00	0.00
16213.00	0.12
16224.00	0.00
16229.00	0.12
16231.00	0.00
16235.00	0.12
16236.00	0.00
16269.00	0.12
16272.00	0.00
16282.00	0.12
16301.00	0.25
16302.00	0.12
16831.00	0.00
24052.00	0.12
24054.00	0.00
24151.00	0.12
24155.00	0.00
24165.00	0.12
24175.00	0.00
24817.00	0.12
24842.00	0.00
25441.00	0.12
25693.00	0.25
25700.00	0.12
25715.00	0.25
25733.00	0.12
25743.00	0.25
25745.00	0.12
25777.00	0.25
25779.00	0.12
29634.00	0.25
29637.00	0.12
29656.00	0.25
29658.00	0.12
29663.00	0.25
29664.00	0.12
29684.00	0.25
29688.00	0.12
29699.00	0.25
29708.00	0.12
29716.00	0.25
29718.00	0.12
29753.00	0.25
29755.00	0.12
29773.00	0.25
29782.00	0.12
29791.00	0.25
29794.00	0.12
29814.00	0.25
29816.00	0.12
29831.00	0.25
29832.00	0.12
29848.00	0.25
29849.00	0.12
29864.00	0.25
29865.00	0.12
29882.00	0.25
29883.00	0.12
29900.00	0.25
29906.00	0.12
29924.00	0.25
29925.00	0.12
29951.00	0.25
29955.00	0.12
29964.00	0.25
29965.00	0.12
29985.00	0.12
30005.00	0.25
30006.00	0.12
30025.00	0.12
30047.00	0.25
30052.00	0.12
30068.00	0.25
30070.00	0.12
30092.00	0.25
30093.00	0.12
30116.00	0.25
30117.00	0.12
30142.00	0.25
30143.00	0.12
30162.00	0.25
30163.00	0.12
30180.00	0.25
30184.00	0.12
30206.00	0.12
30230.00	0.25
30231.00	0.12
30249.00	0.12
30266.00	0.25
30267.00	0.12
30287.00	0.25
30292.00	0.12
30304.00	0.25
30305.00	0.12
30314.00	0.00
30323.00	0.12
30324.00	0.00
30344.00	0.12
30345.00	0.00
30368.00	0.12
30369.00	0.00
30388.00	0.00
30407.00	0.12
30411.00	0.00
30432.00	0.00
30454.00	0.12
30463.00	0.00
30478.00	0.12
30479.00	0.00
30499.00	0.12
30501.00	0.00
30521.00	0.12
30522.00	0.00
30548.00	0.12
30549.00	0.00
30580.00	0.12
30598.00	0.25
30600.00	0.00
30627.00	0.12
30628.00	0.00
30646.00	0.12
30651.00	0.00
30666.00	0.12
30667.00	0.00
30684.00	0.00
30704.00	0.12
30705.00	0.00
30722.00	0.12
30723.00	0.00
30742.00	0.12
30745.00	0.00
30765.00	0.12
30766.00	0.00
30788.00	0.12
30789.00	0.00
30807.00	0.12
30808.00	0.00
30827.00	0.12
30828.00	0.00
30845.00	0.12
30846.00	0.00
30867.00	0.12
30869.00	0.00
30894.00	0.12
30898.00	0.00
30917.00	0.12
30918.00	0.00
30936.00	0.12
30937.00	0.00
30954.00	0.00
30972.00	0.00
30989.00	0.12
30993.00	0.00
31007.00	0.12
31008.00	0.00
31026.00	0.12
31027.00	0.00
31044.00	0.12
31045.00	0.00
31064.00	0.00
31081.00	0.00
31098.00	0.12
31102.00	0.00
31115.00	0.12
31116.00	0.00
31135.00	0.12
31136.00	0.00
31152.00	0.12
31153.00	0.00
31172.00	0.00
31189.00	0.12
31193.00	0.00
31208.00	0.12
31209.00	0.00
31226.00	0.00
31245.00	0.12
31246.00	0.00
31265.00	0.00
31282.00	0.12
31286.00	0.00
31300.00	0.12
31301.00	0.00
31317.00	0.12
31318.00	0.00
31335.00	0.00
31351.00	0.12
31352.00	0.00
31369.00	0.12
31374.00	0.00
31386.00	0.00
31403.00	0.12
31404.00	0.00
31420.00	0.12
31422.00	0.00
31441.00	0.00
31460.00	0.12
31461.00	0.00
31481.00	0.12
31485.00	0.00
31508.00	0.12
31509.00	0.00
31527.00	0.12
31528.00	0.00
31544.00	0.12
31545.00	0.00
31573.00	0.12
31577.00	0.00
31599.00	0.00
31620.00	0.12
31621.00	0.00
31644.00	0.12
31645.00	0.00
31663.00	0.12
31664.00	0.00
31688.00	0.12
31690.00	0.00
31710.00	0.12
31711.00	0.00
31731.00	0.00
31748.00	0.12
31752.00	0.00
31776.00	0.00
31798.00	0.12
31800.00	0.00
31825.00	0.00
31848.00	0.12
31850.00	0.00
