time	count
0.00	0.00
16155.00	0.50
16257.00	0.00
16315.00	0.50
16433.00	0.00
16457.00	0.50
16764.00	0.00
16784.00	0.50
16788.00	0.00
16927.00	0.50
17154.00	0.00
17171.00	0.50
17208.00	0.00
17221.00	0.50
17238.00	0.00
17260.00	0.50
17281.00	0.00
17293.00	0.50
17368.00	0.00
17384.00	0.50
17431.00	0.00
17443.00	0.50
17445.00	0.00
17476.00	0.50
17497.00	0.00
17519.00	0.50
17731.00	0.00
17752.00	0.50
17784.00	0.00
17797.00	0.50
17808.00	0.00
17821.00	0.50
17872.00	0.00
17891.00	0.50
17901.00	0.00
18265.00	0.50
18330.00	0.00
18491.00	0.50
18551.00	0.00
18957.00	0.50
19444.00	1.00
19549.00	0.50
19567.00	1.00
19573.00	0.50
19876.00	0.00
19888.00	0.50
19975.00	0.00
19996.00	0.50
20020.00	0.00
20032.00	0.50
20037.00	0.00
20040.00	0.50
20338.00	0.00
20354.00	0.50
20359.00	0.00
20378.00	0.50
20395.00	0.00
20416.00	0.50
20418.00	0.00
20511.00	0.50
20550.00	0.00
20570.00	0.50
20739.00	1.00
20779.00	0.50
20780.00	0.00
20794.00	0.50
20795.00	0.00
20796.00	0.50
20809.00	0.00
20819.00	0.50
20825.00	0.00
20829.00	0.50
20830.00	0.00
21458.00	0.50
28887.00	0.00
28908.00	0.50
28991.00	0.00
29006.00	0.50
29014.00	0.00
29022.00	0.50
30532.00	0.00
30551.00	0.50
30555.00	0.00
30744.00	0.50
30829.00	0.00
30844.00	0.50
30885.00	0.00
30898.00	0.50
30910.00	0.00
30917.00	0.50
30921.00	0.00
30929.00	0.50
30933.00	0.00
30938.00	0.50
34248.00	0.00
34261.00	0.50
34266.00	0.00
34272.00	0.50
34273.00	0.00
34279.00	0.50
34280.00	0.00
34285.00	0.50
34286.00	0.00
34292.00	0.00
34298.00	0.50
34299.00	0.00
34304.00	0.50
34305.00	0.00
34310.00	0.50
34311.00	0.00
34316.00	0.50
34317.00	0.00
34322.00	0.50
34323.00	0.00
34328.00	0.00
34334.00	0.00
34339.00	0.50
34340.00	0.00
34345.00	0.50
34346.00	0.00
34351.00	0.50
34352.00	0.00
34357.00	0.50
34358.00	0.00
34363.00	0.50
34364.00	0.00
34369.00	0.00
34374.00	0.50
34375.00	0.00
34380.00	0.50
34381.00	0.00
34386.00	0.50
34387.00	0.00
34392.00	0.50
34393.00	0.00
34397.00	0.50
34398.00	0.00
34403.00	0.50
34404.00	0.00
34410.00	0.00
34416.00	0.50
34417.00	0.00
34422.00	0.00
34428.00	0.00
34433.00	0.50
34434.00	0.00
34439.00	0.50
34440.00	0.00
34445.00	0.50
34446.00	0.00
34451.00	0.50
34452.00	0.00
34457.00	0.50
34458.00	0.00
34463.00	0.50
34464.00	0.00
34469.00	0.00
34474.00	0.50
34475.00	0.00
34480.00	0.50
34481.00	0.00
34486.00	0.50
34487.00	0.00
34492.00	0.50
34493.00	0.00
34498.00	0.00
34503.00	0.50
34504.00	0.00
34509.00	0.50
34510.00	0.00
34515.00	0.50
34516.00	0.00
34521.00	0.50
34522.00	0.00
34531.00	0.50
34532.00	0.00
34537.00	0.50
34538.00	0.00
34543.00	0.50
34544.00	0.00
34550.00	0.50
34551.00	0.00
34556.00	0.00
34561.00	0.50
34562.00	0.00
34567.00	0.50
34568.00	0.00
34573.00	0.50
34574.00	0.00
34579.00	0.50
34580.00	0.00
34585.00	0.50
34586.00	0.00
34591.00	0.50
34592.00	0.00
34597.00	0.50
34598.00	0.00
34603.00	0.00
34616.00	0.50
34617.00	0.00
34623.00	0.50
34624.00	0.00
34629.00	0.50
34630.00	0.00
34635.00	0.50
34636.00	0.00
34641.00	0.50
34642.00	0.00
34647.00	0.50
34648.00	0.00
34653.00	0.50
34654.00	0.00
34659.00	0.50
34660.00	0.00
34665.00	0.50
34666.00	0.00
34671.00	0.50
34672.00	0.00
34677.00	0.50
34678.00	0.00
34683.00	0.50
34684.00	0.00
34689.00	0.50
34690.00	0.00
34695.00	0.50
34696.00	0.00
34701.00	0.50
34702.00	0.00
34710.00	0.50
34711.00	0.00
34716.00	0.50
34717.00	0.00
34722.00	0.50
34723.00	0.00
34729.00	0.00
34734.00	0.50
34735.00	0.00
34740.00	0.50
34741.00	0.00
34746.00	0.50
34747.00	0.00
34752.00	0.50
34753.00	0.00
34758.00	0.50
34759.00	0.00
34764.00	0.50
34765.00	0.00
34770.00	0.50
34771.00	0.00
34776.00	0.00
34782.00	0.00
34787.00	0.50
34788.00	0.00
34793.00	0.50
34794.00	0.00
34799.00	0.50
34800.00	0.00
34805.00	0.50
34806.00	0.00
34811.00	0.50
34812.00	0.00
34817.00	0.00
34823.00	0.00
34828.00	0.50
34829.00	0.00
34834.00	0.50
34835.00	0.00
34840.00	0.50
34841.00	0.00
34846.00	0.50
34847.00	0.00
34852.00	0.50
34853.00	0.00
34858.00	0.50
34859.00	0.00
34864.00	0.00
34870.00	0.00
34881.00	0.50
34882.00	0.00
34888.00	0.00
34894.00	0.50
34895.00	0.00
34900.00	0.50
34901.00	0.00
34906.00	0.50
34907.00	0.00
34912.00	0.50
34913.00	0.00
34918.00	0.50
34919.00	0.00
34924.00	0.50
34925.00	0.00
34930.00	0.50
34931.00	0.00
34936.00	0.50
34937.00	0.00
34942.00	0.50
34943.00	0.00
34948.00	0.50
34949.00	0.00
34954.00	0.50
34955.00	0.00
34960.00	0.50
34961.00	0.00
34966.00	0.00
34972.00	0.00
34978.00	0.00
34984.00	0.00
34990.00	0.00
34996.00	0.00
35002.00	0.00
35007.00	0.50
35008.00	0.00
35013.00	0.50
35014.00	0.00
35020.00	0.00
35025.00	0.50
35026.00	0.00
35034.00	0.50
35035.00	0.00
35041.00	0.00
35047.00	0.50
35048.00	0.00
35053.00	0.50
35054.00	0.00
35059.00	0.50
35060.00	0.00
35065.00	0.00
35071.00	0.00
35077.00	0.00
35083.00	0.00
35089.00	0.00
35095.00	0.00
35100.00	0.50
35101.00	0.00
35106.00	0.50
35107.00	0.00
35112.00	0.50
35113.00	0.00
35118.00	0.50
35119.00	0.00
35124.00	0.00
35129.00	0.50
35130.00	0.00
35135.00	0.50
35136.00	0.00
35141.00	0.50
35142.00	0.00
35147.00	0.50
35148.00	0.00
35153.00	0.00
35158.00	0.50
35159.00	0.00
35164.00	0.50
35165.00	0.00
35170.00	0.50
35171.00	0.00
35176.00	0.50
35177.00	0.00
35182.00	0.00
35187.00	0.50
35188.00	0.00
35193.00	0.50
35194.00	0.00
35199.00	0.50
35200.00	0.00
35205.00	0.50
35206.00	0.00
35211.00	0.00
35216.00	0.50
35217.00	0.00
35226.00	0.50
35227.00	0.00
35232.00	0.50
35233.00	0.00
35238.00	0.50
35239.00	0.00
35244.00	0.50
35245.00	0.00
35250.00	0.50
35251.00	0.00
35256.00	0.50
35257.00	0.00
35262.00	0.50
35263.00	0.00
35268.00	0.50
35269.00	0.00
35274.00	0.50
35275.00	0.00
35280.00	0.50
35281.00	0.00
35286.00	0.50
35287.00	0.00
35292.00	0.50
35293.00	0.00
35298.00	0.50
35299.00	0.00
35304.00	0.50
35305.00	0.00
35310.00	0.50
35311.00	0.00
35315.00	0.50
35316.00	0.00
35321.00	0.50
35322.00	0.00
35327.00	0.50
35328.00	0.00
35333.00	0.50
35334.00	0.00
35339.00	0.50
35340.00	0.00
35345.00	0.50
35346.00	0.00
35351.00	0.50
35352.00	0.00
35357.00	0.00
35362.00	0.50
35363.00	0.00
35368.00	0.50
35369.00	0.00
35374.00	0.50
35375.00	0.00
35380.00	0.50
35381.00	0.00
35385.00	0.50
35386.00	0.00
35391.00	0.50
35392.00	0.00
35400.00	0.50
35401.00	0.00
35407.00	0.50
35408.00	0.00
35413.00	0.50
35414.00	0.00
35419.00	0.00
35425.00	0.00
35431.00	0.50
35432.00	0.00
35437.00	0.50
35438.00	0.00
35443.00	0.50
35444.00	0.00
35449.00	0.50
35450.00	0.00
35455.00	0.00
35461.00	0.00
35466.00	0.50
35467.00	0.00
35472.00	0.50
35473.00	0.00
35478.00	0.50
35479.00	0.00
35484.00	0.50
35485.00	0.00
35490.00	0.00
35495.00	0.50
35496.00	0.00
35501.00	0.50
35502.00	0.00
35507.00	0.50
35508.00	0.00
35513.00	0.50
35514.00	0.00
35519.00	0.00
35525.00	0.50
35526.00	0.00
35531.00	0.00
35536.00	0.50
35537.00	0.00
35542.00	0.50
35543.00	0.00
35548.00	0.50
35549.00	0.00
35554.00	0.50
35555.00	0.00
35560.00	0.00
35568.00	0.50
35569.00	0.00
35575.00	0.00
35581.00	0.00
35586.00	0.50
35587.00	0.00
35592.00	0.50
35593.00	0.00
35598.00	0.50
35599.00	0.00
35604.00	0.50
35605.00	0.00
35616.00	0.50
35617.00	0.00
35623.00	0.50
35624.00	0.00
35629.00	0.50
35630.00	0.00
35635.00	0.50
35636.00	0.00
35641.00	0.50
35642.00	0.00
35647.00	0.00
35652.00	0.50
35653.00	0.00
35658.00	0.50
35659.00	0.00
35664.00	0.50
35665.00	0.00
35670.00	0.50
35671.00	0.00
35676.00	0.50
35677.00	0.00
35682.00	0.50
35683.00	0.00
35688.00	0.00
35693.00	0.50
35694.00	0.00
35699.00	0.50
35700.00	0.00
35705.00	0.50
35706.00	0.00
35711.00	0.50
35712.00	0.00
35717.00	0.50
35718.00	0.00
35723.00	0.50
35724.00	0.00
35729.00	0.00
35734.00	0.50
35735.00	0.00
35740.00	0.50
35741.00	0.00
35749.00	0.50
35750.00	0.00
35756.00	0.50
35757.00	0.00
35762.00	0.50
35763.00	0.00
35768.00	0.00
35774.00	0.00
35779.00	0.50
35780.00	0.00
35785.00	0.50
35786.00	0.00
35792.00	0.00
35798.00	0.50
35799.00	0.00
35804.00	0.00
35809.00	0.50
35810.00	0.00
35815.00	0.50
35816.00	0.00
35821.00	0.50
35822.00	0.00
35827.00	0.50
