time	count
0.00	0.00
15795.00	0.25
15825.00	0.00
15867.00	0.25
15869.00	0.00
16212.00	0.25
16378.00	0.00
16670.00	0.25
16682.00	0.00
16687.00	0.25
16697.00	0.50
16724.00	0.25
16730.00	0.00
16735.00	0.25
16736.00	0.00
16882.00	0.25
16891.00	0.50
16894.00	0.25
16907.00	0.00
16924.00	0.25
16930.00	0.00
17005.00	0.25
17008.00	0.00
17042.00	0.25
17097.00	0.00
17221.00	0.25
17224.00	0.00
17229.00	0.25
17230.00	0.00
17259.00	0.25
17269.00	0.00
17275.00	0.25
17278.00	0.00
17304.00	0.25
17306.00	0.00
17401.00	0.25
17403.00	0.00
17413.00	0.25
17425.00	0.50
17428.00	0.25
17437.00	0.00
17461.00	0.25
17464.00	0.00
17481.00	0.25
17484.00	0.00
17502.00	0.25
18092.00	0.00
25303.00	0.25
25306.00	0.00
25405.00	0.25
25406.00	0.00
25425.00	0.25
25428.00	0.00
25918.00	0.25
25933.00	0.00
26660.00	0.25
26981.00	0.50
26984.00	0.25
27009.00	0.50
27032.00	0.25
27042.00	0.50
27043.00	0.25
27092.00	0.50
27093.00	0.25
27113.00	0.50
27114.00	0.25
30621.00	0.50
30625.00	0.25
30633.00	0.50
30642.00	0.25
30648.00	0.50
30649.00	0.25
30654.00	0.50
30655.00	0.25
30658.00	0.25
30668.00	0.50
30669.00	0.25
30672.00	0.50
30679.00	0.25
30683.00	0.50
30684.00	0.25
30687.00	0.50
30688.00	0.25
30690.00	0.50
30691.00	0.25
30694.00	0.25
30698.00	0.25
30700.00	0.50
30704.00	0.25
30709.00	0.25
30712.00	0.50
30713.00	0.25
30742.00	0.50
30744.00	0.25
30749.00	0.25
30752.00	0.50
30762.00	0.25
30767.00	0.50
30768.00	0.25
30773.00	0.50
30774.00	0.25
30777.00	0.50
30778.00	0.25
30781.00	0.50
30783.00	0.25
30787.00	0.50
30793.00	0.25
30798.00	0.50
30799.00	0.25
30801.00	0.50
30802.00	0.25
30806.00	0.25
30812.00	0.25
30828.00	0.50
30829.00	0.25
30835.00	0.50
30840.00	0.25
30844.00	0.25
30853.00	0.50
30854.00	0.25
