time	count
0.00	0.00
25856.00	0.00
46258.00	0.00
46513.00	0.00
46867.00	0.00
46954.00	0.00
47305.00	0.00
47378.00	0.00
48326.00	0.00
48393.00	0.00
49640.00	0.00
49703.00	0.00
60718.00	0.00
60787.00	0.00
75205.00	0.00
83212.00	0.00
83276.00	0.00
83597.00	0.00
83658.00	0.00
83973.00	0.00
84033.00	0.00
84345.00	0.00
84404.00	0.00
89040.00	0.00
96930.00	0.00
96995.00	0.00
97395.00	0.00
97461.00	0.00
97833.00	0.00
97903.00	0.00
98292.00	0.00
98371.00	0.00
98759.00	0.00
98822.00	0.00
101018.00	0.00
101110.00	0.00
107191.00	0.00
111886.00	0.00
118027.00	0.00
118091.00	0.00
118372.00	0.00
118437.00	0.00
121517.00	0.00
132599.00	0.00
132677.00	0.00
132703.00	0.00
132906.00	0.00
133049.00	0.00
133191.00	0.00
133284.00	0.00
133431.00	0.00
135881.00	0.00
137508.00	0.00
137666.00	0.00
137763.00	0.00
137916.00	0.00
138007.00	0.00
138168.00	0.00
138284.00	0.00
138711.00	0.00
138808.00	0.00
138948.00	0.00
139030.00	0.00
139169.00	0.00
139259.00	0.00
139408.00	0.00
139496.00	0.00
139635.00	0.00
139719.00	0.00
139857.00	0.00
139944.00	0.00
140091.00	0.00
140176.00	0.00
140316.00	0.00
140408.00	0.00
140547.00	0.00
140639.00	0.00
140782.00	0.00
140870.00	0.00
142012.00	0.00
142051.00	0.00
142149.00	0.00
142221.00	0.00
142280.00	0.00
150478.00	0.00
