time	count
0.00	0.00
44829.00	0.00
45180.00	0.00
45446.00	0.00
45533.00	0.00
46544.00	0.00
46609.00	0.00
47712.00	0.00
47774.00	0.00
77384.00	0.00
77464.00	0.00
77813.00	0.00
77888.00	0.00
78236.00	0.00
78316.00	0.00
78660.00	0.00
78749.00	0.00
79092.00	0.00
79169.00	0.00
81832.00	0.00
81912.00	0.00
92510.00	0.00
92576.00	0.00
92865.00	0.00
92929.00	0.00
93223.00	0.00
93290.00	0.00
93571.00	0.00
93644.00	0.00
93938.00	0.00
94000.00	0.00
96036.00	0.00
96135.00	0.00
104913.00	0.00
109867.00	0.00
109943.00	0.00
110173.00	0.00
110246.00	0.00
123650.00	0.00
123762.00	0.00
123882.00	0.00
123958.00	0.00
124052.00	0.00
128010.00	0.00
128135.00	0.00
128202.00	0.00
128306.00	0.00
128370.00	0.00
128482.00	0.00
128554.00	0.00
128653.00	0.00
128722.00	0.00
128834.00	0.00
128903.00	0.00
129040.00	0.00
129120.00	0.00
129487.00	0.00
129557.00	0.00
129655.00	0.00
129720.00	0.00
129813.00	0.00
129872.00	0.00
129966.00	0.00
130028.00	0.00
130130.00	0.00
130191.00	0.00
130283.00	0.00
130344.00	0.00
130440.00	0.00
130499.00	0.00
131483.00	0.00
131539.00	0.00
131578.00	0.00
131617.00	0.00
131679.00	0.00
