level	start	end	color	opacity	title	initiation	in	out	children	parents	prof_uid
5	15053	15138	#00ff3c	1.0	Deferred Enqueue Task	2					5156
5	15180	15251	#be00ff	1.0	Scheduler	0					5157
5	15269	15482	#ff1100	1.0	Task Physical Dependence Analysis	2					214
5	15490	15492	#FFC0CB	1.0	ProfTask <2>						2672
5	15691	15862	#ff9800	1.0	Logical Dependence Analysis	6					5158
5	15884	15902	#333399	1.0	Deferred Ready Trigger	6					5159
5	15910	15919	#333399	1.0	Deferred Ready Trigger	8					5160
5	15926	15937	#be00ff	1.0	Scheduler	0					5161
5	15948	15997	#ff2300	1.0	Operation Physical Dependence Analysis	6					5162
5	16011	16054	#ff1100	1.0	Task Physical Dependence Analysis	8					216
5	16068	16069	#FFC0CB	1.0	ProfTask <8>						2674
5	16102	16115	#006600	1.0	Post-Task Execution	8					5163
5	16122	16260	#ca00ff	1.0	Deferred Post-Task Execution	8					5164
5	16277	16295	#ff9800	1.0	Logical Dependence Analysis	10					5165
5	16303	16308	#333399	1.0	Deferred Ready Trigger	10					5166
5	16316	16322	#333399	1.0	Deferred Ready Trigger	12					5963
5	16332	16343	#be00ff	1.0	Scheduler	0					5167
5	16354	16358	#ff2300	1.0	Operation Physical Dependence Analysis	10					5168
5	16365	16392	#ff1100	1.0	Task Physical Dependence Analysis	12					217
5	16400	16401	#FFC0CB	1.0	ProfTask <12>						2676
5	16404	16408	#006600	1.0	Post-Task Execution	12					5964
5	16449	16465	#ca00ff	1.0	Deferred Post-Task Execution	12					5965
5	17041	23956	#ff9800	1.0	Logical Dependence Analysis	14					5966
5	23974	24025	#333399	1.0	Deferred Ready Trigger	14					5967
5	24040	24046	#cdff00	1.0	Prepipeline Stage	14					5968
5	24065	24511	#ff2300	1.0	Operation Physical Dependence Analysis	14					219
5	24511	24533	#ff2300	0.15	Operation Physical Dependence Analysis (waiting)	14					219
5	24533	24538	#ff2300	0.45	Operation Physical Dependence Analysis (ready)	14					219
5	24538	25048	#ff2300	1.0	Operation Physical Dependence Analysis	14					219
4	24135	24693	#8eff00	1.0	Mapper Call map_inline for 14	14					2670
5	25082	25087	#FFC0CB	1.0	ProfTask <14>						2678
5	25161	25208	#ff9800	1.0	Logical Dependence Analysis	16					5969
5	25221	25250	#333399	1.0	Deferred Ready Trigger	16					5970
5	25259	25322	#ff2300	1.0	Operation Physical Dependence Analysis	16					5971
5	25336	25343	#ff9800	1.0	Logical Dependence Analysis	18					5972
5	25347	25354	#333399	1.0	Deferred Ready Trigger	18					5973
5	25359	27716	#ff2300	1.0	Operation Physical Dependence Analysis	18					5974
5	27732	27736	#f100ff	1.0	Tighten Index Space	18					5975
5	27742	27743	#f100ff	1.0	Tighten Index Space	18					5976
5	27747	27747	#f100ff	1.0	Tighten Index Space	18					5977
5	27751	27751	#f100ff	1.0	Tighten Index Space	18					5978
5	27757	27758	#f100ff	1.0	Tighten Index Space	18					5979
5	27763	27764	#f100ff	1.0	Tighten Index Space	18					5980
5	27770	27770	#f100ff	1.0	Tighten Index Space	18					5981
5	27777	27778	#f100ff	1.0	Tighten Index Space	18					5406
5	27795	27796	#f100ff	1.0	Tighten Index Space	18					5982
5	27802	27803	#f100ff	1.0	Tighten Index Space	18					7
5	27808	27808	#f100ff	1.0	Tighten Index Space	18					5983
5	27836	27838	#f100ff	1.0	Tighten Index Space	18					5984
5	27849	27850	#f100ff	1.0	Tighten Index Space	18					5985
5	27857	27858	#f100ff	1.0	Tighten Index Space	18					5986
5	27864	27865	#f100ff	1.0	Tighten Index Space	18					8
5	27873	27874	#f100ff	1.0	Tighten Index Space	18					5407
5	27889	27891	#f100ff	1.0	Tighten Index Space	18					5987
5	27905	27906	#f100ff	1.0	Tighten Index Space	18					5988
5	27916	27917	#f100ff	1.0	Tighten Index Space	18					5989
5	27927	27928	#f100ff	1.0	Tighten Index Space	18					9
5	27951	27952	#f100ff	1.0	Tighten Index Space	18					5990
5	27973	27975	#f100ff	1.0	Tighten Index Space	18					5991
5	27981	27981	#f100ff	1.0	Tighten Index Space	18					5992
5	27987	27988	#f100ff	1.0	Tighten Index Space	18					5993
5	28000	28001	#f100ff	1.0	Tighten Index Space	18					5994
5	28010	28010	#f100ff	1.0	Tighten Index Space	18					5995
5	28018	28018	#f100ff	1.0	Tighten Index Space	18					5408
5	28036	28037	#f100ff	1.0	Tighten Index Space	18					5996
5	28056	28056	#f100ff	1.0	Tighten Index Space	18					5997
5	28100	28102	#f100ff	1.0	Tighten Index Space	18					5998
5	28112	28113	#f100ff	1.0	Tighten Index Space	18					5999
5	28122	28123	#f100ff	1.0	Tighten Index Space	18					6000
5	28133	28134	#f100ff	1.0	Tighten Index Space	18					6001
5	28144	28145	#f100ff	1.0	Tighten Index Space	18					6002
5	28155	28156	#f100ff	1.0	Tighten Index Space	18					6003
5	28165	28166	#f100ff	1.0	Tighten Index Space	18					6004
5	28175	28176	#f100ff	1.0	Tighten Index Space	18					6005
5	28187	28188	#f100ff	1.0	Tighten Index Space	18					6006
5	28198	28199	#f100ff	1.0	Tighten Index Space	18					5409
5	28221	28222	#f100ff	1.0	Tighten Index Space	18					6007
5	28240	28241	#f100ff	1.0	Tighten Index Space	18					6008
5	28252	28253	#f100ff	1.0	Tighten Index Space	18					6009
5	28263	28264	#f100ff	1.0	Tighten Index Space	18					6010
5	28274	28275	#f100ff	1.0	Tighten Index Space	18					6011
5	28286	28287	#f100ff	1.0	Tighten Index Space	18					6012
5	28296	28297	#f100ff	1.0	Tighten Index Space	18					5410
5	28306	28307	#f100ff	1.0	Tighten Index Space	18					10
5	28322	28323	#f100ff	1.0	Tighten Index Space	18					6013
5	28334	28335	#f100ff	1.0	Tighten Index Space	18					6014
5	28345	28346	#f100ff	1.0	Tighten Index Space	18					6015
5	28356	28357	#f100ff	1.0	Tighten Index Space	18					6016
5	28367	28368	#f100ff	1.0	Tighten Index Space	18					5411
5	28377	28378	#f100ff	1.0	Tighten Index Space	18					6017
5	28386	28387	#f100ff	1.0	Tighten Index Space	18					6018
5	28404	28405	#f100ff	1.0	Tighten Index Space	18					6019
5	28415	28416	#f100ff	1.0	Tighten Index Space	18					6020
5	28426	28427	#f100ff	1.0	Tighten Index Space	18					6021
5	28437	28438	#f100ff	1.0	Tighten Index Space	18					6022
5	28448	28449	#f100ff	1.0	Tighten Index Space	18					5412
5	28458	28459	#f100ff	1.0	Tighten Index Space	18					6023
5	28468	28469	#f100ff	1.0	Tighten Index Space	18					6024
5	28482	28483	#f100ff	1.0	Tighten Index Space	18					6025
5	28494	28495	#f100ff	1.0	Tighten Index Space	18					6026
5	28505	28506	#f100ff	1.0	Tighten Index Space	18					6027
5	28516	28517	#f100ff	1.0	Tighten Index Space	18					5413
5	28526	28527	#f100ff	1.0	Tighten Index Space	18					6028
5	28535	28535	#f100ff	1.0	Tighten Index Space	18					6029
