level	start	end	color	opacity	title	initiation	in	out	children	parents	prof_uid
3	70835	70892	#ff002c	1.0	Copy size=10	88					5559
2	70854	70922	#ff002c	1.0	Copy size=10	88					6628
3	71151	71206	#ff002c	1.0	Copy size=10	88					5562
3	71603	71626	#ff002c	1.0	Copy size=10	88					5566
3	86467	86546	#ff002c	1.0	Copy size=10	156					45
3	86582	86643	#ff002c	1.0	Copy size=10	156					47
3	86944	86982	#ff002c	1.0	Copy size=10	156					48
3	87088	87144	#ff002c	1.0	Copy size=10	156					5210
3	87382	87416	#ff002c	1.0	Copy size=10	156					6633
3	87588	87624	#ff002c	1.0	Copy size=10	156					6634
3	100672	100715	#ff002c	1.0	Copy size=10	224					6637
3	100833	100888	#ff002c	1.0	Copy size=10	224					6638
3	100988	101035	#ff002c	1.0	Copy size=10	224					5569
3	101210	101248	#ff002c	1.0	Copy size=10	224					6640
3	101379	101410	#ff002c	1.0	Copy size=10	224					5570
3	101542	101602	#ff002c	1.0	Copy size=10	224					49
3	112939	112979	#ff002c	1.0	Copy size=10	266					5572
3	113064	113146	#ff002c	1.0	Copy size=10	266					6644
