level	start	end	color	opacity	title	initiation	in	out	children	parents	prof_uid
3	76339	76367	#000000	1.0	Intersection						437
3	76414	76416	#000000	1.0	Intersection						438
3	76436	76437	#000000	1.0	Intersection						439
3	76459	76460	#000000	1.0	Intersection						440
3	76480	76481	#000000	1.0	Intersection						441
3	76500	76500	#000000	1.0	Intersection						442
3	76523	76524	#000000	1.0	Intersection						443
3	76548	76549	#000000	1.0	Intersection						444
3	76572	76574	#000000	1.0	Intersection						445
3	76593	76594	#000000	1.0	Intersection						446
3	80049	80051	#000000	1.0	Intersection						6908
3	80370	80371	#000000	1.0	Intersection						6909
3	80470	80472	#000000	1.0	Intersection						6910
3	80760	80762	#000000	1.0	Intersection						6911
3	80847	80848	#000000	1.0	Intersection						6912
3	80931	80933	#000000	1.0	Intersection						447
3	81122	81124	#000000	1.0	Intersection						448
3	81218	81220	#000000	1.0	Intersection						449
3	81435	81436	#000000	1.0	Intersection						450
3	81667	81669	#000000	1.0	Intersection						451
3	98302	98304	#000000	1.0	Intersection						452
3	98332	98333	#000000	1.0	Intersection						453
3	98352	98353	#000000	1.0	Intersection						7294
3	98368	98369	#000000	1.0	Intersection						5890
3	98389	98390	#000000	1.0	Intersection						454
3	98405	98406	#000000	1.0	Intersection						455
3	98422	98423	#000000	1.0	Intersection						5891
3	98449	98451	#000000	1.0	Intersection						5892
3	98469	98472	#000000	1.0	Intersection						5893
3	98492	98493	#000000	1.0	Intersection						5894
3	101398	101400	#000000	1.0	Intersection						6556
3	101594	101596	#000000	1.0	Intersection						6913
3	101671	101673	#000000	1.0	Intersection						6914
3	101797	101799	#000000	1.0	Intersection						6915
3	102156	102158	#000000	1.0	Intersection						456
3	102246	102248	#000000	1.0	Intersection						457
3	102359	102361	#000000	1.0	Intersection						458
3	102447	102448	#000000	1.0	Intersection						459
3	102555	102556	#000000	1.0	Intersection						6557
3	102766	102768	#000000	1.0	Intersection						460
3	128714	128716	#000000	1.0	Intersection						461
3	128746	128748	#000000	1.0	Intersection						462
3	128785	128786	#000000	1.0	Intersection						7155
3	128810	128810	#000000	1.0	Intersection						463
3	128831	128832	#000000	1.0	Intersection						7295
3	128852	128853	#000000	1.0	Intersection						7057
3	128879	128881	#000000	1.0	Intersection						464
3	128912	128914	#000000	1.0	Intersection						7296
3	128941	128942	#000000	1.0	Intersection						7297
3	128960	128961	#000000	1.0	Intersection						465
3	134168	134170	#000000	1.0	Intersection						6558
3	134375	134377	#000000	1.0	Intersection						6559
3	134638	134640	#000000	1.0	Intersection						6560
3	134888	134890	#000000	1.0	Intersection						7298
3	134965	134966	#000000	1.0	Intersection						6561
3	135072	135074	#000000	1.0	Intersection						6562
3	135278	135280	#000000	1.0	Intersection						6563
3	135494	135496	#000000	1.0	Intersection						6564
3	135728	135729	#000000	1.0	Intersection						6565
3	135968	135970	#000000	1.0	Intersection						7299
3	142004	142006	#000000	1.0	Intersection						466
3	142031	142033	#000000	1.0	Intersection						5895
