level	start	end	color	opacity	title	initiation	in	out	children	parents	prof_uid
2	11890	11982	#00ff3c	1.0	Deferred Enqueue Task	1					225
2	12036	12135	#be00ff	1.0	Scheduler	0					227
2	12155	12411	#ff1100	1.0	Task Physical Dependence Analysis	1					3185
2	12430	12432	#FFC0CB	1.0	ProfTask <1>						3539
2	12676	12892	#ff9800	1.0	Logical Dependence Analysis	3					228
2	12909	12940	#333399	1.0	Deferred Ready Trigger	3					229
2	12949	12960	#333399	1.0	Deferred Ready Trigger	4					230
2	12967	12981	#be00ff	1.0	Scheduler	0					231
2	12990	13059	#ff2300	1.0	Operation Physical Dependence Analysis	3					3186
2	13073	13119	#ff1100	1.0	Task Physical Dependence Analysis	4					3187
2	13127	13129	#FFC0CB	1.0	ProfTask <3>						3541
2	13132	13133	#FFC0CB	1.0	ProfTask <4>						3543
2	13211	13233	#006600	1.0	Post-Task Execution	4					232
2	13249	13450	#ca00ff	1.0	Deferred Post-Task Execution	4					233
2	13469	13494	#ff9800	1.0	Logical Dependence Analysis	5					234
2	13501	13507	#333399	1.0	Deferred Ready Trigger	5					235
2	13513	13521	#333399	1.0	Deferred Ready Trigger	6					236
2	13530	13544	#be00ff	1.0	Scheduler	0					237
2	13554	13559	#ff2300	1.0	Operation Physical Dependence Analysis	5					238
2	13568	13626	#ff1100	1.0	Task Physical Dependence Analysis	6					3188
2	13636	13638	#FFC0CB	1.0	ProfTask <6>						3545
2	13754	13767	#006600	1.0	Post-Task Execution	6					3189
2	13783	13800	#ca00ff	1.0	Deferred Post-Task Execution	6					3190
2	13811	13812	#FFC0CB	1.0	ProfTask <6>						3547
2	13815	13816	#FFC0CB	1.0	ProfTask <6>						3549
2	14523	21801	#ff9800	1.0	Logical Dependence Analysis	7					239
2	21823	21891	#333399	1.0	Deferred Ready Trigger	7					240
2	21903	21910	#cdff00	1.0	Prepipeline Stage	7					241
2	21917	22434	#ff2300	1.0	Operation Physical Dependence Analysis	7					3191
2	22434	22455	#ff2300	0.15	Operation Physical Dependence Analysis (waiting)	7					3191
2	22455	22463	#ff2300	0.45	Operation Physical Dependence Analysis (ready)	7					3191
2	22463	23074	#ff2300	1.0	Operation Physical Dependence Analysis	7					3191
1	21999	22647	#8eff00	1.0	Mapper Call map_inline for 7	7					3537
2	23093	23097	#FFC0CB	1.0	ProfTask <7>						3551
2	23239	23290	#ff9800	1.0	Logical Dependence Analysis	8					3192
2	23299	23333	#333399	1.0	Deferred Ready Trigger	8					3193
2	23340	23423	#ff2300	1.0	Operation Physical Dependence Analysis	8					3194
2	23433	23444	#ff9800	1.0	Logical Dependence Analysis	9					3195
2	23451	23455	#333399	1.0	Deferred Ready Trigger	9					3196
2	23461	26603	#ff2300	1.0	Operation Physical Dependence Analysis	9					3197
2	26615	26619	#f100ff	1.0	Tighten Index Space	9					3198
2	26625	26626	#f100ff	1.0	Tighten Index Space	9					3199
2	26631	26632	#f100ff	1.0	Tighten Index Space	9					3200
2	26636	26637	#f100ff	1.0	Tighten Index Space	9					3201
2	26641	26642	#f100ff	1.0	Tighten Index Space	9					3202
2	26646	26647	#f100ff	1.0	Tighten Index Space	9					3203
2	26651	26652	#f100ff	1.0	Tighten Index Space	9					3204
2	26656	26657	#f100ff	1.0	Tighten Index Space	9					3205
2	26661	26662	#f100ff	1.0	Tighten Index Space	9					3206
2	26666	26667	#f100ff	1.0	Tighten Index Space	9					3207
2	26671	26672	#f100ff	1.0	Tighten Index Space	9					3208
2	26676	26677	#f100ff	1.0	Tighten Index Space	9					3209
2	26681	26682	#f100ff	1.0	Tighten Index Space	9					3210
2	26686	26687	#f100ff	1.0	Tighten Index Space	9					3211
2	26691	26692	#f100ff	1.0	Tighten Index Space	9					3212
2	26696	26697	#f100ff	1.0	Tighten Index Space	9					3213
2	26701	26702	#f100ff	1.0	Tighten Index Space	9					3214
2	26706	26707	#f100ff	1.0	Tighten Index Space	9					3215
2	26711	26712	#f100ff	1.0	Tighten Index Space	9					3216
2	26723	26724	#f100ff	1.0	Tighten Index Space	9					3217
2	26729	26730	#f100ff	1.0	Tighten Index Space	9					3218
2	26734	26735	#f100ff	1.0	Tighten Index Space	9					3219
2	26739	26740	#f100ff	1.0	Tighten Index Space	9					3220
2	26744	26745	#f100ff	1.0	Tighten Index Space	9					3221
2	26749	26750	#f100ff	1.0	Tighten Index Space	9					3222
2	26755	26755	#f100ff	1.0	Tighten Index Space	9					3223
