level	start	end	color	opacity	title	initiation	in	out	children	parents	prof_uid
3	42594	42615	#000000	1.0	Intersection						2806
3	43537	43539	#000000	1.0	Intersection						3854
3	44435	44437	#000000	1.0	Intersection						2807
3	73307	73309	#000000	1.0	Intersection						1025
3	73323	73324	#000000	1.0	Intersection						1026
3	73334	73335	#000000	1.0	Intersection						1027
3	73345	73345	#000000	1.0	Intersection						1028
3	73355	73355	#000000	1.0	Intersection						1029
3	73364	73365	#000000	1.0	Intersection						1030
3	73374	73375	#000000	1.0	Intersection						1031
3	73384	73385	#000000	1.0	Intersection						1032
3	73395	73395	#000000	1.0	Intersection						1033
3	73404	73405	#000000	1.0	Intersection						1034
3	73414	73415	#000000	1.0	Intersection						2808
3	73423	73425	#000000	1.0	Intersection						3855
3	73429	73431	#000000	1.0	Intersection						1035
3	73446	73446	#000000	1.0	Intersection						1036
3	73456	73457	#000000	1.0	Intersection						3856
3	73464	73465	#000000	1.0	Intersection						1037
3	73486	73487	#000000	1.0	Intersection						1038
3	73496	73497	#000000	1.0	Intersection						1039
3	73506	73507	#000000	1.0	Intersection						1040
3	73516	73516	#000000	1.0	Intersection						1041
3	73526	73526	#000000	1.0	Intersection						1042
3	73536	73537	#000000	1.0	Intersection						1043
3	73546	73547	#000000	1.0	Intersection						1044
3	73557	73557	#000000	1.0	Intersection						1045
3	73566	73567	#000000	1.0	Intersection						1046
3	73577	73577	#000000	1.0	Intersection						1047
3	73587	73587	#000000	1.0	Intersection						1048
3	73596	73597	#000000	1.0	Intersection						1049
3	73606	73607	#000000	1.0	Intersection						1050
3	73616	73617	#000000	1.0	Intersection						1051
3	73626	73626	#000000	1.0	Intersection						1052
3	73636	73636	#000000	1.0	Intersection						1053
3	73646	73646	#000000	1.0	Intersection						1054
3	73655	73656	#000000	1.0	Intersection						1055
3	73665	73666	#000000	1.0	Intersection						1056
3	73676	73676	#000000	1.0	Intersection						1057
3	73685	73686	#000000	1.0	Intersection						1058
3	73695	73696	#000000	1.0	Intersection						1059
3	73705	73706	#000000	1.0	Intersection						1060
3	73715	73716	#000000	1.0	Intersection						1061
3	73725	73725	#000000	1.0	Intersection						1062
3	73735	73735	#000000	1.0	Intersection						1063
3	73744	73745	#000000	1.0	Intersection						1064
3	73754	73755	#000000	1.0	Intersection						1065
3	73764	73765	#000000	1.0	Intersection						1066
3	73774	73774	#000000	1.0	Intersection						1067
3	73784	73784	#000000	1.0	Intersection						1068
3	73794	73795	#000000	1.0	Intersection						1069
3	73803	73804	#000000	1.0	Intersection						1070
3	73813	73814	#000000	1.0	Intersection						1071
3	73823	73824	#000000	1.0	Intersection						1072
3	73834	73834	#000000	1.0	Intersection						2809
3	73842	73844	#000000	1.0	Intersection						3857
3	73849	73849	#000000	1.0	Intersection						1073
3	73859	73860	#000000	1.0	Intersection						1074
3	73868	73869	#000000	1.0	Intersection						2810
3	73878	73879	#000000	1.0	Intersection						1075
3	73886	73887	#000000	1.0	Intersection						1076
3	73898	73899	#000000	1.0	Intersection						1077
3	73908	73908	#000000	1.0	Intersection						1078
3	73918	73918	#000000	1.0	Intersection						1079
3	73928	73929	#000000	1.0	Intersection						1080
3	73938	73938	#000000	1.0	Intersection						2811
3	73948	73949	#000000	1.0	Intersection						3858
3	73953	73954	#000000	1.0	Intersection						3859
3	73965	73965	#000000	1.0	Intersection						172
3	73972	73972	#000000	1.0	Intersection						3860
3	73981	73982	#000000	1.0	Intersection						1081
3	73992	73992	#000000	1.0	Intersection						1082
3	74002	74003	#000000	1.0	Intersection						1083
3	74012	74013	#000000	1.0	Intersection						1084
3	74023	74023	#000000	1.0	Intersection						1085
3	74033	74034	#000000	1.0	Intersection						1086
3	74044	74044	#000000	1.0	Intersection						1087
3	74053	74054	#000000	1.0	Intersection						1088
3	74064	74064	#000000	1.0	Intersection						1089
3	74074	74074	#000000	1.0	Intersection						2812
3	74083	74084	#000000	1.0	Intersection						3861
3	74088	74090	#000000	1.0	Intersection						173
3	74099	74099	#000000	1.0	Intersection						2813
3	74107	74108	#000000	1.0	Intersection						1090
3	74113	74114	#000000	1.0	Intersection						3862
