time	count
0.00	0.00
14140.00	1.00
14164.00	0.00
14271.00	1.00
14280.00	0.00
14466.00	1.00
14616.00	0.00
14880.00	1.00
14890.00	0.00
14899.00	1.00
14906.00	0.00
14917.00	1.00
14918.00	0.00
14922.00	0.00
14979.00	1.00
14980.00	0.00
15021.00	1.00
15041.00	0.00
15061.00	1.00
15065.00	0.00
15094.00	1.00
15095.00	0.00
15159.00	1.00
15202.00	0.00
15270.00	1.00
15273.00	0.00
15311.00	1.00
15312.00	0.00
15325.00	1.00
15326.00	0.00
17746.00	1.00
18312.00	0.00
25393.00	1.00
25396.00	0.00
25499.00	1.00
25501.00	0.00
25506.00	1.00
25509.00	0.00
25959.00	1.00
25964.00	0.00
26529.00	1.00
31593.00	0.00
31686.00	1.00
31689.00	0.00
31716.00	0.00
31735.00	1.00
31737.00	0.00
32390.00	1.00
32489.00	0.00
32995.00	1.00
32998.00	0.00
33021.00	1.00
33023.00	0.00
33048.00	1.00
33050.00	0.00
33169.00	1.00
33171.00	0.00
33177.00	1.00
33178.00	0.00
33181.00	1.00
33182.00	0.00
33185.00	1.00
33189.00	0.00
33490.00	1.00
33893.00	0.00
40723.00	1.00
40725.00	0.00
40729.00	0.00
40733.00	1.00
40734.00	0.00
40738.00	1.00
40739.00	0.00
40743.00	1.00
40748.00	0.00
40844.00	1.00
40845.00	0.00
40862.00	1.00
40868.00	0.00
40886.00	1.00
40887.00	0.00
40902.00	1.00
40904.00	0.00
40959.00	1.00
40960.00	0.00
41017.00	1.00
41084.00	0.00
41264.00	1.00
41267.00	0.00
41299.00	1.00
41300.00	0.00
41327.00	1.00
41328.00	0.00
41391.00	1.00
41392.00	0.00
41430.00	1.00
41431.00	0.00
41436.00	1.00
41438.00	0.00
45841.00	1.00
45853.00	0.00
46579.00	1.00
46581.00	0.00
61068.00	1.00
61070.00	0.00
61078.00	1.00
61079.00	0.00
61179.00	1.00
61180.00	0.00
61765.00	1.00
61767.00	0.00
62188.00	1.00
62190.00	0.00
62221.00	1.00
62232.00	0.00
62294.00	1.00
62295.00	0.00
62573.00	1.00
62577.00	0.00
62710.00	0.00
62922.00	1.00
62924.00	0.00
62933.00	1.00
62934.00	0.00
63107.00	1.00
63108.00	0.00
63279.00	0.00
63296.00	1.00
63378.00	0.00
63470.00	1.00
63472.00	0.00
63518.00	1.00
63519.00	0.00
63549.00	1.00
63550.00	0.00
63611.00	1.00
63612.00	0.00
63732.00	1.00
63735.00	0.00
63742.00	1.00
63747.00	0.00
63751.00	0.00
63783.00	1.00
63784.00	0.00
63810.00	1.00
63812.00	0.00
63818.00	1.00
63819.00	0.00
63841.00	1.00
63846.00	0.00
63852.00	1.00
63853.00	0.00
63856.00	1.00
63857.00	0.00
63988.00	1.00
64139.00	0.00
64155.00	1.00
64156.00	0.00
64160.00	1.00
64161.00	0.00
64175.00	1.00
64183.00	0.00
64190.00	1.00
64191.00	0.00
64194.00	1.00
64195.00	0.00
64197.00	1.00
64201.00	0.00
64202.00	1.00
64203.00	0.00
64211.00	1.00
64212.00	0.00
64243.00	1.00
64245.00	0.00
64319.00	1.00
64352.00	0.00
64429.00	1.00
64435.00	0.00
64466.00	1.00
64472.00	0.00
64490.00	1.00
64491.00	0.00
65437.00	1.00
65438.00	0.00
65457.00	1.00
65458.00	0.00
67235.00	1.00
67274.00	0.00
67340.00	1.00
67342.00	0.00
67375.00	1.00
67376.00	0.00
67426.00	1.00
67427.00	0.00
67629.00	1.00
67630.00	0.00
67992.00	1.00
68000.00	0.00
68109.00	1.00
68163.00	0.00
68178.00	1.00
68179.00	0.00
68204.00	1.00
68238.00	0.00
68337.00	1.00
68339.00	0.00
68349.00	1.00
68350.00	0.00
69800.00	1.00
69832.00	0.00
69890.00	1.00
69898.00	0.00
69926.00	1.00
69932.00	0.00
69961.00	1.00
69962.00	0.00
70108.00	1.00
70110.00	0.00
70385.00	1.00
70386.00	0.00
70457.00	1.00
70458.00	0.00
70487.00	1.00
70533.00	0.00
70554.00	1.00
70555.00	0.00
70559.00	1.00
70561.00	0.00
70574.00	1.00
70601.00	0.00
70673.00	1.00
70675.00	0.00
70696.00	1.00
70697.00	0.00
72230.00	1.00
72264.00	0.00
72346.00	1.00
72349.00	0.00
72368.00	1.00
72379.00	0.00
72388.00	1.00
72389.00	0.00
72488.00	1.00
72489.00	0.00
72898.00	1.00
72899.00	0.00
73016.00	1.00
73070.00	0.00
73082.00	1.00
73091.00	0.00
73095.00	1.00
73098.00	0.00
73111.00	1.00
73135.00	0.00
73151.00	1.00
73153.00	0.00
73233.00	1.00
73235.00	0.00
73241.00	1.00
73242.00	0.00
73257.00	1.00
73259.00	0.00
73263.00	1.00
73273.00	0.00
73305.00	1.00
73306.00	0.00
73414.00	1.00
74751.00	0.00
74756.00	1.00
74757.00	0.00
74762.00	1.00
74767.00	0.00
74781.00	1.00
74782.00	0.00
74786.00	1.00
74787.00	0.00
74799.00	1.00
74800.00	0.00
74805.00	0.00
74819.00	1.00
74820.00	0.00
74828.00	1.00
74832.00	0.00
74836.00	0.00
74841.00	0.00
74844.00	0.00
74855.00	0.00
74859.00	1.00
74865.00	0.00
74874.00	1.00
74875.00	0.00
74879.00	0.00
74882.00	1.00
74883.00	0.00
74896.00	0.00
74900.00	1.00
74902.00	0.00
74905.00	1.00
74907.00	0.00
74916.00	1.00
74917.00	0.00
74919.00	1.00
74920.00	0.00
74925.00	0.00
74930.00	0.00
74958.00	1.00
74962.00	0.00
74977.00	1.00
74978.00	0.00
74993.00	1.00
74994.00	0.00
75011.00	1.00
75012.00	0.00
75913.00	1.00
75914.00	0.00
75953.00	1.00
75954.00	0.00
75986.00	1.00
75991.00	0.00
76017.00	1.00
76018.00	0.00
76049.00	0.00
76068.00	1.00
76069.00	0.00
76093.00	1.00
76094.00	0.00
76113.00	1.00
76114.00	0.00
76140.00	1.00
76144.00	0.00
76165.00	1.00
76166.00	0.00
76183.00	1.00
76184.00	0.00
76201.00	0.00
76221.00	1.00
76222.00	0.00
76241.00	1.00
76244.00	0.00
76253.00	1.00
76254.00	0.00
76280.00	1.00
76281.00	0.00
76336.00	1.00
76337.00	0.00
76353.00	1.00
76354.00	0.00
76383.00	1.00
76387.00	0.00
76418.00	1.00
76419.00	0.00
76440.00	1.00
76441.00	0.00
76457.00	1.00
76458.00	0.00
76474.00	0.00
76564.00	1.00
76565.00	0.00
76667.00	1.00
76672.00	0.00
76728.00	1.00
76729.00	0.00
76742.00	0.00
76862.00	1.00
76863.00	0.00
76891.00	1.00
76892.00	0.00
76977.00	0.00
77007.00	1.00
77012.00	0.00
77038.00	1.00
77039.00	0.00
77139.00	0.00
77240.00	1.00
77241.00	0.00
77283.00	1.00
77287.00	0.00
77419.00	1.00
77420.00	0.00
77436.00	1.00
77437.00	0.00
77463.00	1.00
77464.00	0.00
77547.00	0.00
77570.00	1.00
77574.00	0.00
77660.00	1.00
77661.00	0.00
77676.00	0.00
77716.00	1.00
77717.00	0.00
77779.00	0.00
77786.00	1.00
77787.00	0.00
77822.00	1.00
77826.00	0.00
77839.00	1.00
77840.00	0.00
77884.00	1.00
77885.00	0.00
77949.00	1.00
77950.00	0.00
77967.00	0.00
77991.00	1.00
77995.00	0.00
78002.00	0.00
78021.00	1.00
78022.00	0.00
78932.00	1.00
78933.00	0.00
79022.00	1.00
79023.00	0.00
79061.00	1.00
79065.00	0.00
79098.00	1.00
79099.00	0.00
79138.00	1.00
79139.00	0.00
79225.00	1.00
79226.00	0.00
79244.00	1.00
79245.00	0.00
79278.00	1.00
79282.00	0.00
79298.00	1.00
79299.00	0.00
79347.00	1.00
79348.00	0.00
79368.00	1.00
79369.00	0.00
79430.00	1.00
79431.00	0.00
79454.00	1.00
79455.00	0.00
79473.00	1.00
79477.00	0.00
79501.00	1.00
79502.00	0.00
79555.00	0.00
79689.00	1.00
79690.00	0.00
79703.00	1.00
79704.00	0.00
79749.00	1.00
79754.00	0.00
79802.00	1.00
79803.00	0.00
79865.00	1.00
79866.00	0.00
79945.00	1.00
79946.00	0.00
80000.00	1.00
80001.00	0.00
80023.00	0.00
80068.00	1.00
80074.00	0.00
80125.00	1.00
80127.00	0.00
80145.00	1.00
80146.00	0.00
80207.00	1.00
80208.00	0.00
80221.00	0.00
80257.00	1.00
80262.00	0.00
80347.00	1.00
80349.00	0.00
80360.00	1.00
80361.00	0.00
80398.00	1.00
80399.00	0.00
80429.00	1.00
80430.00	0.00
80450.00	1.00
80455.00	0.00
80478.00	1.00
80479.00	0.00
80583.00	1.00
80585.00	0.00
80601.00	1.00
80602.00	0.00
80702.00	1.00
80703.00	0.00
80756.00	1.00
80758.00	0.00
80792.00	1.00
80797.00	0.00
80896.00	1.00
80898.00	0.00
80944.00	1.00
