time	count
0.00	0.00
15675.00	0.50
15749.00	0.00
15790.00	0.50
15906.00	0.00
15925.00	0.50
16166.00	0.00
16174.00	0.50
16176.00	0.00
16342.00	0.50
16506.00	0.00
16523.00	0.50
16541.00	0.00
16546.00	0.50
16554.00	0.00
16559.00	0.50
16569.00	0.00
16579.00	0.50
16629.00	0.00
16639.00	0.50
16683.00	0.00
16725.00	0.50
16742.00	0.00
16756.00	0.50
16900.00	0.00
16914.00	0.50
16933.00	0.00
16940.00	0.50
16944.00	0.00
16950.00	0.50
16957.00	0.00
16961.00	0.50
16972.00	0.00
16981.00	0.50
16985.00	0.00
16992.00	0.50
17015.00	0.00
17022.00	0.50
17023.00	0.00
17049.00	0.50
17058.00	0.00
17069.00	0.50
17081.00	0.00
17090.00	0.50
17091.00	0.00
17695.00	0.50
24555.00	0.00
24569.00	0.50
24628.00	0.00
24640.00	0.50
24647.00	0.00
24654.00	0.50
25697.00	0.00
25711.00	0.50
25716.00	0.00
25878.00	0.50
25933.00	0.00
25944.00	0.50
25981.00	0.00
25987.00	0.50
25992.00	0.00
25997.00	0.50
26003.00	0.00
26017.00	0.50
28448.00	0.00
28463.00	0.50
28468.00	0.00
28473.00	0.00
28477.00	0.50
28478.00	0.00
28482.00	0.00
28486.00	0.50
28487.00	0.00
28490.00	0.50
28491.00	0.00
28494.00	0.50
28495.00	0.00
28498.00	0.50
28499.00	0.00
28502.00	0.50
28503.00	0.00
28507.00	0.00
28511.00	0.00
28515.00	0.50
28516.00	0.00
28519.00	0.50
28520.00	0.00
28524.00	0.00
28528.00	0.00
28536.00	0.50
28537.00	0.00
28554.00	0.50
28555.00	0.00
28565.00	0.50
28566.00	0.00
28579.00	0.50
28580.00	0.00
28595.00	0.50
28596.00	0.00
28611.00	0.00
28627.00	0.50
28628.00	0.00
28642.00	0.50
28643.00	0.00
28658.00	0.50
28660.00	0.00
28680.00	0.50
28682.00	0.00
28698.00	0.50
28700.00	0.00
28727.00	0.50
28729.00	0.00
28751.00	0.50
28754.00	0.00
28768.00	0.50
28770.00	0.00
28783.00	0.50
28784.00	0.00
28793.00	0.50
28794.00	0.00
28813.00	0.00
28822.00	0.50
28823.00	0.00
28827.00	0.00
28831.00	0.50
28832.00	0.00
28836.00	0.50
28837.00	0.00
28841.00	0.00
28848.00	0.00
28852.00	0.50
28853.00	0.00
28863.00	0.50
28864.00	0.00
28868.00	0.50
28869.00	0.00
28879.00	0.50
28880.00	0.00
28898.00	0.50
28899.00	0.00
28910.00	0.00
28917.00	0.00
28925.00	0.50
28926.00	0.00
28939.00	0.50
28940.00	0.00
28950.00	0.50
28951.00	0.00
28960.00	0.00
28978.00	0.00
28990.00	0.00
28999.00	0.00
29020.00	0.50
29022.00	0.00
29030.00	0.50
29031.00	0.00
29043.00	0.50
29044.00	0.00
29052.00	0.50
29053.00	0.00
29069.00	0.50
29070.00	0.00
29082.00	0.50
29083.00	0.00
29104.00	0.50
29106.00	0.00
29127.00	0.50
29128.00	0.00
29135.00	0.50
29136.00	0.00
29142.00	0.50
29143.00	0.00
29150.00	0.50
29151.00	0.00
29171.00	0.50
29172.00	0.00
29181.00	0.50
29182.00	0.00
29197.00	0.00
29208.00	0.50
29209.00	0.00
29218.00	0.50
29219.00	0.00
29227.00	0.50
29228.00	0.00
29251.00	0.50
29253.00	0.00
29261.00	0.50
29262.00	0.00
29276.00	0.00
29287.00	0.50
29288.00	0.00
29295.00	0.50
29296.00	0.00
29312.00	0.50
29313.00	0.00
29322.00	0.50
29323.00	0.00
29329.00	0.00
29338.00	0.50
29339.00	0.00
29346.00	0.50
29347.00	0.00
29370.00	0.50
29371.00	0.00
29379.00	0.00
29397.00	0.50
29398.00	0.00
29413.00	0.00
29428.00	0.50
29429.00	0.00
29443.00	0.50
29445.00	0.00
29454.00	0.50
29455.00	0.00
29471.00	0.50
29472.00	0.00
29487.00	0.50
29488.00	0.00
29503.00	0.50
29504.00	0.00
29512.00	0.50
29513.00	0.00
29527.00	0.50
29529.00	0.00
29539.00	0.50
29540.00	0.00
29545.00	0.50
29546.00	0.00
29554.00	0.50
29555.00	0.00
29566.00	0.50
29567.00	0.00
29583.00	0.50
29584.00	0.00
29591.00	0.50
29592.00	0.00
29598.00	0.50
29599.00	0.00
29617.00	0.50
29618.00	0.00
29626.00	0.50
29627.00	0.00
29633.00	0.50
29634.00	0.00
29643.00	0.50
29644.00	0.00
29663.00	0.50
29664.00	0.00
29670.00	0.50
29672.00	0.00
29690.00	0.50
29691.00	0.00
29701.00	0.50
29702.00	0.00
29710.00	0.50
29711.00	0.00
29720.00	0.50
29721.00	0.00
29726.00	0.50
29727.00	0.00
29735.00	0.50
29736.00	0.00
29754.00	0.50
29755.00	0.00
29781.00	0.50
29782.00	0.00
29789.00	0.50
29790.00	0.00
29804.00	0.50
29805.00	0.00
29814.00	0.50
29815.00	0.00
29820.00	0.50
29821.00	0.00
29835.00	0.50
29836.00	0.00
29844.00	0.50
29845.00	0.00
29860.00	0.50
29861.00	0.00
29869.00	0.50
29870.00	0.00
29878.00	0.50
29879.00	0.00
29894.00	0.50
29895.00	0.00
29911.00	0.50
29912.00	0.00
29922.00	0.50
29923.00	0.00
29928.00	0.50
29929.00	0.00
29943.00	0.50
29944.00	0.00
29954.00	0.50
29955.00	0.00
29963.00	0.50
29964.00	0.00
29982.00	0.50
29983.00	0.00
29992.00	0.50
29993.00	0.00
30001.00	0.50
30002.00	0.00
30012.00	0.50
30013.00	0.00
30027.00	0.50
30028.00	0.00
30035.00	0.50
30036.00	0.00
30052.00	0.50
30053.00	0.00
30063.00	0.00
30069.00	0.50
30070.00	0.00
30073.00	0.50
30074.00	0.00
30081.00	0.50
30082.00	0.00
30089.00	0.50
30090.00	0.00
30112.00	0.50
30113.00	0.00
30125.00	0.50
30126.00	0.00
30142.00	0.50
30144.00	0.00
30153.00	0.00
30171.00	0.50
30172.00	0.00
30183.00	0.50
30184.00	0.00
30189.00	0.50
30190.00	0.00
30202.00	0.00
30214.00	0.50
30215.00	0.00
30236.00	0.50
30237.00	0.00
30246.00	0.50
30247.00	0.00
30261.00	0.50
30263.00	0.00
30272.00	0.00
30288.00	0.50
30289.00	0.00
30298.00	0.50
30299.00	0.00
30306.00	0.50
30307.00	0.00
30315.00	0.50
30316.00	0.00
30327.00	0.50
30328.00	0.00
30343.00	0.00
30359.00	0.50
30360.00	0.00
30374.00	0.50
30375.00	0.00
30384.00	0.50
30385.00	0.00
30401.00	0.50
30402.00	0.00
30410.00	0.50
30411.00	0.00
30427.00	0.50
30428.00	0.00
30436.00	0.00
30442.00	0.50
30443.00	0.00
30456.00	0.00
30465.00	0.00
30482.00	0.50
30483.00	0.00
30491.00	0.50
30492.00	0.00
30507.00	0.50
30508.00	0.00
30520.00	0.00
30526.00	0.50
30527.00	0.00
30538.00	0.50
30539.00	0.00
30548.00	0.00
30563.00	0.50
30564.00	0.00
30575.00	0.50
30576.00	0.00
30593.00	0.50
30595.00	0.00
30605.00	0.50
30606.00	0.00
30622.00	0.50
30623.00	0.00
30633.00	0.50
30634.00	0.00
30641.00	0.50
30642.00	0.00
30652.00	0.50
30653.00	0.00
30664.00	0.50
30665.00	0.00
30673.00	0.50
30674.00	0.00
30680.00	0.50
30681.00	0.00
30689.00	0.50
30690.00	0.00
30699.00	0.50
30700.00	0.00
30710.00	0.00
30718.00	0.50
30719.00	0.00
30727.00	0.50
30728.00	0.00
30737.00	0.50
30738.00	0.00
30747.00	0.50
30748.00	0.00
30757.00	0.50
30758.00	0.00
30768.00	0.50
30769.00	0.00
30778.00	0.50
30779.00	0.00
30788.00	0.00
30797.00	0.50
30798.00	0.00
30809.00	0.50
30810.00	0.00
30819.00	0.50
30820.00	0.00
30827.00	0.50
30828.00	0.00
30837.00	0.50
30838.00	0.00
30848.00	0.50
30849.00	0.00
30859.00	0.50
30860.00	0.00
30869.00	0.50
30870.00	0.00
30878.00	0.50
30879.00	0.00
30891.00	0.50
30892.00	0.00
30901.00	0.50
30902.00	0.00
30911.00	0.50
30912.00	0.00
30921.00	0.50
30922.00	0.00
30929.00	0.50
30930.00	0.00
30939.00	0.50
30940.00	0.00
30949.00	0.50
30950.00	0.00
30960.00	0.50
30961.00	0.00
30970.00	0.50
30971.00	0.00
30979.00	0.50
30980.00	0.00
30986.00	0.50
30987.00	0.00
31025.00	0.50
31028.00	0.00
31042.00	0.50
31044.00	0.00
31059.00	0.50
31060.00	0.00
31071.00	0.50
31072.00	0.00
31082.00	0.00
31092.00	0.50
31099.00	0.00
31120.00	0.50
31121.00	0.00
31129.00	0.00
31141.00	0.50
31142.00	0.00
31151.00	0.50
31152.00	0.00
31161.00	0.00
31170.00	0.00
31180.00	0.00
31189.00	0.00
31199.00	0.50
31200.00	0.00
31210.00	0.00
31220.00	0.50
31221.00	0.00
31229.00	0.00
31238.00	0.50
31239.00	0.00
31248.00	0.50
31249.00	0.00
31258.00	0.50
31259.00	0.00
31267.00	0.50
