time	count
0.00	0.00
48477.00	1.00
48534.00	0.00
48941.00	1.00
51928.00	0.00
51940.00	1.00
52010.00	0.00
52034.00	1.00
52036.00	0.00
52038.00	1.00
52040.00	0.00
52042.00	1.00
52149.00	0.00
52296.00	1.00
52425.00	0.00
52447.00	1.00
52620.00	0.00
52645.00	1.00
52797.00	0.00
52819.00	1.00
52824.00	0.00
52837.00	1.00
52908.00	0.00
52912.00	1.00
52914.00	0.00
52918.00	1.00
52920.00	0.00
53087.00	1.00
53144.00	0.00
53163.00	1.00
53236.00	0.00
53240.00	1.00
53242.00	0.00
53362.00	1.00
53405.00	0.00
53423.00	1.00
53464.00	0.00
53468.00	1.00
53471.00	0.00
53620.00	1.00
54133.00	0.00
54148.00	1.00
54305.00	0.00
54310.00	1.00
54312.00	0.00
54315.00	1.00
54317.00	0.00
54319.00	1.00
54320.00	0.00
54321.00	1.00
54322.00	0.00
54324.00	1.00
54325.00	0.00
54368.00	1.00
54407.00	0.00
54414.00	1.00
54488.00	0.00
54501.00	1.00
54518.00	0.00
54529.00	1.00
54543.00	0.00
54558.00	1.00
54571.00	0.00
54583.00	1.00
55032.00	0.00
55043.00	1.00
55083.00	0.00
55087.00	1.00
55121.00	0.00
55125.00	1.00
55136.00	0.00
55139.00	1.00
55163.00	0.00
55166.00	1.00
55168.00	0.00
55171.00	1.00
55173.00	0.00
55174.00	1.00
55175.00	0.00
55176.00	1.00
55177.00	0.00
55179.00	1.00
55180.00	0.00
55229.00	1.00
55239.00	0.00
55255.00	1.00
55273.00	0.00
55278.00	1.00
55301.00	0.00
55319.00	1.00
55321.00	0.00
55328.00	1.00
55330.00	0.00
55332.00	1.00
55333.00	0.00
55334.00	1.00
55335.00	0.00
55370.00	1.00
55622.00	0.00
55632.00	1.00
55633.00	0.00
55646.00	1.00
55678.00	0.00
55681.00	1.00
55683.00	0.00
55686.00	1.00
55687.00	0.00
55689.00	1.00
55690.00	0.00
55755.00	1.00
55925.00	0.00
55939.00	1.00
55960.00	0.00
55962.00	1.00
55964.00	0.00
55967.00	1.00
55968.00	0.00
55970.00	1.00
55972.00	0.00
56029.00	1.00
56168.00	0.00
56178.00	1.00
56200.00	0.00
56203.00	1.00
56205.00	0.00
56207.00	1.00
56208.00	0.00
56209.00	1.00
56210.00	0.00
56211.00	1.00
56212.00	0.00
56280.00	1.00
56381.00	0.00
56390.00	1.00
56418.00	0.00
56438.00	1.00
56531.00	0.00
56535.00	1.00
56538.00	0.00
56541.00	1.00
56542.00	0.00
56591.00	1.00
56599.00	0.00
56610.00	1.00
56622.00	0.00
56626.00	1.00
56627.00	0.00
56683.00	1.00
56701.00	0.00
56714.00	1.00
56726.00	0.00
56729.00	1.00
56731.00	0.00
56789.00	1.00
56793.00	0.00
56803.00	1.00
56812.00	0.00
56814.00	1.00
56815.00	0.00
56870.00	1.00
56878.00	0.00
56889.00	1.00
57717.00	0.00
57721.00	1.00
57723.00	0.00
57773.00	1.00
57809.00	0.00
57823.00	1.00
57937.00	0.00
57946.00	1.00
58052.00	0.00
58056.00	1.00
58057.00	0.00
58060.00	1.00
58061.00	0.00
58118.00	1.00
58145.00	0.00
58162.00	1.00
58432.00	0.00
58446.00	1.00
58455.00	0.00
58463.00	1.00
58866.00	0.00
58870.00	1.00
58872.00	0.00
58875.00	1.00
58876.00	0.00
58953.00	1.00
58958.00	0.00
58983.00	1.00
58985.00	0.00
58997.00	1.00
59001.00	0.00
59011.00	1.00
59231.00	0.00
59252.00	1.00
59351.00	0.00
59376.00	1.00
59378.00	0.00
59380.00	1.00
59381.00	0.00
59384.00	1.00
59385.00	0.00
70249.00	1.00
70269.00	0.00
70297.00	1.00
70339.00	0.00
70357.00	1.00
70389.00	0.00
70418.00	1.00
70420.00	0.00
70423.00	1.00
70424.00	0.00
70480.00	1.00
70517.00	0.00
70528.00	1.00
70530.00	0.00
70578.00	1.00
70610.00	0.00
70621.00	1.00
70622.00	0.00
70667.00	1.00
70688.00	0.00
70699.00	1.00
70918.00	0.00
70943.00	1.00
70953.00	0.00
70968.00	1.00
70980.00	0.00
70990.00	1.00
71013.00	0.00
71024.00	1.00
71026.00	0.00
71037.00	1.00
71044.00	0.00
71059.00	1.00
71062.00	0.00
71072.00	1.00
71084.00	0.00
71092.00	1.00
71108.00	0.00
71135.00	1.00
71137.00	0.00
71140.00	0.00
71142.00	1.00
71143.00	0.00
71144.00	1.00
71145.00	0.00
71146.00	1.00
71147.00	0.00
71149.00	0.00
71151.00	1.00
71152.00	0.00
71192.00	1.00
71215.00	0.00
71226.00	1.00
71227.00	0.00
71337.00	1.00
71343.00	0.00
71360.00	1.00
71363.00	0.00
71373.00	1.00
71381.00	0.00
71390.00	1.00
71392.00	0.00
71394.00	1.00
71395.00	0.00
71396.00	1.00
71397.00	0.00
71764.00	1.00
71783.00	0.00
71795.00	1.00
71796.00	0.00
71857.00	1.00
71919.00	0.00
71932.00	1.00
71934.00	0.00
72155.00	1.00
72201.00	0.00
72219.00	1.00
72220.00	0.00
72380.00	1.00
72436.00	0.00
72452.00	1.00
72456.00	0.00
72466.00	1.00
72470.00	0.00
72479.00	1.00
72485.00	0.00
72497.00	1.00
72499.00	0.00
72513.00	1.00
72518.00	0.00
72529.00	1.00
72531.00	0.00
72542.00	1.00
72546.00	0.00
72555.00	1.00
72557.00	0.00
72560.00	1.00
72562.00	0.00
72564.00	1.00
72565.00	0.00
72566.00	1.00
72567.00	0.00
72569.00	1.00
72570.00	0.00
72571.00	1.00
72572.00	0.00
72573.00	1.00
72574.00	0.00
72576.00	1.00
72577.00	0.00
73032.00	1.00
73057.00	0.00
73069.00	1.00
73090.00	0.00
73121.00	1.00
73131.00	0.00
73135.00	1.00
73150.00	0.00
73286.00	1.00
73397.00	0.00
73414.00	1.00
73482.00	0.00
73499.00	1.00
73565.00	0.00
73583.00	1.00
73586.00	0.00
73596.00	1.00
73617.00	0.00
73620.00	1.00
73623.00	0.00
73625.00	1.00
73626.00	0.00
73712.00	1.00
73932.00	0.00
73943.00	1.00
73985.00	0.00
73988.00	1.00
73990.00	0.00
73993.00	1.00
73994.00	0.00
73996.00	0.00
73998.00	0.00
74000.00	1.00
74001.00	0.00
74120.00	1.00
74138.00	0.00
74144.00	1.00
74157.00	0.00
74171.00	1.00
74180.00	0.00
74202.00	1.00
74208.00	0.00
74218.00	1.00
74232.00	0.00
74234.00	1.00
74237.00	0.00
74254.00	1.00
74255.00	0.00
74266.00	1.00
74267.00	0.00
74269.00	1.00
74270.00	0.00
74271.00	1.00
74272.00	0.00
74299.00	1.00
74450.00	0.00
74461.00	1.00
74489.00	0.00
74491.00	1.00
74493.00	0.00
74496.00	1.00
74497.00	0.00
74533.00	1.00
74555.00	0.00
74611.00	1.00
74618.00	0.00
74631.00	1.00
74641.00	0.00
74644.00	1.00
74645.00	0.00
74697.00	1.00
74815.00	0.00
74824.00	1.00
74848.00	0.00
74868.00	1.00
74870.00	0.00
74872.00	1.00
74876.00	0.00
74880.00	1.00
74902.00	0.00
74960.00	1.00
74964.00	0.00
74976.00	1.00
74989.00	0.00
74992.00	1.00
74993.00	0.00
75041.00	1.00
75051.00	0.00
75062.00	1.00
75071.00	0.00
75073.00	1.00
75074.00	0.00
75130.00	1.00
75133.00	0.00
75144.00	1.00
75156.00	0.00
75159.00	1.00
75160.00	0.00
75208.00	1.00
75217.00	0.00
75228.00	1.00
75407.00	0.00
75412.00	1.00
75413.00	0.00
75450.00	1.00
75455.00	0.00
75470.00	1.00
75473.00	0.00
75486.00	1.00
75488.00	0.00
75492.00	1.00
75508.00	0.00
75519.00	1.00
75631.00	0.00
75653.00	1.00
75671.00	0.00
75695.00	1.00
75698.00	0.00
75700.00	1.00
75701.00	0.00
76103.00	1.00
76114.00	0.00
76125.00	1.00
76155.00	0.00
76345.00	1.00
76367.00	0.00
76378.00	1.00
76392.00	0.00
76435.00	1.00
76439.00	0.00
76445.00	1.00
76613.00	0.00
76703.00	1.00
76717.00	0.00
76741.00	1.00
76793.00	0.00
77047.00	1.00
77078.00	0.00
77093.00	1.00
77112.00	0.00
77130.00	1.00
77132.00	0.00
77136.00	1.00
77153.00	0.00
77330.00	1.00
77478.00	0.00
77499.00	1.00
77505.00	0.00
77517.00	1.00
77548.00	0.00
77552.00	1.00
77554.00	0.00
77562.00	1.00
77563.00	0.00
77683.00	1.00
77710.00	0.00
77883.00	1.00
77893.00	0.00
77914.00	1.00
77926.00	0.00
77930.00	1.00
77931.00	0.00
78021.00	1.00
78183.00	0.00
78195.00	1.00
78218.00	0.00
78255.00	1.00
78275.00	0.00
78279.00	1.00
78281.00	0.00
78284.00	1.00
78286.00	0.00
78373.00	1.00
78379.00	0.00
78393.00	1.00
78410.00	0.00
78414.00	1.00
78416.00	0.00
78500.00	1.00
78512.00	0.00
78527.00	1.00
78610.00	0.00
78618.00	1.00
78674.00	0.00
78677.00	1.00
78679.00	0.00
78738.00	1.00
78745.00	0.00
78762.00	1.00
78777.00	0.00
78788.00	1.00
78886.00	0.00
78906.00	1.00
78923.00	0.00
78939.00	1.00
78944.00	0.00
78949.00	1.00
78950.00	0.00
79384.00	1.00
79398.00	0.00
79422.00	1.00
79470.00	0.00
79756.00	1.00
79782.00	0.00
79798.00	1.00
79812.00	0.00
79831.00	1.00
79833.00	0.00
79979.00	1.00
80002.00	0.00
80017.00	1.00
80018.00	0.00
80176.00	1.00
80191.00	0.00
80206.00	1.00
80218.00	0.00
80239.00	1.00
80242.00	0.00
80360.00	1.00
80381.00	0.00
80396.00	1.00
80398.00	0.00
80553.00	1.00
80562.00	0.00
80579.00	1.00
80585.00	0.00
80599.00	1.00
80603.00	0.00
80614.00	1.00
80616.00	0.00
80618.00	1.00
80619.00	0.00
80621.00	1.00
80622.00	0.00
80852.00	1.00
80861.00	0.00
80875.00	1.00
80881.00	0.00
80896.00	1.00
80902.00	0.00
80911.00	1.00
80913.00	0.00
80915.00	1.00
80916.00	0.00
80917.00	1.00
80918.00	0.00
81889.00	1.00
81935.00	0.00
81951.00	1.00
81954.00	0.00
81965.00	1.00
81972.00	0.00
81979.00	1.00
81981.00	0.00
81983.00	1.00
81985.00	0.00
81986.00	1.00
81987.00	0.00
82028.00	1.00
82032.00	0.00
82051.00	1.00
82058.00	0.00
82071.00	1.00
82073.00	0.00
82082.00	1.00
82089.00	0.00
82098.00	1.00
82099.00	0.00
82101.00	1.00
82103.00	0.00
82104.00	1.00
82105.00	0.00
82106.00	1.00
82107.00	0.00
82308.00	1.00
82340.00	0.00
82356.00	1.00
82375.00	0.00
82384.00	1.00
82385.00	0.00
82387.00	1.00
82388.00	0.00
83470.00	1.00
83474.00	0.00
83493.00	1.00
83501.00	0.00
83515.00	1.00
83518.00	0.00
83530.00	1.00
83537.00	0.00
83551.00	1.00
83552.00	0.00
83564.00	1.00
83571.00	0.00
83585.00	1.00
83587.00	0.00
83597.00	1.00
83603.00	0.00
83613.00	1.00
83614.00	0.00
83623.00	1.00
83627.00	0.00
83634.00	1.00
83635.00	0.00
83637.00	1.00
83638.00	0.00
83639.00	1.00
83640.00	0.00
83641.00	1.00
83642.00	0.00
83643.00	1.00
83644.00	0.00
83645.00	1.00
