time	count
0.00	0.00
60581.00	0.00
75124.00	0.00
87004.00	0.00
87116.00	0.00
87471.00	0.00
87548.00	0.00
88171.00	0.00
88273.00	0.00
88776.00	0.00
88847.00	0.00
90847.00	0.00
90918.00	0.00
91127.00	0.00
91206.00	0.00
96893.00	0.00
96990.00	0.00
97273.00	0.00
97359.00	0.00
98093.00	0.00
98165.00	0.00
98481.00	0.00
98552.00	0.00
100127.00	0.00
100223.00	0.00
100550.00	0.00
100659.00	0.00
101045.00	0.00
101144.00	0.00
105539.00	0.00
105624.00	0.00
106955.00	0.00
107052.00	0.00
107699.00	0.00
107807.00	0.00
112119.00	0.00
112236.00	0.00
112914.00	0.00
113028.00	0.00
113396.00	0.00
113490.00	0.00
113817.00	0.00
113892.00	0.00
114220.00	0.00
114323.00	0.00
114554.00	0.00
114655.00	0.00
114987.00	0.00
115089.00	0.00
116805.00	0.00
116908.00	0.00
117265.00	0.00
117375.00	0.00
117640.00	0.00
117752.00	0.00
118062.00	0.00
118148.00	0.00
119313.00	0.00
119392.00	0.00
123104.00	0.00
123184.00	0.00
123540.00	0.00
123634.00	0.00
124760.00	0.00
124911.00	0.00
126200.00	0.00
126303.00	0.00
127256.00	0.00
127342.00	0.00
128203.00	0.00
128298.00	0.00
129226.00	0.00
129308.00	0.00
130006.00	0.00
130123.00	0.00
130556.00	0.00
130636.00	0.00
133030.00	0.00
133114.00	0.00
134017.00	0.00
134100.00	0.00
134450.00	0.00
134546.00	0.00
135698.00	0.00
135792.00	0.00
136075.00	0.00
136187.00	0.00
266169.00	0.00
287840.00	0.00
288412.00	0.00
288765.00	0.00
288858.00	0.00
288956.00	0.00
289140.00	0.00
289274.00	0.00
293371.00	0.00
293472.00	0.00
293567.00	0.00
293665.00	0.00
293774.00	0.00
293865.00	0.00
293973.00	0.00
294073.00	0.00
294173.00	0.00
294269.00	0.00
294408.00	0.00
294503.00	0.00
294594.00	0.00
294695.00	0.00
294830.00	0.00
294939.00	0.00
295036.00	0.00
295131.00	0.00
295254.00	0.00
295346.00	0.00
295448.00	0.00
295544.00	0.00
295659.00	0.00
295747.00	0.00
295836.00	0.00
295935.00	0.00
296042.00	0.00
296138.00	0.00
296234.00	0.00
296325.00	0.00
296491.00	0.00
296597.00	0.00
296691.00	0.00
300574.00	0.00
300693.00	0.00
300769.00	0.00
300851.00	0.00
300917.00	0.00
300983.00	0.00
301042.00	0.00
301107.00	0.00
301175.00	0.00
301239.00	0.00
301307.00	0.00
301372.00	0.00
301435.00	0.00
301510.00	0.00
301581.00	0.00
301632.00	0.00
301673.00	0.00
301743.00	0.00
301811.00	0.00
301877.00	0.00
301944.00	0.00
302011.00	0.00
302077.00	0.00
302149.00	0.00
302217.00	0.00
302278.00	0.00
302356.00	0.00
302453.00	0.00
302512.00	0.00
302564.00	0.00
302639.00	0.00
302695.00	0.00
302810.00	0.00
302850.00	0.00
302934.00	0.00
303016.00	0.00
303079.00	0.00
303140.00	0.00
303211.00	0.00
303382.00	0.00
303450.00	0.00
303516.00	0.00
303572.00	0.00
303638.00	0.00
303704.00	0.00
303773.00	0.00
303915.00	0.00
