level	start	end	color	opacity	title	initiation	in	out	children	parents	prof_uid
22	72622	73062	#ff000e	1.0	Copy size=10000	1					21516
22	75719	75906	#ff00e3	1.0	Copy size=10000	3					21517
22	196969	199053	#007eff	1.0	Copy size=100	7					33246
22	200250	204015	#007eff	1.0	Copy size=100	13					33421
21	200370	204095	#007eff	1.0	Copy size=100	15					30766
22	205586	207694	#007eff	1.0	Copy size=100	17					31342
21	205715	207793	#007eff	1.0	Copy size=100	19					30767
20	205834	207857	#007eff	1.0	Copy size=100	21					30768
19	206005	208017	#007eff	1.0	Copy size=100	23					30769
18	206079	208052	#007eff	1.0	Copy size=100	25					31343
17	206159	208113	#007eff	1.0	Copy size=100	27					30770
16	206230	208141	#007eff	1.0	Copy size=100	29					33247
15	206327	208285	#007eff	1.0	Copy size=100	31					30771
14	206399	208350	#007eff	1.0	Copy size=100	33					30772
13	206455	208376	#007eff	1.0	Copy size=100	35					30773
12	206619	208513	#007eff	1.0	Copy size=100	37					30774
11	206671	208540	#007eff	1.0	Copy size=100	39					30775
10	206789	208640	#007eff	1.0	Copy size=100	43					32234
9	206838	208683	#007eff	1.0	Copy size=100	41					30776
8	206992	208803	#007eff	1.0	Copy size=100	45					32235
7	207079	208835	#007eff	1.0	Copy size=100	47					32236
6	207172	208913	#007eff	1.0	Copy size=100	49					30778
5	207225	208867	#007eff	1.0	Copy size=100	51					30777
4	207347	208990	#007eff	1.0	Copy size=100	53					32237
3	207432	209034	#007eff	1.0	Copy size=100	55					32238
2	207512	209079	#007eff	1.0	Copy size=100	57					30779
1	207644	209161	#007eff	1.0	Copy size=100	59					30780
22	207927	209434	#007eff	1.0	Copy size=100	61					30781
21	208181	209619	#007eff	1.0	Copy size=100	63					30782
20	208454	209891	#007eff	1.0	Copy size=100	65					30783
19	208582	210044	#007eff	1.0	Copy size=100	67					32239
18	208740	210194	#007eff	1.0	Copy size=100	69					30784
17	208942	210398	#007eff	1.0	Copy size=100	85					30785
16	209115	210556	#007eff	1.0	Copy size=100	71					30786
15	209249	210639	#007eff	1.0	Copy size=100	87					30787
22	209759	211023	#007eff	1.0	Copy size=100	73					30788
21	210128	211424	#007eff	1.0	Copy size=100	89					30789
20	210422	211721	#007eff	1.0	Copy size=100	75					30790
19	210686	212045	#007eff	1.0	Copy size=100	77					32240
18	210720	212024	#007eff	1.0	Copy size=100	79					30791
17	210805	212184	#007eff	1.0	Copy size=100	81					32241
16	210841	212277	#007eff	1.0	Copy size=100	83					31344
15	210964	212399	#007eff	1.0	Copy size=100	9					30792
22	211079	212507	#007eff	1.0	Copy size=100	11					30793
14	211276	212705	#007eff	1.0	Copy size=400	7					30794
21	211571	213056	#007eff	1.0	Copy size=400	13					30795
20	211885	213436	#007eff	1.0	Copy size=400	15					30796
19	212079	213552	#007eff	1.0	Copy size=400	17					32242
18	212248	213721	#007eff	1.0	Copy size=400	19					32243
22	212585	214044	#007eff	1.0	Copy size=400	21					30797
17	212921	214398	#007eff	1.0	Copy size=400	23					30798
21	213255	214742	#007eff	1.0	Copy size=400	25					18287
20	213931	215552	#007eff	1.0	Copy size=400	27					31345
22	214266	215744	#007eff	1.0	Copy size=400	29					31346
19	214614	216093	#007eff	1.0	Copy size=400	31					30799
21	214816	216295	#007eff	1.0	Copy size=400	33					18288
18	215195	216711	#007eff	1.0	Copy size=400	35					30800
17	215440	217027	#007eff	1.0	Copy size=400	37					30801
20	215640	217218	#007eff	1.0	Copy size=400	39					30802
22	215954	217531	#007eff	1.0	Copy size=400	43					30803
21	216396	217965	#007eff	1.0	Copy size=400	41					30804
19	216596	218222	#007eff	1.0	Copy size=400	45					18289
18	216870	218512	#007eff	1.0	Copy size=400	47					33248
17	217118	218707	#007eff	1.0	Copy size=400	49					30805
20	217394	219058	#007eff	1.0	Copy size=400	51					32244
22	217740	219479	#007eff	1.0	Copy size=400	53					32245
21	218055	219800	#007eff	1.0	Copy size=400	55					32246
19	218348	220108	#007eff	1.0	Copy size=400	57					18290
18	218865	220633	#007eff	1.0	Copy size=400	59					33249
20	219200	220953	#007eff	1.0	Copy size=400	61					31654
22	219561	221163	#007eff	1.0	Copy size=400	63					31347
21	219879	221296	#007eff	1.0	Copy size=400	65					31095
19	220185	221404	#007eff	1.0	Copy size=400	67					33422
17	220394	221551	#007eff	1.0	Copy size=400	69					32247
18	220689	221694	#007eff	1.0	Copy size=400	85					31348
20	221038	221930	#007eff	1.0	Copy size=400	71					30806
22	221187	222042	#007eff	1.0	Copy size=400	87					31096
21	221370	222172	#007eff	1.0	Copy size=400	73					31349
19	221466	222246	#007eff	1.0	Copy size=400	89					31655
17	221587	222326	#007eff	1.0	Copy size=400	75					31097
18	221765	222507	#007eff	1.0	Copy size=400	77					30807
16	221813	222479	#007eff	1.0	Copy size=400	79					31350
20	221982	222566	#007eff	1.0	Copy size=400	81					30809
22	222139	222555	#007eff	1.0	Copy size=400	83					31098
21	222295	222586	#007eff	1.0	Copy size=400	9					33250
19	222359	222539	#007eff	1.0	Copy size=400	11					30808
22	266644	266828	#ff00e3	1.0	Copy size=10000	91					21518
22	269165	269373	#ff00e3	1.0	Copy size=10000	95					30810
