time	count
0.00	0.00
19367.00	0.06
19450.00	0.00
19495.00	0.06
19497.00	0.00
19858.00	0.06
20025.00	0.00
20344.00	0.06
20354.00	0.12
20377.00	0.06
20393.00	0.12
20413.00	0.06
20429.00	0.12
20430.00	0.06
20465.00	0.00
20540.00	0.06
20547.00	0.00
20609.00	0.06
20629.00	0.12
20630.00	0.06
20652.00	0.12
20656.00	0.06
20658.00	0.00
20690.00	0.06
20693.00	0.00
20933.00	0.06
20983.00	0.00
21086.00	0.06
21088.00	0.00
21134.00	0.06
21136.00	0.00
21159.00	0.06
21160.00	0.00
21191.00	0.06
21194.00	0.00
21225.00	0.06
21226.00	0.00
21252.00	0.06
21254.00	0.00
21302.00	0.06
21319.00	0.12
21321.00	0.06
21329.00	0.00
21350.00	0.06
21352.00	0.00
21390.00	0.06
21392.00	0.00
21411.00	0.06
21439.00	0.12
21441.00	0.06
22006.00	0.00
29293.00	0.06
29294.00	0.00
29399.00	0.06
29407.00	0.00
29430.00	0.06
29433.00	0.00
30055.00	0.06
30071.00	0.00
30751.00	0.06
31119.00	0.12
31121.00	0.06
31151.00	0.12
31181.00	0.06
31189.00	0.12
31190.00	0.06
31203.00	0.12
31206.00	0.06
31224.00	0.12
31227.00	0.06
34321.00	0.12
34323.00	0.25
34324.00	0.19
34325.00	0.12
34326.00	0.06
34329.00	0.12
34330.00	0.19
34332.00	0.19
34333.00	0.06
34334.00	0.12
34335.00	0.06
34339.00	0.12
34340.00	0.06
34377.00	0.12
34379.00	0.06
34439.00	0.12
34443.00	0.06
34452.00	0.12
34455.00	0.06
34473.00	0.12
34475.00	0.06
34500.00	0.12
34510.00	0.06
34515.00	0.12
34518.00	0.06
34531.00	0.12
34539.00	0.06
34544.00	0.12
34546.00	0.06
34572.00	0.12
34574.00	0.06
34589.00	0.12
34590.00	0.06
34607.00	0.12
34609.00	0.06
34631.00	0.12
34633.00	0.06
34682.00	0.12
34683.00	0.06
34706.00	0.12
34707.00	0.06
34728.00	0.12
34729.00	0.06
34752.00	0.12
34754.00	0.06
34769.00	0.12
34770.00	0.06
34783.00	0.12
34789.00	0.06
34800.00	0.12
34802.00	0.06
34815.00	0.12
34816.00	0.06
34838.00	0.12
34839.00	0.06
34859.00	0.12
34861.00	0.06
34875.00	0.12
34877.00	0.06
34893.00	0.12
34898.00	0.06
34912.00	0.12
34920.00	0.06
34925.00	0.12
34928.00	0.06
34942.00	0.12
34943.00	0.06
34971.00	0.12
34972.00	0.06
34991.00	0.12
35000.00	0.06
35010.00	0.12
35017.00	0.06
35027.00	0.12
35028.00	0.06
35040.00	0.12
35042.00	0.06
35057.00	0.12
35058.00	0.06
35078.00	0.12
35079.00	0.06
35096.00	0.12
35097.00	0.06
35120.00	0.12
35121.00	0.06
35139.00	0.12
35140.00	0.06
35163.00	0.12
35164.00	0.06
35227.00	0.12
35228.00	0.06
35251.00	0.12
35253.00	0.06
35278.00	0.12
35279.00	0.06
35298.00	0.12
35303.00	0.06
35316.00	0.12
35318.00	0.06
35339.00	0.12
35341.00	0.06
35361.00	0.12
35362.00	0.06
35379.00	0.12
35380.00	0.06
35397.00	0.12
35403.00	0.06
35415.00	0.12
35417.00	0.06
35433.00	0.12
35435.00	0.06
35453.00	0.12
35454.00	0.06
35471.00	0.12
35472.00	0.06
35489.00	0.12
35490.00	0.06
35507.00	0.12
35508.00	0.06
35525.00	0.12
35526.00	0.06
35544.00	0.12
35551.00	0.06
35561.00	0.12
35566.00	0.06
35580.00	0.12
35585.00	0.06
35598.00	0.12
35599.00	0.06
35612.00	0.12
35614.00	0.06
35630.00	0.12
35631.00	0.06
35689.00	0.12
35691.00	0.06
35712.00	0.12
35713.00	0.06
35733.00	0.12
35734.00	0.06
35757.00	0.12
35759.00	0.06
35776.00	0.12
35778.00	0.06
35797.00	0.12
35798.00	0.06
35813.00	0.12
35814.00	0.06
35834.00	0.12
35839.00	0.06
35853.00	0.12
35855.00	0.06
35870.00	0.12
35871.00	0.06
35886.00	0.12
35891.00	0.06
35905.00	0.12
35906.00	0.06
35914.00	0.12
35916.00	0.06
35930.00	0.12
35931.00	0.06
35947.00	0.12
35948.00	0.06
35977.00	0.12
35979.00	0.06
35995.00	0.12
35997.00	0.06
36014.00	0.12
36015.00	0.06
36034.00	0.12
36040.00	0.06
36049.00	0.12
36050.00	0.06
36066.00	0.12
36068.00	0.06
36075.00	0.00
36082.00	0.06
36093.00	0.00
36105.00	0.06
36107.00	0.00
36129.00	0.06
36135.00	0.00
36146.00	0.06
36147.00	0.00
36165.00	0.06
36166.00	0.00
36179.00	0.06
