time	count
0.00	0.00
9844.00	1.00
9890.00	0.00
10022.00	1.00
10025.00	0.00
10310.00	1.00
10448.00	0.00
10743.00	1.00
10752.00	0.00
10759.00	1.00
10768.00	0.00
10774.00	1.00
10775.00	0.00
10812.00	1.00
10814.00	0.00
10931.00	1.00
10932.00	0.00
10951.00	1.00
10972.00	0.00
10993.00	1.00
10997.00	0.00
11035.00	1.00
11037.00	0.00
11134.00	1.00
11183.00	0.00
11292.00	1.00
11296.00	0.00
11303.00	1.00
11304.00	0.00
11333.00	1.00
11334.00	0.00
11351.00	1.00
11352.00	0.00
11383.00	1.00
11385.00	0.00
11396.00	1.00
11397.00	0.00
11515.00	1.00
11530.00	0.00
11555.00	1.00
11556.00	0.00
11634.00	1.00
11636.00	0.00
11651.00	1.00
12177.00	0.00
19606.00	1.00
19611.00	0.00
19683.00	1.00
19691.00	0.00
19697.00	1.00
19701.00	0.00
20264.00	1.00
20277.00	0.00
20954.00	1.00
21338.00	0.00
21343.00	1.00
21349.00	0.00
21353.00	1.00
21354.00	0.00
21356.00	1.00
21357.00	0.00
21359.00	0.00
21362.00	0.00
50404.00	1.00
50413.00	0.00
50421.00	1.00
50422.00	0.00
50426.00	1.00
50427.00	0.00
50445.00	1.00
50446.00	0.00
50454.00	0.00
50458.00	0.00
50462.00	1.00
50467.00	0.00
50473.00	0.00
50477.00	0.00
50481.00	1.00
50482.00	0.00
50486.00	1.00
50489.00	0.00
50495.00	1.00
50496.00	0.00
50500.00	1.00
50501.00	0.00
50518.00	1.00
50519.00	0.00
50559.00	1.00
50561.00	0.00
50568.00	1.00
50569.00	0.00
50591.00	1.00
50598.00	0.00
50605.00	0.00
50608.00	1.00
50609.00	0.00
50613.00	0.00
50616.00	0.00
50621.00	1.00
50624.00	0.00
50629.00	1.00
50630.00	0.00
50632.00	1.00
50633.00	0.00
50636.00	0.00
50643.00	1.00
50644.00	0.00
50656.00	1.00
50659.00	0.00
50665.00	0.00
50679.00	0.00
50684.00	0.00
50713.00	1.00
50715.00	0.00
50733.00	1.00
50734.00	0.00
50741.00	1.00
50747.00	0.00
50754.00	1.00
50755.00	0.00
50759.00	0.00
50762.00	1.00
50763.00	0.00
50767.00	0.00
50772.00	1.00
50776.00	0.00
50780.00	0.00
50785.00	0.00
50790.00	0.00
50803.00	1.00
50804.00	0.00
50810.00	1.00
50813.00	0.00
50819.00	0.00
50836.00	1.00
50837.00	0.00
50846.00	1.00
50847.00	0.00
50857.00	0.00
