time	count
0.00	0.00
13102.00	1.00
13211.00	0.00
13266.00	1.00
13374.00	0.00
13398.00	1.00
13697.00	0.00
13710.00	1.00
13713.00	0.00
13913.00	1.00
14170.00	0.00
14199.00	1.00
14225.00	0.00
14235.00	1.00
14249.00	0.00
14258.00	1.00
14274.00	0.00
14284.00	1.00
14400.00	0.00
14422.00	1.00
14477.00	0.00
14494.00	1.00
14497.00	0.00
14549.00	1.00
14569.00	0.00
14585.00	1.00
14772.00	0.00
14793.00	1.00
14821.00	0.00
14830.00	1.00
14837.00	0.00
14844.00	1.00
14853.00	0.00
14867.00	1.00
14884.00	0.00
14897.00	1.00
14903.00	0.00
14909.00	1.00
14957.00	0.00
15011.00	1.00
15022.00	0.00
15037.00	1.00
15052.00	0.00
15064.00	1.00
15066.00	0.00
15785.00	1.00
23259.00	0.00
23279.00	1.00
23340.00	0.00
23355.00	1.00
23362.00	0.00
23372.00	1.00
24640.00	0.00
24668.00	1.00
24673.00	0.00
24886.00	1.00
24963.00	0.00
24986.00	1.00
25028.00	0.00
25051.00	1.00
25061.00	0.00
25073.00	1.00
25081.00	0.00
25164.00	1.00
25183.00	0.00
25207.00	1.00
51606.00	0.00
51628.00	1.00
51634.00	0.00
51647.00	1.00
51648.00	0.00
51653.00	1.00
51654.00	0.00
51658.00	1.00
51659.00	0.00
51663.00	1.00
51664.00	0.00
51672.00	1.00
51673.00	0.00
51682.00	0.00
51691.00	1.00
51692.00	0.00
51698.00	1.00
51699.00	0.00
51708.00	1.00
51709.00	0.00
51717.00	1.00
51718.00	0.00
51726.00	1.00
51727.00	0.00
51740.00	1.00
51741.00	0.00
51747.00	1.00
51748.00	0.00
51763.00	1.00
51764.00	0.00
51774.00	1.00
51775.00	0.00
51783.00	1.00
51784.00	0.00
51793.00	1.00
51794.00	0.00
51802.00	1.00
51803.00	0.00
51811.00	1.00
51812.00	0.00
51820.00	1.00
51821.00	0.00
51829.00	1.00
51830.00	0.00
51835.00	1.00
51836.00	0.00
51876.00	1.00
51880.00	0.00
51899.00	1.00
51901.00	0.00
51920.00	1.00
51922.00	0.00
51935.00	1.00
51936.00	0.00
51949.00	1.00
51950.00	0.00
51960.00	1.00
51961.00	0.00
51972.00	1.00
51974.00	0.00
51984.00	1.00
51985.00	0.00
52008.00	1.00
52010.00	0.00
52027.00	1.00
52028.00	0.00
52048.00	1.00
52049.00	0.00
52072.00	1.00
52074.00	0.00
52091.00	1.00
52092.00	0.00
52110.00	1.00
52111.00	0.00
52129.00	1.00
52130.00	0.00
52148.00	1.00
52149.00	0.00
52159.00	0.00
52168.00	1.00
52169.00	0.00
52178.00	1.00
52179.00	0.00
52200.00	1.00
52203.00	0.00
52238.00	1.00
52242.00	0.00
52262.00	1.00
52264.00	0.00
52279.00	1.00
52281.00	0.00
52293.00	1.00
52294.00	0.00
52306.00	1.00
52307.00	0.00
52317.00	1.00
52318.00	0.00
52330.00	1.00
52331.00	0.00
52341.00	1.00
52343.00	0.00
52355.00	1.00
52357.00	0.00
52372.00	1.00
52373.00	0.00
52381.00	1.00
52382.00	0.00
52392.00	1.00
52393.00	0.00
52401.00	1.00
52402.00	0.00
52410.00	1.00
52411.00	0.00
52418.00	1.00
52419.00	0.00
52426.00	1.00
52427.00	0.00
52438.00	1.00
52439.00	0.00
52449.00	1.00
52450.00	0.00
52458.00	1.00
52459.00	0.00
52467.00	1.00
52468.00	0.00
52476.00	1.00
52477.00	0.00
52484.00	1.00
52485.00	0.00
52493.00	1.00
52494.00	0.00
52503.00	1.00
52504.00	0.00
52512.00	0.00
52521.00	0.00
52529.00	1.00
52530.00	0.00
52539.00	1.00
52540.00	0.00
52547.00	1.00
52548.00	0.00
52557.00	1.00
52558.00	0.00
52566.00	1.00
52567.00	0.00
52574.00	1.00
52575.00	0.00
52581.00	1.00
52582.00	0.00
52589.00	1.00
52590.00	0.00
52599.00	1.00
52600.00	0.00
52610.00	1.00
52611.00	0.00
52619.00	1.00
52620.00	0.00
52629.00	1.00
52630.00	0.00
52637.00	1.00
52638.00	0.00
52645.00	1.00
52646.00	0.00
52653.00	1.00
52654.00	0.00
52662.00	1.00
52663.00	0.00
52671.00	1.00
52672.00	0.00
52679.00	1.00
52680.00	0.00
52688.00	0.00
52697.00	1.00
52698.00	0.00
52706.00	1.00
52707.00	0.00
52716.00	1.00
52717.00	0.00
52725.00	1.00
52726.00	0.00
52732.00	1.00
52733.00	0.00
52741.00	1.00
52742.00	0.00
52751.00	1.00
52752.00	0.00
52760.00	1.00
52761.00	0.00
52769.00	0.00
52777.00	1.00
52778.00	0.00
52785.00	1.00
52786.00	0.00
52794.00	1.00
52795.00	0.00
52803.00	1.00
52804.00	0.00
52812.00	1.00
52813.00	0.00
52820.00	1.00
52821.00	0.00
52830.00	0.00
52838.00	1.00
52839.00	0.00
52847.00	1.00
52849.00	0.00
52856.00	1.00
52857.00	0.00
52865.00	1.00
52866.00	0.00
52874.00	1.00
52875.00	0.00
52882.00	1.00
52883.00	0.00
52891.00	1.00
52892.00	0.00
52900.00	1.00
52901.00	0.00
52909.00	0.00
52917.00	1.00
52918.00	0.00
52926.00	1.00
52927.00	0.00
52934.00	1.00
52935.00	0.00
52942.00	1.00
52943.00	0.00
52959.00	1.00
52960.00	0.00
52977.00	1.00
52978.00	0.00
52987.00	1.00
52988.00	0.00
52997.00	1.00
52998.00	0.00
53004.00	1.00
53005.00	0.00
53016.00	1.00
53017.00	0.00
53025.00	1.00
53026.00	0.00
53032.00	1.00
53033.00	0.00
53041.00	1.00
53042.00	0.00
53051.00	1.00
53052.00	0.00
53059.00	1.00
53060.00	0.00
53070.00	1.00
53071.00	0.00
53079.00	1.00
53080.00	0.00
53088.00	1.00
53089.00	0.00
53095.00	1.00
53096.00	0.00
53107.00	1.00
53108.00	0.00
53116.00	1.00
53117.00	0.00
53126.00	1.00
53127.00	0.00
53141.00	1.00
53142.00	0.00
53149.00	1.00
53150.00	0.00
53159.00	1.00
53160.00	0.00
53175.00	1.00
53176.00	0.00
53188.00	1.00
53189.00	0.00
53198.00	1.00
53199.00	0.00
53207.00	1.00
53208.00	0.00
53216.00	1.00
53217.00	0.00
53225.00	0.00
53233.00	1.00
53234.00	0.00
53242.00	1.00
53243.00	0.00
53253.00	0.00
53262.00	1.00
53263.00	0.00
53271.00	1.00
53272.00	0.00
53279.00	1.00
53280.00	0.00
53290.00	1.00
53291.00	0.00
53300.00	1.00
53301.00	0.00
53309.00	1.00
53310.00	0.00
53319.00	0.00
53327.00	1.00
53328.00	0.00
53336.00	1.00
53337.00	0.00
53345.00	1.00
53346.00	0.00
53354.00	1.00
53355.00	0.00
53363.00	0.00
53371.00	1.00
53372.00	0.00
53380.00	1.00
53381.00	0.00
53396.00	1.00
53397.00	0.00
53411.00	1.00
53412.00	0.00
53423.00	1.00
53424.00	0.00
53432.00	1.00
53433.00	0.00
53442.00	1.00
53443.00	0.00
53451.00	0.00
53459.00	1.00
53460.00	0.00
53467.00	1.00
53468.00	0.00
53476.00	1.00
53477.00	0.00
53486.00	1.00
53487.00	0.00
53495.00	1.00
53496.00	0.00
53505.00	1.00
53506.00	0.00
53514.00	1.00
53515.00	0.00
53524.00	1.00
53525.00	0.00
53531.00	1.00
53532.00	0.00
53546.00	1.00
53547.00	0.00
53557.00	1.00
53558.00	0.00
53566.00	1.00
53567.00	0.00
53575.00	1.00
53576.00	0.00
53584.00	1.00
53585.00	0.00
53592.00	1.00
53593.00	0.00
53599.00	0.00
53610.00	1.00
53611.00	0.00
53620.00	1.00
53621.00	0.00
53629.00	0.00
53640.00	0.00
53648.00	1.00
53649.00	0.00
53665.00	1.00
53666.00	0.00
53683.00	1.00
53684.00	0.00
53695.00	1.00
53696.00	0.00
53705.00	1.00
53706.00	0.00
53716.00	1.00
53717.00	0.00
53724.00	1.00
53725.00	0.00
53734.00	1.00
53735.00	0.00
53743.00	0.00
53751.00	0.00
53760.00	1.00
53761.00	0.00
53771.00	1.00
53772.00	0.00
53785.00	1.00
53786.00	0.00
53794.00	1.00
53795.00	0.00
53804.00	1.00
53805.00	0.00
53813.00	0.00
53830.00	1.00
53831.00	0.00
53849.00	1.00
53850.00	0.00
53867.00	1.00
53868.00	0.00
53883.00	1.00
53884.00	0.00
53893.00	1.00
53894.00	0.00
53903.00	1.00
53904.00	0.00
53912.00	1.00
53913.00	0.00
53922.00	1.00
53923.00	0.00
53930.00	1.00
53931.00	0.00
53941.00	1.00
53942.00	0.00
53953.00	1.00
53954.00	0.00
53969.00	1.00
53970.00	0.00
53979.00	0.00
53988.00	1.00
53989.00	0.00
53997.00	1.00
53998.00	0.00
54005.00	1.00
54006.00	0.00
54014.00	1.00
54015.00	0.00
54023.00	1.00
54024.00	0.00
54033.00	1.00
54034.00	0.00
54042.00	1.00
54043.00	0.00
54052.00	0.00
54060.00	1.00
54061.00	0.00
54076.00	1.00
54077.00	0.00
54085.00	1.00
54086.00	0.00
54095.00	1.00
54096.00	0.00
54103.00	1.00
54104.00	0.00
54112.00	1.00
54113.00	0.00
54126.00	1.00
54127.00	0.00
54140.00	1.00
54141.00	0.00
54149.00	1.00
54150.00	0.00
54159.00	1.00
54160.00	0.00
54168.00	1.00
54169.00	0.00
54179.00	0.00
54187.00	1.00
54188.00	0.00
54199.00	1.00
54200.00	0.00
54212.00	1.00
54213.00	0.00
54221.00	1.00
54222.00	0.00
54230.00	1.00
54231.00	0.00
54239.00	1.00
54240.00	0.00
54250.00	1.00
54251.00	0.00
54259.00	1.00
54260.00	0.00
54275.00	1.00
54276.00	0.00
54285.00	1.00
54286.00	0.00
54295.00	1.00
54296.00	0.00
54304.00	1.00
54305.00	0.00
54312.00	1.00
54313.00	0.00
54346.00	1.00
54350.00	0.00
54370.00	1.00
54372.00	0.00
54390.00	1.00
54392.00	0.00
54406.00	1.00
54407.00	0.00
54417.00	1.00
54418.00	0.00
54428.00	1.00
54430.00	0.00
54441.00	1.00
54442.00	0.00
54452.00	1.00
54457.00	0.00
54474.00	1.00
54476.00	0.00
54493.00	1.00
54494.00	0.00
54511.00	1.00
54512.00	0.00
54525.00	1.00
54526.00	0.00
54536.00	1.00
54537.00	0.00
54544.00	1.00
54545.00	0.00
54554.00	1.00
54555.00	0.00
54563.00	1.00
54564.00	0.00
54579.00	1.00
54580.00	0.00
54597.00	1.00
54598.00	0.00
54616.00	1.00
54617.00	0.00
54633.00	1.00
54635.00	0.00
54645.00	1.00
54646.00	0.00
54655.00	1.00
54656.00	0.00
