time	count
0.00	0.00
14512.00	1.00
14593.00	0.00
14665.00	1.00
14775.00	0.00
14808.00	1.00
15105.00	0.00
15117.00	1.00
15119.00	0.00
15346.00	1.00
15578.00	0.00
15615.00	1.00
15640.00	0.00
15649.00	1.00
15674.00	0.00
15696.00	1.00
15714.00	0.00
15730.00	1.00
15917.00	0.00
15956.00	1.00
16027.00	0.00
16067.00	1.00
16087.00	0.00
16113.00	1.00
16305.00	0.00
16337.00	1.00
16365.00	0.00
16393.00	1.00
16400.00	0.00
16423.00	1.00
16433.00	0.00
16453.00	1.00
16475.00	0.00
16496.00	1.00
16502.00	0.00
16519.00	1.00
16559.00	0.00
16621.00	1.00
16633.00	0.00
16658.00	1.00
16674.00	0.00
17297.00	1.00
24489.00	0.00
24520.00	1.00
24597.00	0.00
24621.00	1.00
24629.00	0.00
24641.00	1.00
25954.00	0.00
25980.00	1.00
25985.00	0.00
26163.00	1.00
26246.00	0.00
26279.00	1.00
26323.00	0.00
26353.00	1.00
26372.00	0.00
26399.00	1.00
26405.00	0.00
26431.00	1.00
26437.00	0.00
26594.00	1.00
26666.00	0.00
26715.00	1.00
53720.00	0.00
53759.00	1.00
53766.00	0.00
53775.00	1.00
53776.00	0.00
53781.00	1.00
53782.00	0.00
53797.00	1.00
53798.00	0.00
53816.00	1.00
53817.00	0.00
53834.00	1.00
53835.00	0.00
53848.00	1.00
53849.00	0.00
53862.00	1.00
53863.00	0.00
53881.00	1.00
53883.00	0.00
53907.00	1.00
53909.00	0.00
53926.00	1.00
53927.00	0.00
53965.00	1.00
53970.00	0.00
54004.00	1.00
54006.00	0.00
54031.00	1.00
54033.00	0.00
54055.00	1.00
54056.00	0.00
54075.00	1.00
54076.00	0.00
54097.00	1.00
54099.00	0.00
54114.00	1.00
54115.00	0.00
54127.00	1.00
54128.00	0.00
54143.00	1.00
54144.00	0.00
54156.00	0.00
54251.00	1.00
54256.00	0.00
54288.00	1.00
54295.00	0.00
54327.00	1.00
54329.00	0.00
54348.00	1.00
54350.00	0.00
54375.00	1.00
54377.00	0.00
54399.00	1.00
54400.00	0.00
54413.00	1.00
54414.00	0.00
54433.00	1.00
54434.00	0.00
54461.00	1.00
54462.00	0.00
54474.00	1.00
54475.00	0.00
54491.00	1.00
54492.00	0.00
54507.00	1.00
54508.00	0.00
54522.00	1.00
54523.00	0.00
54605.00	1.00
54610.00	0.00
54643.00	1.00
54645.00	0.00
54669.00	1.00
54671.00	0.00
54685.00	1.00
54686.00	0.00
54707.00	1.00
54708.00	0.00
54721.00	1.00
54722.00	0.00
54801.00	1.00
54806.00	0.00
54840.00	1.00
54842.00	0.00
54867.00	1.00
54868.00	0.00
54886.00	1.00
54887.00	0.00
54906.00	1.00
54907.00	0.00
54923.00	1.00
54924.00	0.00
54935.00	1.00
54936.00	0.00
54947.00	1.00
54948.00	0.00
54959.00	1.00
54960.00	0.00
54971.00	1.00
54972.00	0.00
54983.00	1.00
54984.00	0.00
54994.00	1.00
54995.00	0.00
55007.00	1.00
55008.00	0.00
55025.00	1.00
55026.00	0.00
55108.00	1.00
55112.00	0.00
55159.00	1.00
55161.00	0.00
55186.00	1.00
55187.00	0.00
55203.00	1.00
55204.00	0.00
55225.00	1.00
55226.00	0.00
55245.00	1.00
55246.00	0.00
55265.00	1.00
55266.00	0.00
55291.00	1.00
55292.00	0.00
55310.00	0.00
55331.00	1.00
55332.00	0.00
55355.00	1.00
55356.00	0.00
55374.00	1.00
55375.00	0.00
55396.00	1.00
55397.00	0.00
55411.00	1.00
55412.00	0.00
55425.00	1.00
55426.00	0.00
55439.00	1.00
55440.00	0.00
55451.00	1.00
55452.00	0.00
55460.00	1.00
55461.00	0.00
55473.00	1.00
55474.00	0.00
55492.00	1.00
55493.00	0.00
55511.00	1.00
55512.00	0.00
55536.00	1.00
55537.00	0.00
55556.00	1.00
55557.00	0.00
55580.00	1.00
55581.00	0.00
55608.00	1.00
55609.00	0.00
55630.00	1.00
55631.00	0.00
55643.00	0.00
55658.00	1.00
55659.00	0.00
55676.00	1.00
55677.00	0.00
55700.00	1.00
55701.00	0.00
55717.00	1.00
55718.00	0.00
55740.00	1.00
55741.00	0.00
55759.00	1.00
55760.00	0.00
55780.00	0.00
55796.00	1.00
55797.00	0.00
55806.00	1.00
55807.00	0.00
55818.00	1.00
55819.00	0.00
55833.00	1.00
55834.00	0.00
55849.00	1.00
55850.00	0.00
55869.00	1.00
55870.00	0.00
55910.00	1.00
55914.00	0.00
55943.00	1.00
55945.00	0.00
55969.00	1.00
55971.00	0.00
55989.00	1.00
55990.00	0.00
56006.00	1.00
56007.00	0.00
56030.00	1.00
56031.00	0.00
56053.00	1.00
56054.00	0.00
56069.00	1.00
56070.00	0.00
56088.00	1.00
56089.00	0.00
56166.00	1.00
56170.00	0.00
56204.00	1.00
56206.00	0.00
56230.00	1.00
56231.00	0.00
56246.00	1.00
56247.00	0.00
56274.00	1.00
56275.00	0.00
56298.00	1.00
56299.00	0.00
56310.00	1.00
56311.00	0.00
56324.00	1.00
56325.00	0.00
56345.00	1.00
56346.00	0.00
56363.00	0.00
56392.00	1.00
56393.00	0.00
56409.00	1.00
56410.00	0.00
56423.00	1.00
56424.00	0.00
56437.00	1.00
56438.00	0.00
56454.00	1.00
56455.00	0.00
56469.00	1.00
56470.00	0.00
56483.00	1.00
56484.00	0.00
56498.00	1.00
56499.00	0.00
56513.00	0.00
56537.00	1.00
56538.00	0.00
56556.00	1.00
56557.00	0.00
56570.00	1.00
56571.00	0.00
56583.00	1.00
56584.00	0.00
56592.00	1.00
56593.00	0.00
56611.00	1.00
56612.00	0.00
56629.00	1.00
56630.00	0.00
56644.00	0.00
56655.00	0.00
56669.00	0.00
56681.00	1.00
56682.00	0.00
56692.00	0.00
56703.00	1.00
56704.00	0.00
56781.00	1.00
56785.00	0.00
