level	start	end	color	opacity	title	initiation	in	out	children	parents	prof_uid
3	118334	118357	#000000	1.0	Intersection						111250
3	119622	119624	#000000	1.0	Intersection						190476
3	120641	120643	#000000	1.0	Intersection						190477
3	121681	121683	#000000	1.0	Intersection						50491
3	122871	122873	#000000	1.0	Intersection						50492
3	123840	123841	#000000	1.0	Intersection						190478
3	124921	124923	#000000	1.0	Intersection						50493
3	125939	125941	#000000	1.0	Intersection						111251
3	126958	126960	#000000	1.0	Intersection						190479
3	128002	128004	#000000	1.0	Intersection						111252
3	128955	128956	#000000	1.0	Intersection						111253
3	129862	129863	#000000	1.0	Intersection						111254
3	130776	130778	#000000	1.0	Intersection						111255
3	131633	131635	#000000	1.0	Intersection						111256
3	132508	132509	#000000	1.0	Intersection						111257
3	133369	133370	#000000	1.0	Intersection						190480
3	134270	134272	#000000	1.0	Intersection						111258
3	135143	135144	#000000	1.0	Intersection						111259
3	135949	135950	#000000	1.0	Intersection						190481
3	136841	136843	#000000	1.0	Intersection						111260
3	137740	137741	#000000	1.0	Intersection						111261
3	138619	138621	#000000	1.0	Intersection						111262
3	139500	139501	#000000	1.0	Intersection						111263
3	140383	140391	#000000	1.0	Intersection						111264
3	141252	141254	#000000	1.0	Intersection						111265
3	142136	142137	#000000	1.0	Intersection						111266
3	142932	142933	#000000	1.0	Intersection						111267
3	143891	143892	#000000	1.0	Intersection						111268
3	144710	144711	#000000	1.0	Intersection						111269
3	145681	145682	#000000	1.0	Intersection						111270
3	147266	147268	#000000	1.0	Intersection						111271
3	148196	148197	#000000	1.0	Intersection						111272
3	149074	149075	#000000	1.0	Intersection						111273
3	149963	149964	#000000	1.0	Intersection						111274
3	150836	150837	#000000	1.0	Intersection						111275
3	151739	151741	#000000	1.0	Intersection						111276
3	152635	152636	#000000	1.0	Intersection						111277
3	153506	153508	#000000	1.0	Intersection						111278
3	154375	154376	#000000	1.0	Intersection						111279
3	155240	155241	#000000	1.0	Intersection						111280
3	156097	156099	#000000	1.0	Intersection						111281
3	156894	156895	#000000	1.0	Intersection						190482
3	157715	157716	#000000	1.0	Intersection						111282
3	158660	158661	#000000	1.0	Intersection						111283
3	159547	159549	#000000	1.0	Intersection						111284
3	160337	160339	#000000	1.0	Intersection						111285
3	161273	161275	#000000	1.0	Intersection						111286
3	162136	162137	#000000	1.0	Intersection						111287
3	163037	163039	#000000	1.0	Intersection						111288
3	163876	163877	#000000	1.0	Intersection						111289
3	164718	164719	#000000	1.0	Intersection						111290
3	165601	165602	#000000	1.0	Intersection						111291
3	166465	166466	#000000	1.0	Intersection						111292
3	167336	167338	#000000	1.0	Intersection						111293
3	168199	168200	#000000	1.0	Intersection						111294
3	169088	169089	#000000	1.0	Intersection						111295
3	169943	169945	#000000	1.0	Intersection						111296
3	170830	170831	#000000	1.0	Intersection						111297
3	171699	171701	#000000	1.0	Intersection						111298
3	172581	172582	#000000	1.0	Intersection						111299
3	173463	173464	#000000	1.0	Intersection						111300
3	174336	174337	#000000	1.0	Intersection						111301
3	175742	175744	#000000	1.0	Intersection						111302
3	176686	176688	#000000	1.0	Intersection						111303
3	177636	177638	#000000	1.0	Intersection						111304
3	178505	178506	#000000	1.0	Intersection						111305
3	179376	179377	#000000	1.0	Intersection						111306
3	180278	180279	#000000	1.0	Intersection						111307
3	181177	181179	#000000	1.0	Intersection						111308
3	182065	182066	#000000	1.0	Intersection						111309
3	182972	182974	#000000	1.0	Intersection						111310
3	183847	183848	#000000	1.0	Intersection						111311
3	184719	184721	#000000	1.0	Intersection						111312
3	185609	185611	#000000	1.0	Intersection						111313
3	186483	186484	#000000	1.0	Intersection						111314
3	187359	187361	#000000	1.0	Intersection						111315
3	188236	188238	#000000	1.0	Intersection						111316
3	189102	189103	#000000	1.0	Intersection						111317
