time	count
0.00	0.00
24935.00	0.00
123219.00	0.00
128704.00	0.00
135644.00	0.00
140625.00	0.00
147608.00	0.00
152454.00	0.00
159771.00	0.00
164749.00	0.00
171588.00	0.00
176440.00	0.00
183180.00	0.00
188422.00	0.00
195222.00	0.00
200223.00	0.00
207272.00	0.00
212167.00	0.00
219323.00	0.00
224748.00	0.00
231716.00	0.00
236613.00	0.00
243474.00	0.00
248532.00	0.00
255818.00	0.00
261081.00	0.00
268077.00	0.00
273006.00	0.00
280422.00	0.00
285499.00	0.00
292991.00	0.00
298239.00	0.01
306863.00	0.01
311972.00	0.01
319134.00	0.01
324134.00	0.01
331138.00	0.01
336199.00	0.01
343206.00	0.01
348218.00	0.01
355162.00	0.01
360391.00	0.01
367792.00	0.01
372818.00	0.01
380187.00	0.01
385333.00	0.01
392277.00	0.01
397510.00	0.01
405025.00	0.01
410123.00	0.01
417260.00	0.01
422574.00	0.01
429560.00	0.01
434617.00	0.01
441963.00	0.01
446906.00	0.01
453968.00	0.01
459113.00	0.01
466521.00	0.01
471585.00	0.01
479009.00	0.01
484004.00	0.01
491285.00	0.01
496355.00	0.01
503490.00	0.01
508843.00	0.01
516369.00	0.01
521396.00	0.01
528778.00	0.01
533701.00	0.01
541048.00	0.01
546157.00	0.01
553932.00	0.01
559089.00	0.01
566213.00	0.01
571324.00	0.01
578667.00	0.01
583736.00	0.01
591405.00	0.01
596614.00	0.01
604188.00	0.01
609419.00	0.01
616738.00	0.01
622148.00	0.01
629191.00	0.01
634307.00	0.01
641584.00	0.01
646876.00	0.01
653925.00	0.01
659446.00	0.01
666749.00	0.01
671728.00	0.01
678830.00	0.01
683858.00	0.02
691292.00	0.02
696895.00	0.02
704253.00	0.02
709329.00	0.02
716489.00	0.02
721643.00	0.02
728509.00	0.02
733464.00	0.02
740932.00	0.02
746043.00	0.02
754134.00	0.02
759326.00	0.02
767006.00	0.02
772216.00	0.02
779653.00	0.02
784682.00	0.02
791872.00	0.02
796896.00	0.02
804631.00	0.02
809653.00	0.02
