time	count
0.00	0.00
95116.00	0.50
95161.00	0.00
95852.00	0.50
95853.00	0.00
98448.00	0.50
98451.00	0.00
98516.00	0.50
98517.00	0.00
99004.00	0.50
99005.00	0.00
99319.00	0.50
99328.00	0.00
100449.00	0.50
100458.00	0.00
100695.00	0.00
101043.00	0.50
101045.00	0.00
108749.00	0.50
108754.00	0.00
109660.00	0.50
109662.00	0.00
109817.00	0.50
109818.00	0.00
120795.00	0.50
120798.00	0.00
120843.00	0.00
120868.00	0.00
120883.00	0.50
121027.00	0.00
121040.00	0.50
121044.00	0.00
121161.00	0.50
121164.00	0.00
121419.00	0.50
121421.00	0.00
122214.00	0.50
122215.00	0.00
122821.00	0.50
122824.00	0.00
125064.00	0.50
125066.00	0.00
125813.00	0.50
125818.00	0.00
125830.00	0.50
125832.00	0.00
126423.00	0.50
126424.00	0.00
126736.00	0.50
126738.00	0.00
127024.00	0.50
127025.00	0.00
127112.00	0.00
127277.00	0.50
127278.00	0.00
127533.00	0.50
127534.00	0.00
127844.00	0.00
127898.00	0.50
127900.00	0.00
127942.00	0.50
127948.00	0.00
128050.00	0.50
128051.00	0.00
128088.00	0.50
128118.00	0.00
128132.00	0.50
128134.00	0.00
128151.00	0.50
128154.00	0.00
128194.00	0.50
128196.00	0.00
128256.00	0.50
128258.00	0.00
128448.00	0.50
128449.00	0.00
131523.00	0.50
131530.00	0.00
132404.00	0.50
132408.00	1.00
132410.00	0.50
132411.00	0.00
133060.00	0.50
133062.00	0.00
133368.00	0.50
133370.00	0.00
133636.00	0.00
133700.00	0.00
134348.00	0.00
134609.00	0.50
134610.00	0.00
134759.00	0.50
134760.00	0.00
134812.00	0.50
134813.00	0.00
134924.00	0.50
134954.00	0.00
134974.00	0.50
134976.00	0.00
134994.00	0.50
134996.00	0.00
135097.00	0.50
135099.00	0.00
135190.00	0.50
135193.00	0.00
135388.00	0.50
135394.00	0.00
136861.00	0.50
136862.00	0.00
137645.00	0.50
137646.00	0.00
137654.00	0.00
138323.00	0.50
138324.00	0.00
138644.00	0.50
138651.00	0.00
138925.00	0.50
138926.00	0.00
138992.00	0.00
139153.00	0.50
139154.00	0.00
139417.00	0.00
139730.00	0.50
139731.00	0.00
139810.00	0.50
139812.00	0.00
139871.00	0.50
139872.00	0.00
139994.00	0.50
139995.00	0.00
140017.00	0.50
140054.00	0.00
140069.00	0.50
140073.00	0.00
140086.00	0.50
140088.00	0.00
140141.00	0.50
140142.00	0.00
140227.00	0.50
140229.00	0.00
140393.00	0.50
140394.00	0.00
143488.00	0.50
143490.00	0.00
144389.00	0.50
144396.00	0.00
144402.00	0.50
144408.00	0.00
145097.00	0.50
145098.00	0.00
145456.00	0.50
145458.00	0.00
145729.00	0.00
145791.00	0.50
145792.00	0.00
145968.00	0.50
145969.00	0.00
146429.00	0.50
146430.00	0.00
146721.00	0.00
146798.00	0.50
146799.00	0.00
146850.00	0.50
146851.00	0.00
146960.00	0.00
146974.00	0.50
147006.00	0.00
147020.00	0.50
147021.00	0.00
147046.00	0.50
147048.00	0.00
147129.00	0.50
147130.00	0.00
147176.00	0.50
147177.00	0.00
147354.00	0.50
147360.00	0.00
148751.00	0.50
148752.00	0.00
149502.00	0.50
149504.00	0.00
149510.00	0.50
149511.00	0.00
150169.00	0.00
150494.00	0.50
150496.00	0.00
150758.00	0.50
150759.00	0.00
150825.00	0.50
150826.00	0.00
150992.00	0.50
150998.00	0.00
151252.00	0.00
151556.00	0.50
151557.00	0.00
151657.00	0.50
151659.00	0.00
151711.00	0.50
151712.00	0.00
151859.00	0.50
151889.00	0.00
151907.00	0.50
151910.00	0.00
151928.00	0.50
151930.00	0.00
151973.00	0.50
151975.00	0.00
152047.00	0.50
152058.00	0.00
152219.00	0.50
152221.00	0.00
155621.00	0.50
155623.00	0.00
156512.00	0.50
156513.00	0.00
156526.00	0.50
156527.00	0.00
157194.00	0.50
157195.00	0.00
157554.00	0.50
157560.00	0.00
157819.00	0.00
157883.00	0.50
157884.00	0.00
158055.00	0.50
158056.00	0.00
158540.00	0.00
158841.00	0.50
158842.00	0.00
159035.00	0.50
159037.00	0.00
159080.00	0.50
159081.00	0.00
159094.00	0.50
159095.00	0.00
159111.00	0.50
159114.00	1.00
159117.00	0.50
159121.00	1.00
159122.00	0.50
159125.00	1.00
159133.00	0.50
159136.00	1.00
159137.00	0.50
159139.00	0.00
159140.00	0.50
159141.00	0.00
159157.00	0.50
159159.00	0.00
159163.00	0.50
159164.00	0.00
159178.00	0.50
159180.00	0.00
159212.00	0.50
159219.00	0.00
159231.00	0.50
159237.00	0.00
159256.00	0.50
159257.00	0.00
159322.00	0.50
159323.00	0.00
159344.00	0.50
159345.00	0.00
159368.00	0.50
159369.00	0.00
159409.00	0.50
159410.00	0.00
159433.00	0.50
159442.00	0.00
159458.00	0.50
159460.00	0.00
159483.00	0.00
159522.00	0.00
159544.00	0.50
159545.00	0.00
159554.00	0.50
159555.00	0.00
159567.00	0.50
159571.00	0.00
159605.00	0.00
159632.00	0.50
159633.00	0.00
159663.00	0.50
159664.00	0.00
159770.00	0.50
159771.00	0.00
159964.00	0.50
159965.00	0.00
159996.00	0.50
159997.00	0.00
160982.00	0.50
160984.00	0.00
161761.00	0.50
161768.00	0.00
161769.00	0.50
161771.00	0.00
162426.00	0.50
162427.00	0.00
162761.00	0.50
162763.00	0.00
163037.00	0.00
163104.00	0.00
163278.00	0.50
163279.00	0.00
163536.00	0.00
163821.00	0.50
163822.00	0.00
163915.00	0.50
163920.00	0.00
163955.00	0.50
163963.00	0.00
164111.00	0.50
164138.00	0.00
164156.00	0.50
164158.00	0.00
164181.00	0.50
164183.00	0.00
164227.00	0.50
164228.00	0.00
164311.00	0.50
164312.00	0.00
164506.00	0.50
164508.00	0.00
167497.00	0.50
167504.00	0.00
168394.00	0.50
168395.00	0.00
168410.00	0.50
168412.00	0.00
169079.00	0.50
169080.00	0.00
169418.00	0.50
169420.00	0.00
169705.00	0.00
169774.00	0.00
169934.00	0.50
169940.00	0.00
170404.00	0.50
170405.00	0.00
170686.00	0.50
170687.00	0.00
170787.00	0.50
170788.00	0.00
170824.00	0.00
170944.00	0.50
170945.00	0.00
170956.00	0.50
170983.00	0.00
170993.00	0.50
170994.00	0.00
171032.00	0.50
171034.00	0.00
171115.00	0.50
171124.00	0.00
171154.00	0.50
171157.00	0.00
171358.00	0.50
171360.00	0.00
172751.00	0.50
172752.00	0.00
173500.00	0.50
173501.00	0.00
173512.00	0.50
173514.00	0.00
174157.00	0.50
174158.00	0.00
174522.00	0.50
174523.00	0.00
174779.00	0.00
174851.00	0.00
175030.00	0.50
175036.00	0.00
175285.00	0.00
175624.00	0.50
175626.00	0.00
175653.00	0.50
175654.00	0.00
175684.00	0.50
175686.00	0.00
175821.00	0.50
175862.00	0.00
175875.00	0.50
175876.00	0.00
175907.00	0.50
175908.00	0.00
175988.00	0.50
175989.00	0.00
176032.00	0.50
176033.00	0.00
176209.00	0.50
176215.00	0.00
179106.00	0.50
179108.00	0.00
180002.00	0.50
180004.00	0.00
180010.00	0.50
180011.00	0.00
180705.00	0.50
180707.00	0.00
181034.00	0.50
181036.00	0.00
181303.00	0.50
181304.00	0.00
181369.00	0.00
181543.00	0.50
181548.00	0.00
181998.00	0.00
182263.00	0.00
182364.00	0.50
182366.00	0.00
182412.00	0.00
182550.00	0.50
182551.00	0.00
182561.00	0.50
182588.00	0.00
182608.00	0.50
182610.00	0.00
182622.00	0.50
182624.00	0.00
182701.00	0.50
182702.00	0.00
182755.00	0.50
182756.00	0.00
182929.00	0.50
182931.00	0.00
184413.00	0.50
184415.00	0.00
185183.00	0.50
185191.00	0.00
185196.00	0.50
185198.00	0.00
185855.00	0.50
185856.00	0.00
186168.00	0.50
186170.00	0.00
186450.00	0.00
186516.00	0.00
186681.00	0.50
186682.00	0.00
186925.00	0.00
187233.00	0.50
187234.00	0.00
187389.00	0.50
187398.00	0.00
187423.00	0.50
187424.00	0.00
187592.00	0.50
187626.00	0.00
187644.00	0.50
187646.00	0.00
187660.00	0.50
187662.00	0.00
187719.00	0.50
187721.00	0.00
188007.00	0.50
188009.00	0.00
188184.00	0.50
188186.00	0.00
191146.00	0.50
191148.00	0.00
191926.00	0.00
191950.00	0.50
191958.00	0.00
192632.00	0.50
192633.00	0.00
192964.00	0.50
192966.00	0.00
193235.00	0.00
193308.00	0.00
193470.00	0.50
193472.00	0.00
193927.00	0.50
193928.00	0.00
194187.00	0.50
194188.00	0.00
194327.00	0.50
194329.00	0.00
194371.00	0.50
194372.00	0.00
194496.00	0.50
194535.00	0.00
194548.00	0.50
194549.00	0.00
194585.00	0.50
194587.00	0.00
194666.00	0.50
194668.00	0.00
194800.00	0.50
194801.00	0.00
194971.00	0.50
194973.00	0.00
196437.00	0.50
196439.00	0.00
197205.00	0.50
197213.00	0.00
197219.00	0.50
197221.00	0.00
197900.00	0.50
197901.00	0.00
198239.00	0.50
198241.00	0.00
198528.00	0.50
198529.00	0.00
198597.00	0.50
198598.00	0.00
198765.00	0.50
198766.00	0.00
199015.00	0.00
199293.00	0.50
199294.00	0.00
199481.00	0.50
199483.00	0.00
199522.00	0.50
199524.00	0.00
199553.00	0.50
199554.00	0.00
199562.00	0.50
199565.00	0.00
199570.00	0.50
199579.00	1.00
199580.00	0.50
199591.00	1.00
199598.00	0.50
199599.00	0.00
199602.00	0.50
199603.00	0.00
199614.00	0.50
199615.00	0.00
199619.00	0.50
199620.00	0.00
199638.00	0.50
199639.00	0.00
199677.00	0.50
199683.00	0.00
199696.00	0.50
199698.00	0.00
199747.00	0.50
199748.00	0.00
199768.00	0.50
199769.00	0.00
199787.00	0.50
199794.00	0.00
199814.00	0.50
199815.00	0.00
199854.00	0.50
199855.00	0.00
199873.00	0.00
199895.00	0.50
199896.00	0.00
199918.00	0.50
199919.00	0.00
199958.00	0.50
199959.00	0.00
199984.00	0.50
199988.00	0.00
200008.00	0.50
200009.00	0.00
200048.00	0.00
200067.00	0.50
200068.00	0.00
200089.00	0.00
200110.00	0.50
200117.00	0.00
200165.00	0.50
200166.00	0.00
200194.00	0.50
200195.00	0.00
200290.00	0.50
200292.00	0.00
200428.00	0.50
200429.00	0.00
200456.00	0.50
200457.00	0.00
203127.00	0.50
203128.00	0.00
203885.00	0.50
203886.00	0.00
203916.00	0.50
203924.00	0.00
204713.00	0.50
204714.00	0.00
205069.00	0.50
205070.00	0.00
205344.00	0.50
205345.00	0.00
205410.00	0.50
205411.00	0.00
205581.00	0.50
205582.00	0.00
206056.00	0.00
206323.00	0.00
206474.00	0.50
206476.00	0.00
206526.00	0.50
206531.00	0.00
206654.00	0.50
206682.00	0.00
206698.00	0.50
206700.00	0.00
206730.00	0.50
206733.00	0.00
206808.00	0.50
206809.00	0.00
206851.00	0.50
206859.00	0.00
207038.00	0.50
207040.00	0.00
208425.00	0.50
208427.00	0.00
209183.00	0.50
209184.00	0.00
209208.00	0.50
209210.00	0.00
209865.00	0.50
209866.00	0.00
210172.00	0.50
210174.00	0.00
210451.00	0.50
210452.00	0.00
210519.00	0.50
210520.00	0.00
210679.00	0.50
210685.00	0.00
210925.00	0.00
211229.00	0.00
211321.00	0.50
211322.00	0.00
211364.00	0.50
211365.00	0.00
211479.00	0.00
211513.00	0.50
211549.00	0.00
211564.00	0.50
211565.00	0.00
211588.00	0.50
211589.00	0.00
211681.00	0.50
211683.00	0.00
211722.00	0.50
211723.00	0.00
211911.00	0.50
211912.00	0.00
214997.00	0.50
214998.00	0.00
215835.00	0.50
215836.00	0.00
215966.00	0.50
215973.00	0.00
216686.00	0.50
216687.00	0.00
217032.00	0.50
217034.00	0.00
217308.00	0.50
217309.00	0.00
217383.00	0.50
217384.00	0.00
217555.00	0.50
217556.00	0.00
218047.00	0.00
218354.00	0.00
218440.00	0.50
218442.00	0.00
218484.00	0.50
218489.00	0.00
218619.00	0.00
218678.00	0.50
218710.00	0.00
218729.00	0.50
218737.00	0.00
218755.00	0.50
218757.00	0.00
218800.00	0.50
218802.00	0.00
218877.00	0.50
218879.00	0.00
219066.00	0.50
219067.00	0.00
220825.00	0.50
220827.00	0.00
221524.00	0.50
221532.00	0.00
221639.00	0.50
221640.00	0.00
222332.00	0.50
222333.00	0.00
222656.00	0.50
222658.00	0.00
222938.00	0.50
222939.00	0.00
223009.00	0.50
223010.00	0.00
223175.00	0.50
223176.00	0.00
223460.00	0.50
223461.00	0.00
223783.00	0.00
223838.00	0.50
223843.00	0.00
223883.00	0.50
223885.00	0.00
223992.00	0.50
223993.00	0.00
224009.00	0.50
224036.00	0.00
224055.00	0.50
224057.00	0.00
224088.00	0.50
224090.00	0.00
224175.00	0.50
224176.00	0.00
224318.00	0.50
224319.00	0.00
224504.00	0.50
224505.00	0.00
227585.00	0.50
227594.00	0.00
228499.00	0.50
228500.00	0.00
228516.00	0.00
229184.00	0.50
229186.00	0.00
229542.00	0.50
229543.00	0.00
229809.00	0.00
229880.00	0.00
230045.00	0.50
230049.00	0.00
230528.00	0.50
230529.00	0.00
230801.00	0.50
230802.00	0.00
230890.00	0.50
230891.00	0.00
230928.00	0.50
230929.00	0.00
231071.00	0.00
231083.00	0.50
231111.00	0.00
231124.00	0.50
231130.00	0.00
231191.00	0.50
231192.00	0.00
231220.00	0.50
231223.00	0.00
231316.00	0.50
231318.00	0.00
231482.00	0.50
231483.00	0.00
232900.00	0.50
232902.00	0.00
233676.00	0.50
233677.00	0.00
233689.00	0.50
233690.00	0.00
234356.00	0.50
234357.00	0.00
234679.00	0.50
234686.00	0.00
234940.00	0.00
235025.00	0.00
235201.00	0.50
235202.00	0.00
235469.00	0.50
235470.00	0.00
235737.00	0.50
235738.00	0.00
235823.00	0.50
235825.00	0.00
235873.00	0.50
235874.00	0.00
236011.00	0.00
236017.00	0.50
236050.00	0.00
236065.00	0.50
236066.00	0.00
236081.00	0.50
236083.00	0.00
236125.00	0.50
236127.00	0.00
236198.00	0.50
236204.00	0.00
236387.00	0.50
236389.00	0.00
239372.00	0.50
239373.00	0.00
240275.00	0.50
240277.00	0.00
240287.00	0.50
240289.00	0.00
240965.00	0.50
240973.00	0.00
241303.00	0.50
241305.00	0.00
241575.00	0.50
241576.00	0.00
241651.00	0.50
241652.00	0.00
241822.00	0.50
241823.00	0.00
242281.00	0.50
242282.00	0.00
242573.00	0.00
242664.00	0.50
242666.00	0.00
242699.00	0.50
242701.00	0.00
242822.00	0.50
242823.00	0.00
242837.00	0.50
242877.00	0.00
242893.00	0.50
242894.00	0.00
242917.00	0.50
242919.00	0.00
243001.00	0.50
243003.00	0.00
243053.00	0.50
243055.00	0.00
243239.00	0.50
243241.00	0.00
243883.00	0.50
243884.00	0.00
243920.00	0.50
243929.00	0.00
243935.00	0.50
243936.00	0.00
243948.00	0.50
243949.00	0.00
244131.00	0.50
244132.00	0.00
244152.00	0.50
244154.00	0.00
244169.00	0.50
244174.00	0.00
244176.00	0.50
244177.00	0.00
244196.00	0.50
244197.00	0.00
244226.00	0.50
244227.00	0.00
244248.00	0.50
244249.00	0.00
244351.00	0.50
244358.00	0.00
244368.00	0.50
244370.00	0.00
244454.00	0.50
244455.00	0.00
244477.00	0.50
244478.00	0.00
244500.00	0.50
244501.00	0.00
244523.00	0.50
244524.00	0.00
244539.00	0.50
244541.00	0.00
244577.00	0.50
244578.00	0.00
244589.00	0.50
244599.00	0.00
244615.00	0.50
244620.00	0.00
244638.00	0.50
244639.00	0.00
244695.00	0.50
244696.00	0.00
244722.00	0.50
244724.00	0.00
244753.00	0.50
244754.00	0.00
245565.00	0.50
245566.00	0.00
245572.00	0.50
245577.00	0.00
246230.00	0.50
246231.00	0.00
246569.00	0.50
246571.00	0.00
246844.00	0.50
246845.00	0.00
246918.00	0.50
246919.00	0.00
247083.00	0.50
247084.00	0.00
247339.00	0.50
247340.00	0.00
247609.00	0.00
247720.00	0.50
247725.00	0.00
247767.00	0.50
247768.00	0.00
247887.00	0.00
247894.00	0.50
247924.00	0.00
247934.00	0.50
247941.00	0.00
247975.00	0.50
