time	count
0.00	0.00
27214.00	0.00
115226.00	0.00
115472.00	0.00
129557.00	0.00
132997.00	0.00
133089.00	0.00
134621.00	0.00
137583.00	0.00
137647.00	0.00
139244.00	0.00
142201.00	0.00
142265.00	0.00
143760.00	0.00
150033.00	0.00
150097.00	0.00
151817.00	0.00
154922.00	0.00
154984.00	0.00
156424.00	0.00
159799.00	0.00
159861.00	0.00
161339.00	0.00
164206.00	0.00
164268.00	0.00
165857.00	0.00
172178.00	0.00
172242.00	0.00
173931.00	0.00
176860.00	0.00
176924.00	0.00
178426.00	0.00
181386.00	0.00
181469.00	0.00
182971.00	0.00
185834.00	0.00
185911.00	0.00
187403.00	0.00
194281.00	0.00
194346.00	0.00
196003.00	0.00
198944.00	0.00
199010.00	0.00
200479.00	0.00
203373.00	0.00
203446.00	0.00
205121.00	0.00
207976.00	0.00
208042.00	0.00
209558.00	0.00
215889.00	0.00
215955.00	0.00
217582.00	0.00
221865.00	0.00
221932.00	0.00
223389.00	0.00
226290.00	0.00
226364.00	0.00
227848.00	0.00
230834.00	0.00
230903.00	0.00
232394.00	0.00
238690.00	0.00
238761.00	0.00
240466.00	0.00
243354.00	0.00
243421.00	0.00
245009.00	0.00
247894.00	0.00
247963.00	0.00
249429.00	0.00
252719.00	0.00
252788.00	0.00
254236.00	0.00
260576.00	0.00
260646.00	0.00
262303.00	0.00
265253.00	0.00
265322.00	0.00
266860.00	0.00
269670.00	0.00
269740.00	0.00
271245.00	0.00
274080.00	0.00
274150.00	0.00
275604.00	0.00
281977.00	0.00
282047.00	0.00
283611.00	0.00
286693.00	0.00
286766.00	0.00
288263.00	0.00
291154.00	0.00
291227.00	0.00
292703.00	0.00
295650.00	0.00
295724.00	0.00
297156.00	0.00
303979.00	0.00
304056.00	0.00
305763.00	0.00
308718.00	0.00
308792.00	0.00
310269.00	0.00
313183.00	0.00
313258.00	0.00
314820.00	0.00
318190.00	0.00
318265.00	0.00
319737.00	0.00
326563.00	0.00
326637.00	0.00
328330.00	0.00
331495.00	0.00
331573.00	0.00
333101.00	0.00
336388.00	0.00
336471.00	0.00
337971.00	0.00
341169.00	0.00
341243.00	0.00
342749.00	0.00
350099.00	0.00
350177.00	0.00
351942.00	0.00
355309.00	0.00
355385.00	0.00
356930.00	0.00
360338.00	0.00
360416.00	0.00
361922.00	0.00
365029.00	0.00
365107.00	0.00
366655.00	0.00
373661.00	0.00
373740.00	0.00
375504.00	0.00
378981.00	0.00
379060.00	0.00
380597.00	0.00
384395.00	0.00
384485.00	0.00
385969.00	0.00
389350.00	0.00
389429.00	0.00
390979.00	0.00
397806.00	0.00
397887.00	0.00
399665.00	0.00
402983.00	0.00
403063.00	0.00
404541.00	0.00
407800.00	0.00
407880.00	0.00
409612.00	0.00
412649.00	0.00
412731.00	0.00
414212.00	0.00
421519.00	0.00
421599.00	0.00
423285.00	0.00
426577.00	0.00
426659.00	0.00
428233.00	0.00
431638.00	0.00
431721.00	0.00
433261.00	0.00
436538.00	0.00
436622.00	0.00
438107.00	0.00
445056.00	0.00
445140.00	0.00
446812.00	0.00
449985.00	0.00
450070.00	0.00
451604.00	0.00
455483.00	0.00
455565.00	0.00
457080.00	0.00
460470.00	0.00
460570.00	0.00
462088.00	0.00
469207.00	0.00
469291.00	0.00
471049.00	0.01
474495.00	0.01
474581.00	0.01
476108.00	0.01
479381.00	0.01
479473.00	0.01
480974.00	0.01
484189.00	0.01
484275.00	0.01
485808.00	0.01
492959.00	0.01
493045.00	0.01
494958.00	0.01
498038.00	0.01
498122.00	0.01
499627.00	0.01
502615.00	0.01
502702.00	0.01
504244.00	0.01
507588.00	0.01
507675.00	0.01
509151.00	0.01
515884.00	0.01
515972.00	0.01
517661.00	0.01
521290.00	0.01
521386.00	0.01
522866.00	0.01
526340.00	0.01
526429.00	0.01
527939.00	0.01
531146.00	0.01
531240.00	0.01
532779.00	0.01
540009.00	0.01
540100.00	0.01
541921.00	0.01
545376.00	0.01
545473.00	0.01
546943.00	0.01
550462.00	0.01
550554.00	0.01
552081.00	0.01
555533.00	0.01
555623.00	0.01
557543.00	0.01
564546.00	0.01
564638.00	0.01
566362.00	0.01
570175.00	0.01
570276.00	0.01
571797.00	0.01
575110.00	0.01
575201.00	0.01
576698.00	0.01
580058.00	0.01
580149.00	0.01
581782.00	0.01
588555.00	0.01
588647.00	0.01
590479.00	0.01
594061.00	0.01
594154.00	0.01
595690.00	0.01
598823.00	0.01
598916.00	0.01
600449.00	0.01
603831.00	0.01
603924.00	0.01
605515.00	0.01
612433.00	0.01
612543.00	0.01
614262.00	0.01
617435.00	0.01
617537.00	0.01
619062.00	0.01
622453.00	0.01
622548.00	0.01
624301.00	0.01
627863.00	0.01
627957.00	0.01
629619.00	0.01
636493.00	0.01
636589.00	0.01
638329.00	0.01
641820.00	0.01
641916.00	0.01
643447.00	0.01
646817.00	0.01
646917.00	0.01
648484.00	0.01
651875.00	0.01
651972.00	0.01
653529.00	0.01
660940.00	0.01
661037.00	0.01
662513.00	0.01
665788.00	0.01
665886.00	0.01
667421.00	0.01
670487.00	0.01
670585.00	0.01
672127.00	0.01
675732.00	0.01
675834.00	0.01
677665.00	0.01
684571.00	0.01
684669.00	0.01
686353.00	0.01
689544.00	0.01
689644.00	0.01
691144.00	0.01
694484.00	0.01
694583.00	0.01
696461.00	0.01
700154.00	0.01
700254.00	0.01
702103.00	0.01
708934.00	0.01
709034.00	0.01
710874.00	0.01
714399.00	0.01
714505.00	0.01
715997.00	0.01
719178.00	0.01
719279.00	0.01
720795.00	0.01
723992.00	0.01
724093.00	0.01
