level	start	end	color	opacity	title	initiation	in	out	children	parents	prof_uid
3	35397	48565	#00ff42	1.0	Partition By Field	10					1001
3	48597	48617	#00ff42	1.0	Partition By Field	16					1002
3	48635	55567	#00ff42	1.0	Partition By Image Range	11					1003
3	55586	55617	#00ff42	1.0	Partition By Image Range	17					1004
3	55641	55699	#8500ff	1.0	Intersections	21					1005
3	55710	55727	#8500ff	1.0	Intersections	21					1006
3	55731	55749	#8500ff	1.0	Intersections	21					1007
3	59704	59713	#000000	1.0	Intersection						1008
3	59772	59773	#000000	1.0	Intersection						1009
3	59809	59868	#000000	1.0	Union Reduction						293
3	59936	59937	#000000	1.0	Intersection						294
3	60928	60930	#000000	1.0	Intersection						1010
3	60956	60957	#000000	1.0	Intersection						1011
3	60993	61002	#000000	1.0	Union Reduction						724
3	61062	61064	#000000	1.0	Intersection						1012
3	62670	62671	#000000	1.0	Intersection						295
3	62705	62706	#000000	1.0	Intersection						296
3	62743	62752	#000000	1.0	Union Reduction						297
3	62795	62796	#000000	1.0	Intersection						298
3	68844	68846	#000000	1.0	Intersection						1013
3	68854	68855	#000000	1.0	Intersection						1014
3	68859	68859	#000000	1.0	Intersection						1015
3	68862	68863	#000000	1.0	Intersection						1016
3	68866	68866	#000000	1.0	Intersection						1017
3	68869	68870	#000000	1.0	Intersection						1018
3	68873	68873	#000000	1.0	Intersection						1019
3	68876	68877	#000000	1.0	Intersection						1020
3	68880	68880	#000000	1.0	Intersection						1021
3	69762	69763	#000000	1.0	Intersection						299
