time	count
0.00	0.00
11664.00	0.50
11708.00	0.00
11843.00	0.50
11954.00	0.00
12266.00	0.50
12449.00	0.00
12675.00	0.50
12679.00	0.00
12688.00	0.50
12694.00	0.00
12736.00	0.50
12739.00	0.00
12748.00	0.50
12749.00	0.00
12917.00	0.50
12924.00	1.00
12942.00	0.50
12950.00	0.00
12978.00	0.50
12983.00	0.00
13007.00	0.50
13009.00	0.00
13098.00	0.50
13150.00	0.00
13206.00	0.50
13209.00	0.00
13238.00	0.50
13240.00	0.00
13244.00	0.50
13247.00	0.00
13261.00	0.50
13263.00	0.00
13289.00	0.50
13291.00	0.00
13296.00	0.50
13307.00	0.00
13325.00	0.50
13340.00	0.00
13357.00	0.50
13359.00	0.00
13360.00	0.50
13367.00	0.00
13373.00	0.50
13984.00	0.00
14035.00	0.50
14044.00	0.00
21152.00	0.50
21153.00	0.00
21232.00	0.50
21234.00	0.00
21718.00	0.50
21733.00	0.00
22353.00	0.50
22657.00	1.00
22660.00	0.50
22690.00	1.00
22692.00	0.50
22809.00	1.00
22811.00	0.50
22920.00	1.00
22929.00	0.50
22935.00	1.00
22936.00	0.50
22939.00	1.00
22940.00	0.50
23057.00	1.00
23059.00	0.50
23231.00	1.00
23234.00	0.50
23240.00	0.50
23252.00	1.00
23259.00	0.50
23390.00	1.00
23393.00	0.50
23399.00	0.50
23405.00	1.00
23406.00	0.50
23448.00	1.00
23449.00	0.50
23458.00	0.50
23487.00	1.00
23494.00	0.50
23505.00	1.00
23506.00	0.50
23589.00	1.00
23590.00	0.50
23763.00	0.50
23934.00	1.00
35269.00	0.50
35287.00	1.00
35289.00	0.50
35293.00	0.50
35295.00	1.00
35301.00	0.50
35304.00	1.00
35308.00	0.50
35510.00	1.00
35511.00	0.50
35698.00	1.00
35700.00	0.50
35705.00	1.00
35706.00	0.50
35720.00	1.00
35722.00	0.50
35726.00	1.00
35727.00	0.50
35870.00	0.50
40776.00	1.00
40793.00	0.50
40806.00	1.00
40808.00	0.50
40810.00	1.00
40811.00	0.50
40841.00	1.00
40843.00	0.50
40884.00	1.00
40885.00	0.50
41082.00	1.00
41083.00	0.50
41228.00	1.00
48451.00	0.50
48616.00	1.00
48621.00	0.50
48629.00	1.00
48630.00	0.50
48897.00	1.00
48899.00	0.50
48905.00	1.00
48906.00	0.50
48911.00	1.00
48912.00	0.50
48916.00	0.50
48921.00	1.00
48922.00	0.50
48950.00	1.00
55344.00	0.50
55353.00	1.00
55354.00	0.50
55357.00	1.00
55358.00	0.50
55370.00	1.00
55371.00	0.50
55373.00	1.00
55374.00	0.50
55376.00	0.50
55379.00	1.00
55385.00	0.50
55388.00	0.50
55390.00	1.00
55391.00	0.50
55393.00	0.50
55396.00	0.50
55398.00	1.00
55402.00	0.50
55404.00	1.00
55405.00	0.50
55407.00	0.50
55411.00	0.50
55620.00	1.00
55621.00	0.50
55632.00	0.50
55741.00	1.00
55742.00	0.50
55749.00	0.50
55764.00	1.00
55765.00	0.50
55837.00	1.00
55839.00	0.50
55847.00	1.00
55848.00	0.50
55853.00	1.00
55860.00	0.50
55865.00	1.00
55866.00	0.50
55870.00	1.00
55871.00	0.50
55875.00	1.00
55876.00	0.50
55880.00	0.50
55884.00	1.00
55888.00	0.50
55893.00	0.50
55898.00	0.50
55905.00	0.50
55923.00	1.00
55924.00	0.50
55930.00	1.00
55934.00	0.50
55951.00	1.00
55952.00	0.50
55957.00	1.00
55958.00	0.50
55966.00	1.00
55967.00	0.50
55983.00	0.50
55990.00	0.50
56016.00	1.00
56024.00	0.50
56030.00	0.50
56034.00	1.00
56035.00	0.50
56040.00	0.50
56045.00	1.00
56046.00	0.50
56049.00	1.00
56054.00	0.50
56060.00	1.00
56061.00	0.50
56064.00	1.00
56065.00	0.50
56070.00	0.50
56076.00	0.50
56106.00	1.00
56113.00	0.50
56120.00	0.50
56125.00	1.00
56126.00	0.50
56131.00	1.00
56132.00	0.50
56136.00	0.50
56150.00	1.00
56151.00	0.50
56156.00	1.00
56162.00	0.50
56166.00	1.00
56167.00	0.50
56171.00	0.50
56182.00	1.00
56183.00	0.50
56187.00	1.00
56188.00	0.50
56205.00	1.00
56210.00	0.50
56217.00	0.50
56221.00	1.00
56222.00	0.50
56238.00	1.00
56239.00	0.50
56290.00	1.00
56292.00	0.50
56322.00	1.00
56324.00	0.50
56340.00	1.00
56344.00	0.50
56350.00	1.00
56351.00	0.50
56371.00	1.00
56372.00	0.50
56715.00	1.00
56716.00	0.50
56772.00	1.00
56773.00	0.50
56917.00	0.50
57104.00	1.00
57108.00	0.50
57136.00	1.00
57138.00	0.50
57384.00	0.00
57410.00	0.50
57413.00	0.00
57450.00	0.50
57452.00	0.00
57473.00	0.50
57474.00	0.00
57812.00	0.50
57813.00	0.00
58149.00	0.50
58153.00	0.00
58182.00	0.50
58330.00	0.00
58895.00	0.50
58898.00	0.00
58988.00	0.50
58990.00	0.00
58992.00	0.50
58995.00	0.00
59128.00	0.50
59130.00	0.00
59134.00	0.50
59136.00	0.00
59161.00	0.50
59169.00	0.00
59170.00	0.50
59173.00	0.00
59436.00	0.50
59466.00	1.00
59468.00	0.50
59473.00	1.00
59474.00	0.50
59477.00	1.00
59478.00	0.50
59760.00	1.00
59761.00	0.50
59792.00	0.50
59816.00	0.00
59860.00	0.50
59863.00	0.00
59871.00	0.50
59873.00	0.00
59883.00	0.50
59884.00	0.00
59897.00	0.50
59899.00	0.00
59948.00	0.00
60042.00	0.50
60044.00	0.00
60081.00	0.50
60082.00	0.00
60102.00	0.50
60103.00	0.00
60159.00	0.50
60246.00	0.00
60345.00	0.50
60347.00	0.00
60391.00	0.50
60392.00	0.00
60417.00	0.50
60418.00	0.00
60486.00	0.50
60487.00	0.00
60572.00	0.50
60579.00	0.00
60592.00	0.50
