time	count
0.00	0.00
11487.00	1.00
11581.00	0.00
11637.00	1.00
11772.00	0.00
11797.00	1.00
12228.00	0.00
12242.00	1.00
12244.00	0.00
12435.00	1.00
12623.00	0.00
12647.00	1.00
12676.00	0.00
12691.00	1.00
12704.00	0.00
12717.00	1.00
12733.00	0.00
12746.00	1.00
12820.00	0.00
12858.00	1.00
12911.00	0.00
12922.00	1.00
12924.00	0.00
12963.00	1.00
12984.00	0.00
13004.00	1.00
13185.00	0.00
13200.00	1.00
13220.00	0.00
13228.00	1.00
13235.00	0.00
13240.00	1.00
13249.00	0.00
13259.00	1.00
13270.00	0.00
13278.00	1.00
13282.00	0.00
13289.00	1.00
13320.00	0.00
13327.00	1.00
13329.00	0.00
13344.00	1.00
13350.00	0.00
13358.00	1.00
13371.00	0.00
13380.00	1.00
13381.00	0.00
13971.00	1.00
14021.00	0.00
14036.00	1.00
21137.00	0.00
21154.00	1.00
21218.00	0.00
21230.00	1.00
22349.00	0.00
22370.00	1.00
22374.00	0.00
22548.00	1.00
22610.00	0.00
22622.00	1.00
22667.00	0.00
22678.00	1.00
22755.00	0.00
22767.00	1.00
22878.00	0.00
22891.00	1.00
22902.00	0.00
22909.00	1.00
22922.00	0.00
22928.00	1.00
23013.00	0.00
23029.00	1.00
23188.00	0.00
23201.00	1.00
23206.00	0.00
23212.00	1.00
23215.00	0.00
23223.00	1.00
23345.00	0.00
23358.00	1.00
23366.00	0.00
23379.00	1.00
23391.00	0.00
23400.00	1.00
23419.00	0.00
23431.00	1.00
23435.00	0.00
23462.00	1.00
23469.00	0.00
23478.00	1.00
23483.00	0.00
23491.00	1.00
23521.00	0.00
23541.00	1.00
23543.00	0.00
23556.00	1.00
23891.00	0.00
23904.00	1.00
23946.00	0.00
23958.00	1.00
23971.00	0.00
23984.00	1.00
35458.00	0.00
35476.00	1.00
35651.00	0.00
35664.00	1.00
35669.00	0.00
35676.00	1.00
35681.00	0.00
35690.00	1.00
35695.00	0.00
35701.00	1.00
35959.00	0.00
35975.00	1.00
35991.00	0.00
40846.00	1.00
40862.00	0.00
40877.00	1.00
41035.00	0.00
41047.00	1.00
41180.00	0.00
41195.00	1.00
48851.00	0.00
48869.00	1.00
48879.00	0.00
48885.00	1.00
48887.00	0.00
48892.00	1.00
48893.00	0.00
48898.00	1.00
48899.00	0.00
48907.00	1.00
48908.00	0.00
48917.00	1.00
48918.00	0.00
48930.00	1.00
48931.00	0.00
48974.00	1.00
48977.00	0.00
48986.00	1.00
48988.00	0.00
48994.00	1.00
48996.00	0.00
49002.00	1.00
49004.00	0.00
49009.00	1.00
49011.00	0.00
49016.00	1.00
49017.00	0.00
49022.00	1.00
49027.00	0.00
49033.00	1.00
49057.00	0.00
49064.00	1.00
49069.00	0.00
49075.00	1.00
49080.00	0.00
49085.00	1.00
49090.00	0.00
49095.00	1.00
49104.00	0.00
55780.00	1.00
55784.00	0.00
55799.00	1.00
55800.00	0.00
55806.00	1.00
55807.00	0.00
55812.00	1.00
55814.00	0.00
55818.00	1.00
55820.00	0.00
55840.00	1.00
55842.00	0.00
55855.00	1.00
55856.00	0.00
55861.00	1.00
55862.00	0.00
55871.00	1.00
55872.00	0.00
55883.00	1.00
55884.00	0.00
55890.00	1.00
55891.00	0.00
55899.00	1.00
55900.00	0.00
55919.00	1.00
55920.00	0.00
55932.00	1.00
55933.00	0.00
55943.00	1.00
55944.00	0.00
55950.00	1.00
55951.00	0.00
55958.00	1.00
55959.00	0.00
55977.00	1.00
55979.00	0.00
55990.00	1.00
55991.00	0.00
56002.00	1.00
56004.00	0.00
56009.00	1.00
56010.00	0.00
56015.00	1.00
56016.00	0.00
56020.00	1.00
56021.00	0.00
56026.00	1.00
56028.00	0.00
56035.00	1.00
56036.00	0.00
56046.00	1.00
56047.00	0.00
56054.00	1.00
56055.00	0.00
56062.00	1.00
56063.00	0.00
56076.00	1.00
56078.00	0.00
56095.00	1.00
56096.00	0.00
56102.00	1.00
56103.00	0.00
56108.00	1.00
56109.00	0.00
56113.00	1.00
56115.00	0.00
56121.00	1.00
56122.00	0.00
56132.00	1.00
56133.00	0.00
56143.00	1.00
56144.00	0.00
56151.00	1.00
56152.00	0.00
56161.00	1.00
56162.00	0.00
56171.00	1.00
56172.00	0.00
56184.00	1.00
56185.00	0.00
56203.00	1.00
56204.00	0.00
56210.00	1.00
56212.00	0.00
56225.00	1.00
56226.00	0.00
56235.00	1.00
56275.00	0.00
56295.00	1.00
56309.00	0.00
56321.00	1.00
56327.00	0.00
56336.00	1.00
56342.00	0.00
56352.00	1.00
56360.00	0.00
56368.00	1.00
56701.00	0.00
56716.00	1.00
56756.00	0.00
56780.00	1.00
56902.00	0.00
56917.00	1.00
57088.00	0.00
57108.00	1.00
57118.00	0.00
57127.00	1.00
57154.00	0.00
57165.00	1.00
57168.00	0.00
57380.00	1.00
57394.00	0.00
57409.00	1.00
57440.00	0.00
57450.00	1.00
57464.00	0.00
57473.00	1.00
57797.00	0.00
58185.00	1.00
58201.00	0.00
58216.00	1.00
58218.00	0.00
58355.00	1.00
58874.00	0.00
58891.00	1.00
58944.00	0.00
58958.00	1.00
58973.00	0.00
58981.00	1.00
59082.00	0.00
59099.00	1.00
59111.00	0.00
59118.00	1.00
59140.00	0.00
59152.00	1.00
59154.00	0.00
59163.00	1.00
59433.00	0.00
59443.00	1.00
59455.00	0.00
59461.00	1.00
59465.00	0.00
59470.00	1.00
59791.00	0.00
59806.00	1.00
59831.00	0.00
59865.00	1.00
59873.00	0.00
59902.00	1.00
60029.00	0.00
60044.00	1.00
60066.00	0.00
60080.00	1.00
60093.00	0.00
60103.00	1.00
60161.00	0.00
60174.00	1.00
60175.00	0.00
60235.00	1.00
60331.00	0.00
60346.00	1.00
60379.00	0.00
60392.00	1.00
60407.00	0.00
60418.00	1.00
60475.00	0.00
60488.00	1.00
60559.00	0.00
60574.00	1.00
60584.00	0.00
60592.00	1.00
60605.00	0.00
60615.00	1.00
60617.00	0.00
60627.00	1.00
60773.00	0.00
60794.00	1.00
60813.00	0.00
60855.00	1.00
60863.00	0.00
60874.00	1.00
60962.00	0.00
60972.00	1.00
60977.00	0.00
61033.00	1.00
61034.00	0.00
61050.00	1.00
61096.00	0.00
61117.00	1.00
61131.00	0.00
61159.00	1.00
61215.00	0.00
61951.00	1.00
61959.00	0.00
61971.00	1.00
61996.00	0.00
62007.00	1.00
62017.00	0.00
62026.00	1.00
62028.00	0.00
62032.00	1.00
62131.00	0.00
62147.00	1.00
62180.00	0.00
62193.00	1.00
62212.00	0.00
62224.00	1.00
62282.00	0.00
62295.00	1.00
62340.00	0.00
62354.00	1.00
62364.00	0.00
62373.00	1.00
62387.00	0.00
62396.00	1.00
62398.00	0.00
62407.00	1.00
62543.00	0.00
62564.00	1.00
62576.00	0.00
62598.00	1.00
62603.00	0.00
62618.00	1.00
62719.00	0.00
62730.00	1.00
62735.00	0.00
62783.00	1.00
62842.00	0.00
62855.00	1.00
62868.00	0.00
62877.00	1.00
62924.00	0.00
63859.00	1.00
63869.00	0.00
63879.00	1.00
63888.00	0.00
63897.00	1.00
63928.00	0.00
63941.00	1.00
63985.00	0.00
63996.00	1.00
64015.00	0.00
64025.00	1.00
64033.00	0.00
64041.00	1.00
64052.00	0.00
64062.00	1.00
64137.00	0.00
64205.00	1.00
64214.00	0.00
64226.00	1.00
64242.00	0.00
64252.00	1.00
64253.00	0.00
64266.00	1.00
64300.00	0.00
64312.00	1.00
64321.00	0.00
64331.00	1.00
64342.00	0.00
64352.00	1.00
64416.00	0.00
64477.00	1.00
64485.00	0.00
64496.00	1.00
64511.00	0.00
64520.00	1.00
64522.00	0.00
64525.00	1.00
64565.00	0.00
64577.00	1.00
64594.00	0.00
64605.00	1.00
64613.00	0.00
64621.00	1.00
64632.00	0.00
64643.00	1.00
64706.00	0.00
64756.00	1.00
64765.00	0.00
64774.00	1.00
64791.00	0.00
64800.00	1.00
64802.00	0.00
64804.00	1.00
64840.00	0.00
64852.00	1.00
64860.00	0.00
64868.00	1.00
64879.00	0.00
64888.00	1.00
64951.00	0.00
65015.00	1.00
65023.00	0.00
65034.00	1.00
65050.00	0.00
65059.00	1.00
65060.00	0.00
65063.00	1.00
65099.00	0.00
65111.00	1.00
65130.00	0.00
65141.00	1.00
65148.00	0.00
65157.00	1.00
65168.00	0.00
65178.00	1.00
65241.00	0.00
65296.00	1.00
65304.00	0.00
65316.00	1.00
65331.00	0.00
65339.00	1.00
65341.00	0.00
65344.00	1.00
65370.00	0.00
65381.00	1.00
65391.00	0.00
65401.00	1.00
65412.00	0.00
65422.00	1.00
65484.00	0.00
65540.00	1.00
65548.00	0.00
65559.00	1.00
65574.00	0.00
65583.00	1.00
65588.00	0.00
65604.00	1.00
65645.00	0.00
65656.00	1.00
65662.00	0.00
65670.00	1.00
65674.00	0.00
65683.00	1.00
65693.00	0.00
65701.00	1.00
65752.00	0.00
65942.00	1.00
66021.00	0.00
66044.00	1.00
66071.00	0.00
66084.00	1.00
66109.00	0.00
66121.00	1.00
66741.00	0.00
66767.00	1.00
66806.00	0.00
66824.00	1.00
66847.00	0.00
66862.00	1.00
66873.00	0.00
66891.00	1.00
66903.00	0.00
66915.00	1.00
66922.00	0.00
66932.00	1.00
66942.00	0.00
66951.00	1.00
66962.00	0.00
66972.00	1.00
66983.00	0.00
66992.00	1.00
67003.00	0.00
67013.00	1.00
67021.00	0.00
67030.00	1.00
67036.00	0.00
67045.00	1.00
67058.00	0.00
67068.00	1.00
67077.00	0.00
67086.00	1.00
67098.00	0.00
67107.00	1.00
67114.00	0.00
67123.00	1.00
67135.00	0.00
67145.00	1.00
67154.00	0.00
67163.00	1.00
67171.00	0.00
67181.00	1.00
67192.00	0.00
67201.00	1.00
67206.00	0.00
67216.00	1.00
67224.00	0.00
67233.00	1.00
67239.00	0.00
67248.00	1.00
67256.00	0.00
67265.00	1.00
67271.00	0.00
67279.00	1.00
67287.00	0.00
67297.00	1.00
67302.00	0.00
67311.00	1.00
67319.00	0.00
67328.00	1.00
67333.00	0.00
67342.00	1.00
67350.00	0.00
67360.00	1.00
67366.00	0.00
67374.00	1.00
67383.00	0.00
67392.00	1.00
67399.00	0.00
67407.00	1.00
67415.00	0.00
67424.00	1.00
67430.00	0.00
67438.00	1.00
67445.00	0.00
67455.00	1.00
67456.00	0.00
67465.00	1.00
67584.00	0.00
67614.00	1.00
67731.00	0.00
67741.00	1.00
67857.00	0.00
67866.00	1.00
67978.00	0.00
67986.00	1.00
68106.00	0.00
68115.00	1.00
68224.00	0.00
68232.00	1.00
68353.00	0.00
68361.00	1.00
68471.00	0.00
68479.00	1.00
68593.00	0.00
68603.00	1.00
68612.00	0.00
68621.00	1.00
68627.00	0.00
68636.00	1.00
68656.00	0.00
68661.00	1.00
68679.00	0.00
68685.00	1.00
68699.00	0.00
68705.00	1.00
68715.00	0.00
68721.00	1.00
68734.00	0.00
68739.00	1.00
68750.00	0.00
68756.00	1.00
68769.00	0.00
68775.00	1.00
68922.00	0.00
68937.00	1.00
68944.00	0.00
68954.00	1.00
68968.00	0.00
68977.00	1.00
68995.00	0.00
69017.00	1.00
69056.00	0.00
69082.00	1.00
69099.00	0.00
69113.00	1.00
69128.00	0.00
69139.00	1.00
69200.00	0.00
69236.00	1.00
69314.00	0.00
69328.00	1.00
69355.00	0.00
69367.00	1.00
69387.00	0.00
69395.00	1.00
69447.00	0.00
69459.00	1.00
69505.00	0.00
69518.00	1.00
69526.00	0.00
69533.00	1.00
69544.00	0.00
69552.00	1.00
69553.00	0.00
69562.00	1.00
69676.00	0.00
69684.00	1.00
69694.00	0.00
69700.00	1.00
69703.00	0.00
69708.00	1.00
69790.00	0.00
69802.00	1.00
69806.00	0.00
69814.00	1.00
69832.00	0.00
69856.00	1.00
69865.00	0.00
69877.00	1.00
69897.00	0.00
69910.00	1.00
69958.00	0.00
