time	count
0.00	0.00
12935.00	0.25
13060.00	0.00
13498.00	0.25
13571.00	0.00
13654.00	0.25
13656.00	0.00
13987.00	0.25
14158.00	0.00
14459.00	0.25
14466.00	0.00
14474.00	0.25
14475.00	0.00
14479.00	0.25
14480.00	0.00
14562.00	0.25
14564.00	0.00
14676.00	0.25
14679.00	0.00
14703.00	0.25
14737.00	0.00
14759.00	0.25
14764.00	0.00
14778.00	0.25
14824.00	0.00
14861.00	0.25
14916.00	0.00
15012.00	0.25
15014.00	0.00
15061.00	0.25
15063.00	0.00
15097.00	0.25
15101.00	0.00
15115.00	0.25
15116.00	0.00
15165.00	0.25
15166.00	0.00
15191.00	0.25
15193.00	0.00
15242.00	0.25
15252.00	0.50
15254.00	0.25
15265.00	0.00
15281.00	0.25
15282.00	0.00
15321.00	0.25
15328.00	0.00
15335.00	0.25
15364.00	0.50
15390.00	0.25
15881.00	0.00
23267.00	0.25
23271.00	0.00
23378.00	0.25
23379.00	0.00
23407.00	0.25
23409.00	0.00
24083.00	0.25
24087.00	0.00
24851.00	0.25
25211.00	0.50
25214.00	0.25
25254.00	0.50
25257.00	0.25
25398.00	0.50
25400.00	0.25
25404.00	0.50
25408.00	0.25
25426.00	0.50
25449.00	0.25
25756.00	0.50
25759.00	0.25
25760.00	0.75
25763.00	0.25
25937.00	0.50
25939.00	0.25
25958.00	0.50
25959.00	0.25
26062.00	0.50
26064.00	0.25
26070.00	0.50
26071.00	0.25
26104.00	0.50
26111.00	0.25
26132.00	0.50
26133.00	0.25
26339.00	0.50
26341.00	0.25
26347.00	0.50
26351.00	0.25
26556.00	0.50
26558.00	0.25
26743.00	0.50
26747.00	0.75
26751.00	0.50
26759.00	0.75
26760.00	0.50
26790.00	0.75
26792.00	0.50
27236.00	0.25
38060.00	0.50
38063.00	0.25
38277.00	0.50
38279.00	0.25
38484.00	0.50
38497.00	0.75
38498.00	1.00
38501.00	0.75
43626.00	1.00
43629.00	0.75
43632.00	0.50
43664.00	0.25
43701.00	0.50
43702.00	0.25
43849.00	0.50
43867.00	0.75
43870.00	0.50
43871.00	0.75
43874.00	0.50
43877.00	0.25
43882.00	0.50
43883.00	0.25
43899.00	0.50
51743.00	0.25
51907.00	0.50
51913.00	0.25
51950.00	0.50
51951.00	0.25
52154.00	0.75
52157.00	0.50
52158.00	0.50
52162.00	0.25
52163.00	0.50
52164.00	0.25
52176.00	0.50
52178.00	0.25
52224.00	0.50
52227.00	0.25
52232.00	0.50
52233.00	0.25
52235.00	0.50
52236.00	0.25
52241.00	0.50
52269.00	0.75
52271.00	1.00
52272.00	0.75
52273.00	0.50
52282.00	0.75
52287.00	1.00
52289.00	0.75
52294.00	1.00
52295.00	0.75
52299.00	1.00
52300.00	0.75
52312.00	1.00
59360.00	0.75
59378.00	0.50
59381.00	0.25
59447.00	0.50
59450.00	0.25
59456.00	0.50
59458.00	0.25
59462.00	0.50
59463.00	0.25
59465.00	0.50
59466.00	0.25
59469.00	0.50
59478.00	0.25
59483.00	0.50
59484.00	0.25
59486.00	0.50
59488.00	0.50
59489.00	0.25
59711.00	0.25
59718.00	0.50
59719.00	0.25
59818.00	0.50
59819.00	0.25
59945.00	0.25
60177.00	0.25
60417.00	0.50
60418.00	0.25
60614.00	0.00
60676.00	0.25
60679.00	0.00
60781.00	0.25
60782.00	0.00
60803.00	0.25
60809.00	0.00
60821.00	0.25
60823.00	0.00
60834.00	0.25
60835.00	0.00
60860.00	0.25
60861.00	0.00
60880.00	0.25
60881.00	0.00
60901.00	0.00
60917.00	0.25
60918.00	0.00
60939.00	0.25
60943.00	0.00
60958.00	0.25
60961.00	0.00
60970.00	0.25
60971.00	0.00
60990.00	0.25
60993.00	0.00
61005.00	0.25
61006.00	0.00
61025.00	0.25
61026.00	0.00
61044.00	0.00
61064.00	0.25
61068.00	0.00
61080.00	0.25
61082.00	0.00
61097.00	0.25
61106.00	0.00
61115.00	0.25
61116.00	0.00
61137.00	0.00
61157.00	0.25
61158.00	0.00
61174.00	0.25
61175.00	0.00
61195.00	0.00
61212.00	0.25
61217.00	0.00
61228.00	0.25
61230.00	0.00
61249.00	0.25
61250.00	0.00
61267.00	0.00
61286.00	0.25
61287.00	0.00
61304.00	0.25
61305.00	0.00
61322.00	0.25
61325.00	0.00
61342.00	0.25
61343.00	0.00
61364.00	0.00
61382.00	0.00
61402.00	0.25
61403.00	0.00
61423.00	0.25
61425.00	0.00
61437.00	0.25
61439.00	0.00
61458.00	0.25
61459.00	0.00
61477.00	0.25
61478.00	0.00
61499.00	0.00
61532.00	0.25
61535.00	0.00
61546.00	0.25
61548.00	0.00
61564.00	0.25
61566.00	0.00
61583.00	0.25
61585.00	0.00
61603.00	0.25
61604.00	0.00
61621.00	0.25
61626.00	0.00
61635.00	0.25
61642.00	0.00
61654.00	0.25
61655.00	0.00
61677.00	0.25
61678.00	0.00
61699.00	0.25
61700.00	0.00
61717.00	0.00
61736.00	0.25
61737.00	0.00
61757.00	0.25
61762.00	0.00
61771.00	0.25
61773.00	0.00
61790.00	0.25
61791.00	0.00
61809.00	0.25
61811.00	0.00
61829.00	0.25
61830.00	0.00
61850.00	0.25
61851.00	0.00
61867.00	0.00
61886.00	0.25
61887.00	0.00
61908.00	0.25
61911.00	0.00
61922.00	0.25
61924.00	0.00
61940.00	0.25
61944.00	0.00
61960.00	0.25
61961.00	0.00
61978.00	0.00
61995.00	0.25
62001.00	0.00
62012.00	0.25
62013.00	0.00
62034.00	0.25
62038.00	0.00
62048.00	0.25
62051.00	0.00
62070.00	0.00
62088.00	0.25
62089.00	0.00
62106.00	0.25
62107.00	0.00
62127.00	0.25
62128.00	0.00
62145.00	0.00
62163.00	0.25
62166.00	0.00
62187.00	0.25
62188.00	0.00
62205.00	0.25
62206.00	0.00
62223.00	0.25
62224.00	0.00
62244.00	0.00
62262.00	0.25
62263.00	0.00
62282.00	0.25
62288.00	0.00
62297.00	0.25
62299.00	0.00
62314.00	0.25
62316.00	0.00
62332.00	0.25
62333.00	0.00
62361.00	0.25
62362.00	0.00
62386.00	0.25
62387.00	0.00
62414.00	0.00
62438.00	0.25
62443.00	0.00
62481.00	0.25
62482.00	0.00
62510.00	0.25
62522.00	0.00
62541.00	0.25
62542.00	0.00
62562.00	0.25
62563.00	0.00
62591.00	0.25
62592.00	0.00
62640.00	0.25
62641.00	0.00
62670.00	0.25
62672.00	0.00
63082.00	0.25
63083.00	0.00
63151.00	0.25
63152.00	0.00
63299.00	0.25
63300.00	0.00
63319.00	0.25
63321.00	0.00
63563.00	0.25
63566.00	0.00
63601.00	0.25
63603.00	0.00
63640.00	0.25
63641.00	0.00
63952.00	0.25
63954.00	0.00
64375.00	0.25
64381.00	0.00
64408.00	0.25
64481.00	0.50
64483.00	0.25
66727.00	0.00
66940.00	0.25
66943.00	0.00
66994.00	0.25
66995.00	0.00
67024.00	0.25
67025.00	0.00
67390.00	0.25
67391.00	0.00
67486.00	0.25
67494.00	0.00
67529.00	0.25
67531.00	0.00
67554.00	0.25
67556.00	0.00
67581.00	0.25
67582.00	0.00
67597.00	0.25
67598.00	0.00
67623.00	0.25
67628.00	0.00
67653.00	0.25
67659.00	0.00
67677.00	0.25
67678.00	0.00
67698.00	0.25
67699.00	0.00
67717.00	0.25
67724.00	0.00
67927.00	0.00
67952.00	0.25
67953.00	0.00
67975.00	0.25
67976.00	0.00
67998.00	0.25
68007.00	0.00
68017.00	0.25
68018.00	0.00
68085.00	0.00
68110.00	0.25
68112.00	0.00
68129.00	0.00
68151.00	0.25
68153.00	0.00
68172.00	0.25
68173.00	0.00
68239.00	0.25
68241.00	0.00
68272.00	0.25
68273.00	0.00
68297.00	0.25
68298.00	0.00
68321.00	0.25
68327.00	0.00
68345.00	0.25
68346.00	0.00
68750.00	0.25
68851.00	0.50
68859.00	0.75
68860.00	0.50
69055.00	0.75
69505.00	1.00
70442.00	0.75
70461.00	1.00
70695.00	0.75
70715.00	1.00
70893.00	0.75
70905.00	1.00
71065.00	0.75
71078.00	1.00
71742.00	0.75
71755.00	1.00
72003.00	0.75
72015.00	1.00
72211.00	0.75
72229.00	1.00
72387.00	0.75
72403.00	1.00
75051.00	0.75
75063.00	1.00
75286.00	0.75
75298.00	1.00
75601.00	0.75
75611.00	1.00
75789.00	0.75
75798.00	1.00
78333.00	0.75
78345.00	1.00
78576.00	0.75
78586.00	1.00
78900.00	0.75
78909.00	1.00
79086.00	0.75
79095.00	1.00
84386.00	0.75
84397.00	1.00
84642.00	0.75
84652.00	1.00
84937.00	0.75
84946.00	1.00
85112.00	0.75
85120.00	1.00
90383.00	0.75
90394.00	1.00
90689.00	0.75
90699.00	1.00
90702.00	0.75
90713.00	0.50
90726.00	0.75
90727.00	0.50
90787.00	0.75
90790.00	0.50
90802.00	0.75
90825.00	1.00
90827.00	0.75
90833.00	0.50
90846.00	0.25
90859.00	0.50
90861.00	0.25
90875.00	0.50
90876.00	0.25
90932.00	0.50
90933.00	0.25
90955.00	0.50
90962.00	0.25
90984.00	0.50
90985.00	0.25
90992.00	0.00
91004.00	0.00
91029.00	0.25
91031.00	0.00
91034.00	0.25
91037.00	0.00
91166.00	0.25
91176.00	0.25
91193.00	0.50
91194.00	0.25
91253.00	0.50
91257.00	0.25
91479.00	0.00
91494.00	0.25
91495.00	0.00
91585.00	0.25
91590.00	0.00
91610.00	0.25
91636.00	0.00
91640.00	0.25
91641.00	0.00
91724.00	0.25
91726.00	0.00
91748.00	0.25
91750.00	0.00
91819.00	0.25
91820.00	0.00
91841.00	0.00
91862.00	0.25
91863.00	0.00
91876.00	0.00
91893.00	0.25
91894.00	0.00
91910.00	0.25
91911.00	0.00
91919.00	0.00
91933.00	0.25
91934.00	0.00
91978.00	0.25
91980.00	0.00
91997.00	0.25
91999.00	0.00
92022.00	0.25
92024.00	0.00
92103.00	0.25
92113.00	0.50
92116.00	0.25
92477.00	0.00
92488.00	0.25
92490.00	0.00
92569.00	0.25
92571.00	0.00
92584.00	0.25
92606.00	0.50
92607.00	0.00
92653.00	0.25
92654.00	0.00
92672.00	0.25
92673.00	0.00
92696.00	0.25
92698.00	0.00
92765.00	0.25
92777.00	0.25
93074.00	0.00
93085.00	0.25
93091.00	0.00
93180.00	0.25
93182.00	0.00
93194.00	0.25
93214.00	0.00
93232.00	0.25
93233.00	0.00
93299.00	0.25
93300.00	0.00
93326.00	0.25
93327.00	0.00
93394.00	0.25
93395.00	0.00
93406.00	0.00
93417.00	0.00
