time	count
0.00	0.00
16958.00	0.25
17033.00	0.00
17132.00	0.25
17135.00	0.00
17445.00	0.25
17599.00	0.00
17903.00	0.25
17906.00	0.00
17919.00	0.25
17923.00	0.00
17931.00	0.25
17941.00	0.00
17967.00	0.25
17998.00	0.00
18091.00	0.25
18095.00	0.50
18104.00	0.75
18107.00	0.50
18112.00	0.25
18120.00	0.00
18132.00	0.25
18139.00	0.00
18224.00	0.25
18228.00	0.00
18266.00	0.25
18314.00	0.00
18419.00	0.25
18420.00	0.50
18422.00	0.25
18423.00	0.00
18439.00	0.25
18442.00	0.00
18451.00	0.25
18454.00	0.00
18480.00	0.25
18483.00	0.00
18495.00	0.25
18497.00	0.00
18550.00	0.25
18569.00	0.00
18588.00	0.25
18591.00	0.00
18629.00	0.25
18632.00	0.00
18639.00	0.25
18659.00	0.50
18663.00	0.25
19236.00	0.00
27047.00	0.25
27050.00	0.00
27100.00	0.25
27103.00	0.00
27117.00	0.25
27139.00	0.00
27663.00	0.25
27667.00	0.00
28353.00	0.25
28734.00	0.50
28746.00	0.25
28755.00	0.50
28758.00	0.25
28926.00	0.50
28929.00	0.50
28931.00	0.75
28933.00	0.50
28934.00	0.25
29240.00	0.50
29243.00	0.25
29254.00	0.50
29257.00	0.25
29406.00	0.50
29409.00	0.25
29421.00	0.50
29422.00	0.25
29436.00	0.50
29440.00	0.25
29451.00	0.50
29452.00	0.25
29482.00	0.50
29487.00	0.25
29491.00	0.50
29493.00	0.25
29512.00	0.50
29522.00	0.25
29720.00	0.50
29730.00	0.25
29737.00	0.50
29740.00	0.25
29924.00	0.50
29925.00	0.25
30081.00	0.50
30115.00	0.75
30117.00	1.00
30119.00	0.75
30132.00	1.00
30133.00	0.75
30450.00	0.50
30465.00	0.75
30467.00	0.50
30500.00	0.25
42085.00	0.00
42226.00	0.25
42228.00	0.00
42442.00	0.25
47138.00	0.00
47189.00	0.25
47192.00	0.00
47248.00	0.25
47252.00	0.00
47322.00	0.25
47323.00	0.00
47351.00	0.25
47353.00	0.00
47416.00	0.00
47544.00	0.00
47652.00	0.25
47675.00	0.50
47676.00	0.25
47729.00	0.50
47732.00	0.25
47756.00	0.50
47759.00	0.25
47884.00	0.50
47886.00	0.25
54568.00	0.00
54663.00	0.25
54668.00	0.00
54733.00	0.25
54734.00	0.00
54977.00	0.25
55035.00	0.50
55039.00	0.25
55055.00	0.50
55057.00	0.25
55079.00	0.50
55081.00	0.25
55106.00	0.50
55107.00	0.25
55132.00	0.50
55134.00	0.25
55156.00	0.50
55158.00	0.25
55172.00	0.50
55175.00	0.25
55185.00	0.50
55187.00	0.25
55223.00	0.50
55226.00	0.25
55354.00	0.50
55371.00	0.75
55384.00	1.00
61406.00	0.75
61408.00	0.50
61409.00	0.25
61412.00	0.00
61478.00	0.25
61480.00	0.00
61481.00	0.25
61483.00	0.00
61487.00	0.00
61493.00	0.25
61494.00	0.50
61495.00	0.00
61497.00	0.25
61498.00	0.00
61500.00	0.25
61501.00	0.00
61507.00	0.25
61508.00	0.00
61509.00	0.25
61511.00	0.25
61512.00	0.00
61660.00	0.25
61662.00	0.00
61733.00	0.25
61734.00	0.00
61818.00	0.25
61822.00	0.00
62056.00	0.25
62057.00	0.00
62258.00	0.00
62491.00	0.25
62492.00	0.00
62764.00	0.25
62767.00	0.00
62887.00	0.25
62889.00	0.50
62892.00	0.25
62897.00	0.50
62901.00	0.25
62905.00	0.00
62923.00	0.25
62926.00	0.00
62995.00	0.25
62997.00	0.00
63007.00	0.25
63008.00	0.00
63025.00	0.25
63028.00	0.00
63050.00	0.25
63052.00	0.00
63069.00	0.25
63072.00	0.00
63087.00	0.25
63089.00	0.00
63104.00	0.25
63108.00	0.00
63130.00	0.25
63133.00	0.00
63151.00	0.25
63154.00	0.00
63163.00	0.25
63165.00	0.00
63184.00	0.25
63186.00	0.00
63202.00	0.25
63203.00	0.00
63220.00	0.25
63221.00	0.00
63239.00	0.00
63257.00	0.25
63258.00	0.00
63277.00	0.25
63280.00	0.00
63297.00	0.25
63298.00	0.00
63316.00	0.00
63335.00	0.25
63336.00	0.00
63355.00	0.00
63373.00	0.25
63374.00	0.00
63392.00	0.25
63396.00	0.00
63408.00	0.25
63418.00	0.00
63426.00	0.25
63427.00	0.00
63444.00	0.25
63446.00	0.00
63462.00	0.25
63463.00	0.00
63480.00	0.25
63481.00	0.00
63497.00	0.25
63499.00	0.00
63517.00	0.00
63537.00	0.25
63538.00	0.00
63553.00	0.25
63559.00	0.00
63572.00	0.00
63592.00	0.25
63600.00	0.00
63609.00	0.25
63610.00	0.00
63627.00	0.25
63628.00	0.00
63649.00	0.00
63680.00	0.25
63681.00	0.00
63698.00	0.25
63700.00	0.00
63728.00	0.25
63730.00	0.00
63749.00	0.25
63752.00	0.00
63769.00	0.25
63770.00	0.00
63790.00	0.25
63791.00	0.00
63809.00	0.00
63827.00	0.25
63830.00	0.00
63847.00	0.00
63867.00	0.00
63888.00	0.25
63889.00	0.00
63908.00	0.00
63928.00	0.25
63929.00	0.00
63948.00	0.25
63952.00	0.00
63969.00	0.25
63970.00	0.00
63989.00	0.00
64009.00	0.25
64010.00	0.00
64029.00	0.25
64030.00	0.00
64049.00	0.00
64070.00	0.25
64073.00	0.00
64101.00	0.25
64102.00	0.00
64122.00	0.00
64140.00	0.25
64142.00	0.00
64158.00	0.25
64159.00	0.00
64178.00	0.25
64179.00	0.00
64195.00	0.25
64197.00	0.00
64213.00	0.25
64219.00	0.00
64231.00	0.25
64236.00	0.00
64260.00	0.25
64261.00	0.00
64281.00	0.25
64282.00	0.00
64300.00	0.25
64301.00	0.00
64321.00	0.00
64341.00	0.25
64342.00	0.00
64361.00	0.25
64365.00	0.00
64383.00	0.25
64384.00	0.00
64404.00	0.00
64422.00	0.25
64423.00	0.00
64442.00	0.25
64443.00	0.00
64462.00	0.25
64464.00	0.00
64482.00	0.25
64486.00	0.00
64496.00	0.25
64498.00	0.00
64516.00	0.25
64517.00	0.00
64536.00	0.25
64538.00	0.00
64565.00	0.25
64566.00	0.00
64586.00	0.25
64590.00	0.00
64614.00	0.25
64615.00	0.00
64639.00	0.25
64640.00	0.00
64663.00	0.25
64664.00	0.00
64691.00	0.25
64692.00	0.00
64750.00	0.25
64751.00	0.00
64784.00	0.25
64786.00	0.00
64805.00	0.25
64807.00	0.00
65183.00	0.25
65184.00	0.00
65250.00	0.25
65251.00	0.00
65385.00	0.25
65387.00	0.00
65821.00	0.25
65822.00	0.00
66001.00	0.25
66003.00	0.50
66004.00	0.25
66005.00	0.00
66304.00	0.25
66310.00	0.25
68758.00	0.00
68969.00	0.25
68972.00	0.00
68993.00	0.25
68995.00	0.00
69009.00	0.25
69010.00	0.00
69376.00	0.25
69383.00	0.00
69461.00	0.25
69462.00	0.50
69464.00	0.25
69468.00	0.00
69474.00	0.25
69475.00	0.00
69509.00	0.25
69510.00	0.00
69527.00	0.25
69530.00	0.00
69550.00	0.25
69560.00	0.00
69588.00	0.25
69590.00	0.00
69628.00	0.25
69630.00	0.00
69648.00	0.25
69650.00	0.00
69667.00	0.25
69668.00	0.00
69956.00	0.25
69958.00	0.00
69989.00	0.25
69990.00	0.00
70013.00	0.25
70014.00	0.00
70033.00	0.25
70039.00	0.00
70169.00	0.25
70170.00	0.00
70190.00	0.25
70191.00	0.00
70213.00	0.25
70214.00	0.00
70242.00	0.25
70243.00	0.00
70367.00	0.25
70368.00	0.00
70388.00	0.25
70391.00	0.00
70407.00	0.25
70408.00	0.00
70426.00	0.25
70427.00	0.00
70797.00	0.25
70816.00	0.50
70817.00	0.25
70994.00	0.50
71008.00	0.75
71010.00	0.50
71197.00	0.75
71227.00	1.00
71404.00	0.75
71731.00	1.00
72597.00	0.75
72620.00	1.00
72700.00	0.75
