time	count
0.00	0.00
16776.00	1.00
16873.00	0.00
16932.00	1.00
17066.00	0.00
17093.00	1.00
17405.00	0.00
17418.00	1.00
17422.00	0.00
17609.00	1.00
17833.00	0.00
17858.00	1.00
17878.00	0.00
17885.00	1.00
17895.00	0.00
17933.00	1.00
17950.00	0.00
17965.00	1.00
18023.00	0.00
18039.00	1.00
18078.00	0.00
18139.00	1.00
18165.00	0.00
18191.00	1.00
18357.00	0.00
18378.00	1.00
18400.00	0.00
18407.00	1.00
18412.00	0.00
18417.00	1.00
18424.00	0.00
18449.00	1.00
18462.00	0.00
18474.00	1.00
18481.00	0.00
18505.00	1.00
18543.00	0.00
18553.00	1.00
18555.00	0.00
18590.00	1.00
18605.00	0.00
18625.00	1.00
18642.00	0.00
19247.00	1.00
26994.00	0.00
27015.00	1.00
27079.00	0.00
27099.00	1.00
27105.00	0.00
27117.00	1.00
28357.00	0.00
28385.00	1.00
28391.00	0.00
28562.00	1.00
28654.00	0.00
28677.00	1.00
28731.00	0.00
28758.00	1.00
28853.00	0.00
28872.00	1.00
28883.00	0.00
28893.00	1.00
28907.00	0.00
28915.00	1.00
29167.00	0.00
29186.00	1.00
29195.00	0.00
29202.00	1.00
29355.00	0.00
29372.00	1.00
29380.00	0.00
29386.00	1.00
29395.00	0.00
29404.00	1.00
29433.00	0.00
29457.00	1.00
29463.00	0.00
29475.00	1.00
29481.00	0.00
29489.00	1.00
29496.00	0.00
29514.00	1.00
29550.00	0.00
29573.00	1.00
29655.00	0.00
29675.00	1.00
29677.00	0.00
29684.00	1.00
30052.00	0.00
30066.00	1.00
30100.00	0.00
30109.00	1.00
30116.00	0.00
30135.00	1.00
42198.00	0.00
42236.00	1.00
42406.00	0.00
42448.00	1.00
42475.00	0.00
47190.00	1.00
47221.00	0.00
47272.00	1.00
47299.00	0.00
47323.00	1.00
47335.00	0.00
47380.00	1.00
47395.00	0.00
47418.00	1.00
47651.00	0.00
47681.00	1.00
47695.00	0.00
47704.00	1.00
47719.00	0.00
47886.00	1.00
54941.00	0.00
54989.00	1.00
54999.00	0.00
55035.00	1.00
55037.00	0.00
55056.00	1.00
55058.00	0.00
55085.00	1.00
55087.00	0.00
55112.00	1.00
55114.00	0.00
55138.00	1.00
55140.00	0.00
55156.00	1.00
55158.00	0.00
55170.00	1.00
55172.00	0.00
55186.00	1.00
55188.00	0.00
55331.00	1.00
55335.00	0.00
55355.00	1.00
55356.00	0.00
55369.00	1.00
55371.00	0.00
55384.00	1.00
55386.00	0.00
55394.00	1.00
55395.00	0.00
55401.00	1.00
55403.00	0.00
55408.00	1.00
55410.00	0.00
55415.00	1.00
55417.00	0.00
55422.00	1.00
55424.00	0.00
55429.00	1.00
55431.00	0.00
55437.00	1.00
55438.00	0.00
55444.00	1.00
55445.00	0.00
55451.00	1.00
55452.00	0.00
55458.00	1.00
55460.00	0.00
55465.00	1.00
61789.00	0.00
61834.00	1.00
62701.00	0.00
62831.00	1.00
62839.00	0.00
62867.00	1.00
62870.00	0.00
62879.00	1.00
62881.00	0.00
62890.00	1.00
62892.00	0.00
62952.00	1.00
62958.00	0.00
62982.00	1.00
62985.00	0.00
62999.00	1.00
63001.00	0.00
63024.00	1.00
63027.00	0.00
63050.00	1.00
63052.00	0.00
63069.00	1.00
63070.00	0.00
63085.00	1.00
63087.00	0.00
63112.00	1.00
63114.00	0.00
63131.00	1.00
63133.00	0.00
63149.00	1.00
63151.00	0.00
63166.00	1.00
63168.00	0.00
63185.00	1.00
63187.00	0.00
63204.00	1.00
63206.00	0.00
63222.00	1.00
63224.00	0.00
63240.00	1.00
63242.00	0.00
63258.00	1.00
63260.00	0.00
63278.00	1.00
63280.00	0.00
63298.00	1.00
63300.00	0.00
63317.00	1.00
63319.00	0.00
63335.00	1.00
63337.00	0.00
63357.00	1.00
63359.00	0.00
63375.00	1.00
63377.00	0.00
63393.00	1.00
63395.00	0.00
63410.00	1.00
63411.00	0.00
63427.00	1.00
63429.00	0.00
63446.00	1.00
63448.00	0.00
63464.00	1.00
63466.00	0.00
63481.00	1.00
63483.00	0.00
63499.00	1.00
63501.00	0.00
63516.00	1.00
63518.00	0.00
63537.00	1.00
63539.00	0.00
63556.00	1.00
63558.00	0.00
63573.00	1.00
63574.00	0.00
63593.00	1.00
63595.00	0.00
63611.00	1.00
63613.00	0.00
63629.00	1.00
63630.00	0.00
63649.00	1.00
63650.00	0.00
63681.00	1.00
63683.00	0.00
63701.00	1.00
63703.00	0.00
63729.00	1.00
63731.00	0.00
63750.00	1.00
63752.00	0.00
63769.00	1.00
63772.00	0.00
63791.00	1.00
63794.00	0.00
63810.00	1.00
63812.00	0.00
63829.00	1.00
63830.00	0.00
63848.00	1.00
63850.00	0.00
63867.00	1.00
63869.00	0.00
63888.00	1.00
63890.00	0.00
63908.00	1.00
63910.00	0.00
63929.00	1.00
63931.00	0.00
63949.00	1.00
63951.00	0.00
63971.00	1.00
63973.00	0.00
63988.00	1.00
63990.00	0.00
64010.00	1.00
64012.00	0.00
64029.00	1.00
64031.00	0.00
64049.00	1.00
64051.00	0.00
64070.00	1.00
64072.00	0.00
64102.00	1.00
64104.00	0.00
64122.00	1.00
64124.00	0.00
64143.00	1.00
64144.00	0.00
64160.00	1.00
64162.00	0.00
64178.00	1.00
64180.00	0.00
64198.00	1.00
64199.00	0.00
64215.00	1.00
64217.00	0.00
