level	start	end	color	opacity	title	initiation	in	out	children	parents	prof_uid
3	42136	54638	#00ff42	1.0	Partition By Field	20					4347
3	54675	54702	#00ff42	1.0	Partition By Field	32					166
3	54731	61638	#00ff42	1.0	Partition By Image Range	22					4817
3	61666	61715	#00ff42	1.0	Partition By Image Range	34					167
3	61957	62036	#8500ff	1.0	Intersections	42					168
3	62200	62238	#8500ff	1.0	Intersections	42					169
3	62436	62473	#8500ff	1.0	Intersections	42					170
3	105868	105876	#000000	1.0	Intersection						4818
3	105902	105903	#000000	1.0	Intersection						171
3	105914	105915	#000000	1.0	Intersection						4819
3	105920	105921	#000000	1.0	Intersection						172
3	105932	105933	#000000	1.0	Intersection						4820
3	105940	105940	#000000	1.0	Intersection						4821
3	105949	105950	#000000	1.0	Intersection						5178
3	105956	105957	#000000	1.0	Intersection						173
3	109112	109113	#000000	1.0	Intersection						5179
3	109239	109240	#000000	1.0	Intersection						5180
3	109320	109321	#000000	1.0	Intersection						5181
3	109680	109682	#000000	1.0	Intersection						5182
3	109791	109792	#000000	1.0	Intersection						5183
3	110012	110014	#000000	1.0	Intersection						5184
3	110119	110121	#000000	1.0	Intersection						5185
3	110347	110349	#000000	1.0	Intersection						5186
3	116832	116833	#000000	1.0	Intersection						5187
3	116842	116842	#000000	1.0	Intersection						174
3	116849	116850	#000000	1.0	Intersection						5188
3	116860	116861	#000000	1.0	Intersection						4348
3	116871	116872	#000000	1.0	Intersection						4822
3	116883	116884	#000000	1.0	Intersection						175
3	116904	116905	#000000	1.0	Intersection						176
3	116918	116918	#000000	1.0	Intersection						5189
3	120150	120151	#000000	1.0	Intersection						4349
3	120272	120274	#000000	1.0	Intersection						4350
3	120803	120805	#000000	1.0	Intersection						4351
3	120937	120939	#000000	1.0	Intersection						4352
3	121199	121201	#000000	1.0	Intersection						4353
3	121340	121342	#000000	1.0	Intersection						4354
3	121619	121621	#000000	1.0	Intersection						4355
3	121746	121747	#000000	1.0	Intersection						4356
3	130472	130474	#000000	1.0	Intersection						177
3	130490	130491	#000000	1.0	Intersection						4823
3	130502	130502	#000000	1.0	Intersection						4824
3	130511	130512	#000000	1.0	Intersection						178
3	130523	130524	#000000	1.0	Intersection						4825
3	130534	130534	#000000	1.0	Intersection						5190
3	130545	130545	#000000	1.0	Intersection						179
3	130551	130552	#000000	1.0	Intersection						5191
3	133637	133639	#000000	1.0	Intersection						5192
3	133891	133893	#000000	1.0	Intersection						4357
3	134230	134232	#000000	1.0	Intersection						4358
3	134349	134351	#000000	1.0	Intersection						4826
3	134602	134604	#000000	1.0	Intersection						180
3	134959	134961	#000000	1.0	Intersection						4359
3	135078	135080	#000000	1.0	Intersection						4360
3	135143	135144	#000000	1.0	Intersection						4361
