level	start	end	color	opacity	title	initiation	in	out	children	parents	prof_uid
4	108823	111812	#ff002c	1.0	Copy size=100000	72					154
4	111974	112493	#ff002c	1.0	Copy size=5000	72					1439
3	112090	112476	#ff002c	1.0	Copy size=5000	72					1438
2	112203	112459	#ff002c	1.0	Copy size=5000	72					1437
1	112316	112435	#ff002c	1.0	Copy size=5000	72					155
4	112732	114965	#ff002c	1.0	Copy size=100000	72					158
4	119926	122484	#ff002c	1.0	Copy size=100000	150					4813
4	122642	123126	#ff002c	1.0	Copy size=5000	150					4815
3	122759	123087	#ff002c	1.0	Copy size=5000	150					4341
2	122812	123065	#ff002c	1.0	Copy size=5000	150					4340
1	122923	123043	#ff002c	1.0	Copy size=5000	150					4814
4	123411	125638	#ff002c	1.0	Copy size=100000	150					5176
4	135457	136522	#ff002c	1.0	Copy size=100000	156					4343
4	136655	137170	#ff002c	1.0	Copy size=5000	156					4816
3	136715	137158	#ff002c	1.0	Copy size=5000	156					4345
2	136827	137143	#ff002c	1.0	Copy size=5000	156					4344
1	136939	137119	#ff002c	1.0	Copy size=5000	156					159
4	137413	139642	#ff002c	1.0	Copy size=100000	156					162
