time	count
0.00	0.00
12569.00	1.00
12665.00	0.00
12720.00	1.00
12891.00	0.00
12916.00	1.00
13210.00	0.00
13223.00	1.00
13226.00	0.00
13410.00	1.00
13631.00	0.00
13659.00	1.00
13686.00	0.00
13696.00	1.00
13710.00	0.00
13725.00	1.00
13745.00	0.00
13759.00	1.00
13828.00	0.00
13854.00	1.00
13921.00	0.00
13991.00	1.00
14013.00	0.00
14030.00	1.00
14218.00	0.00
14239.00	1.00
14268.00	0.00
14280.00	1.00
14288.00	0.00
14310.00	1.00
14322.00	0.00
14335.00	1.00
14353.00	0.00
14365.00	1.00
14371.00	0.00
14379.00	1.00
14423.00	0.00
14480.00	1.00
14493.00	0.00
14508.00	1.00
14528.00	0.00
15169.00	1.00
15236.00	0.00
15256.00	1.00
22472.00	0.00
22492.00	1.00
22555.00	0.00
22577.00	1.00
23811.00	0.00
23829.00	1.00
23833.00	0.00
23988.00	1.00
24058.00	0.00
24073.00	1.00
24112.00	0.00
24134.00	1.00
24234.00	0.00
24259.00	1.00
24271.00	0.00
24288.00	1.00
24302.00	0.00
24322.00	1.00
24408.00	0.00
24426.00	1.00
24610.00	0.00
24631.00	1.00
24637.00	0.00
24652.00	1.00
24657.00	0.00
24677.00	1.00
24804.00	0.00
24819.00	1.00
24829.00	0.00
24859.00	1.00
24876.00	0.00
24883.00	1.00
24887.00	0.00
24897.00	1.00
24903.00	0.00
24910.00	1.00
24919.00	0.00
24929.00	1.00
24935.00	0.00
24943.00	1.00
24980.00	0.00
24995.00	1.00
25063.00	0.00
25080.00	1.00
25082.00	0.00
25098.00	1.00
25387.00	0.00
25402.00	1.00
25428.00	0.00
25435.00	1.00
25440.00	0.00
25445.00	1.00
36907.00	0.00
36922.00	1.00
37088.00	0.00
37116.00	1.00
37122.00	0.00
37134.00	1.00
37143.00	0.00
37165.00	1.00
37173.00	0.00
37183.00	1.00
42213.00	0.00
42224.00	1.00
42234.00	0.00
42243.00	1.00
42250.00	0.00
42258.00	1.00
49860.00	0.00
49877.00	1.00
49886.00	0.00
49895.00	1.00
49897.00	0.00
49905.00	1.00
49906.00	0.00
49915.00	1.00
49916.00	0.00
49925.00	1.00
49926.00	0.00
49934.00	1.00
49935.00	0.00
49940.00	1.00
49941.00	0.00
49946.00	1.00
49947.00	0.00
49952.00	1.00
49953.00	0.00
49958.00	1.00
49959.00	0.00
49963.00	1.00
49964.00	0.00
49969.00	1.00
49970.00	0.00
49974.00	1.00
