time	count
0.00	0.00
12749.00	0.50
12798.00	0.00
12941.00	0.50
12943.00	0.00
13243.00	0.50
13403.00	0.00
13684.00	0.50
13694.00	0.00
13700.00	0.50
13708.00	0.00
13731.00	0.50
13733.00	0.00
13765.00	0.50
13767.00	0.00
13874.00	0.50
13906.00	0.00
13930.00	0.50
13935.00	1.00
13937.00	0.50
13953.00	0.00
13980.00	0.50
13987.00	0.00
14056.00	0.50
14059.00	0.00
14100.00	0.50
14146.00	0.00
14271.00	0.50
14274.00	0.00
14281.00	0.50
14284.00	0.00
14308.00	0.50
14310.00	0.00
14339.00	0.50
14342.00	0.00
14368.00	0.50
14380.00	0.00
14384.00	0.50
14386.00	0.00
14430.00	0.50
14434.00	1.00
14436.00	0.50
14445.00	0.00
14477.00	0.50
14479.00	0.00
14507.00	0.50
14509.00	0.00
14520.00	0.50
14544.00	1.00
14546.00	0.50
15186.00	0.00
15254.00	0.50
15256.00	0.00
22489.00	0.50
22490.00	0.00
22577.00	0.50
22578.00	0.00
23126.00	0.50
23135.00	0.00
23781.00	0.50
24104.00	1.00
24107.00	0.50
24130.00	1.00
24132.00	0.50
24248.00	1.00
24258.00	0.50
24285.00	1.00
24286.00	0.50
24315.00	1.00
24316.00	0.50
24420.00	1.00
24422.00	0.50
24628.00	1.00
24630.00	0.50
24650.00	1.00
24656.00	0.50
24671.00	1.00
24672.00	0.50
24817.00	1.00
24818.00	0.50
24896.00	1.00
24898.00	0.50
24903.00	0.50
24906.00	1.00
24913.00	0.50
24916.00	1.00
24917.00	0.50
24929.00	1.00
24930.00	0.50
24943.00	1.00
24944.00	0.50
25078.00	1.00
25079.00	0.50
25093.00	1.00
25094.00	0.50
25243.00	1.00
25250.00	0.50
25390.00	1.00
36760.00	0.50
36774.00	1.00
36776.00	0.50
36783.00	1.00
36784.00	0.50
36785.00	1.00
36790.00	0.50
36792.00	1.00
36794.00	0.50
36920.00	1.00
36921.00	0.50
37111.00	1.00
37112.00	0.50
37146.00	1.00
37148.00	0.50
37160.00	1.00
37161.00	0.50
37189.00	1.00
42016.00	0.50
42100.00	0.50
42215.00	1.00
42230.00	0.50
42243.00	1.00
42245.00	0.50
42247.00	1.00
42251.00	0.50
42253.00	1.00
42255.00	0.50
42258.00	1.00
49651.00	0.50
49742.00	1.00
49748.00	0.50
49790.00	1.00
49791.00	0.50
49877.00	1.00
49879.00	0.50
49896.00	1.00
49897.00	0.50
49906.00	1.00
49907.00	0.50
49916.00	1.00
49917.00	0.50
49926.00	1.00
49927.00	0.50
49935.00	1.00
56518.00	0.50
56561.00	1.00
56563.00	0.50
56565.00	1.00
56566.00	0.50
56567.00	1.00
56568.00	0.50
56569.00	1.00
56570.00	0.50
