time	count
0.00	0.00
17243.00	0.25
17321.00	0.00
17370.00	0.25
17372.00	0.00
17630.00	0.25
17782.00	0.00
18040.00	0.25
18042.00	0.50
18044.00	0.25
18048.00	0.00
18055.00	0.25
18056.00	0.00
18098.00	0.25
18100.00	0.00
18183.00	0.25
18186.00	0.00
18210.00	0.25
18212.00	0.00
18225.00	0.25
18251.00	0.00
18277.00	0.25
18283.00	0.00
18352.00	0.25
18360.00	0.00
18413.00	0.25
18464.00	0.00
18515.00	0.25
18517.00	0.00
18555.00	0.25
18557.00	0.00
18567.00	0.25
18586.00	0.00
18588.00	0.25
18590.00	0.00
18621.00	0.25
18622.00	0.00
18644.00	0.25
18646.00	0.00
18682.00	0.25
18693.00	0.50
18696.00	0.00
18723.00	0.25
18724.00	0.00
18749.00	0.25
18751.00	0.00
18757.00	0.25
18776.00	0.50
18779.00	0.25
19322.00	0.00
26449.00	0.25
26458.00	0.00
26524.00	0.25
26525.00	0.00
26541.00	0.25
26543.00	0.00
26975.00	0.25
26980.00	0.00
27538.00	0.25
27864.00	0.50
27866.00	0.25
27896.00	0.50
27898.00	0.25
28023.00	0.50
28025.00	0.25
28031.00	0.50
28032.00	0.25
28037.00	0.50
28069.00	0.25
28130.00	0.50
28137.00	0.25
28324.00	0.50
28325.00	0.75
28326.00	0.50
28327.00	0.25
28346.00	0.50
28348.00	0.25
28480.00	0.75
28482.00	0.25
28488.00	0.50
28489.00	0.25
28491.00	0.25
28510.00	0.50
28512.00	0.25
28526.00	0.50
28535.00	0.25
28539.00	0.50
28540.00	0.25
28670.00	0.50
28671.00	0.25
28689.00	0.50
28696.00	0.25
28853.00	0.50
28854.00	0.25
28988.00	0.50
29030.00	0.75
29037.00	1.00
29039.00	0.75
29056.00	1.00
29058.00	0.75
29367.00	0.50
29383.00	0.75
29384.00	0.50
29390.00	0.25
82026.00	0.00
82190.00	0.25
82206.00	0.00
82347.00	0.25
82348.00	0.50
82351.00	0.50
82354.00	0.25
82387.00	0.50
82389.00	0.25
82404.00	0.50
82407.00	0.25
82423.00	0.50
82425.00	0.25
126377.00	0.00
126517.00	0.25
126518.00	0.00
126627.00	0.25
126640.00	0.50
126642.00	0.75
126643.00	0.50
126644.00	0.75
126646.00	0.50
126651.00	0.25
134040.00	0.00
134049.00	0.25
134052.00	0.00
134181.00	0.25
134187.00	0.00
134198.00	0.25
134200.00	0.00
134278.00	0.25
134279.00	0.00
134356.00	0.25
134358.00	0.00
134699.00	0.25
134701.00	0.00
134706.00	0.25
134708.00	0.50
134709.00	0.00
134713.00	0.25
134714.00	0.00
134717.00	0.00
134719.00	0.00
134721.00	0.25
134736.00	0.50
134738.00	0.25
134749.00	0.50
134762.00	0.75
134763.00	0.50
134792.00	0.75
134794.00	0.50
134823.00	0.75
134825.00	0.50
134836.00	0.75
134837.00	0.50
134838.00	0.75
134843.00	1.00
140978.00	0.75
140979.00	0.50
140988.00	0.75
140989.00	0.75
140990.00	0.50
140992.00	0.75
140993.00	0.75
140994.00	0.50
141000.00	0.75
141001.00	0.50
141023.00	0.25
141052.00	0.00
141099.00	0.25
141101.00	0.00
141133.00	0.25
141135.00	0.00
141144.00	0.25
141145.00	0.00
141168.00	0.25
141169.00	0.00
141249.00	0.25
141250.00	0.00
141294.00	0.25
141295.00	0.00
141360.00	0.25
141361.00	0.00
141390.00	0.25
141391.00	0.00
141436.00	0.00
141459.00	0.25
141462.00	0.00
141479.00	0.25
141483.00	0.00
141501.00	0.25
141503.00	0.00
141524.00	0.25
141527.00	0.00
141538.00	0.25
141539.00	0.00
141558.00	0.25
141560.00	0.00
141577.00	0.25
141578.00	0.00
141598.00	0.25
141601.00	0.00
141618.00	0.25
141621.00	0.00
141633.00	0.25
141637.00	0.00
141653.00	0.25
141660.00	0.00
141668.00	0.25
141669.00	0.00
141689.00	0.25
141691.00	0.00
141706.00	0.25
141707.00	0.00
141723.00	0.25
141724.00	0.00
141739.00	0.25
141740.00	0.00
141758.00	0.25
141765.00	0.00
141777.00	0.25
141779.00	0.00
141780.00	0.25
141785.00	0.00
141803.00	0.25
141804.00	0.00
141809.00	0.25
141826.00	0.50
141827.00	0.25
141833.00	0.50
141835.00	0.25
141849.00	0.50
141856.00	0.25
141857.00	0.50
141858.00	0.25
141873.00	0.50
141874.00	0.25
141880.00	0.25
141898.00	0.50
141899.00	0.25
141905.00	0.50
141912.00	0.25
141917.00	0.25
141925.00	0.50
141926.00	0.25
141941.00	0.50
141942.00	0.25
141955.00	0.00
141960.00	0.25
141961.00	0.00
141977.00	0.25
141982.00	0.00
141989.00	0.25
141990.00	0.00
142002.00	0.25
142003.00	0.00
142016.00	0.25
142017.00	0.00
142030.00	0.25
142031.00	0.00
142045.00	0.25
142046.00	0.00
142054.00	0.25
142055.00	0.00
142070.00	0.25
142072.00	0.00
142094.00	0.25
142095.00	0.00
142110.00	0.25
142111.00	0.00
142119.00	0.25
142124.00	0.00
142130.00	0.25
142135.00	0.00
142141.00	0.25
142142.00	0.00
142409.00	0.25
142411.00	0.00
142442.00	0.25
142443.00	0.00
142460.00	0.25
142461.00	0.00
142479.00	0.25
142480.00	0.00
142497.00	0.25
142502.00	0.00
142884.00	0.25
142886.00	0.00
142933.00	0.00
142983.00	0.25
142984.00	0.00
143012.00	0.25
143013.00	0.00
143115.00	0.25
143119.00	0.00
143211.00	0.25
143212.00	0.00
143233.00	0.25
143234.00	0.00
143258.00	0.25
143259.00	0.00
143412.00	0.25
143413.00	0.00
143435.00	0.25
143438.00	0.00
143484.00	0.25
143485.00	0.00
143524.00	0.25
143525.00	0.00
143758.00	0.25
143769.00	0.50
143770.00	0.25
143794.00	0.50
143796.00	0.25
143802.00	0.50
143803.00	0.25
144007.00	0.50
144008.00	0.25
144055.00	0.50
144056.00	0.25
144075.00	0.00
144095.00	0.25
144100.00	0.00
144103.00	0.25
144114.00	0.50
144115.00	0.25
144119.00	0.00
144172.00	0.25
144174.00	0.00
144176.00	0.25
144177.00	0.00
144253.00	0.25
144254.00	0.00
144330.00	0.25
144332.00	0.00
144357.00	0.25
144358.00	0.00
144409.00	0.25
144422.00	0.50
144428.00	0.25
144490.00	0.00
144588.00	0.25
144589.00	0.00
144634.00	0.25
144635.00	0.00
144667.00	0.00
144729.00	0.25
144730.00	0.00
144803.00	0.25
144804.00	0.00
144826.00	0.25
144830.00	0.00
144853.00	0.25
144854.00	0.00
144869.00	0.25
144870.00	0.00
145006.00	0.25
145021.00	0.50
145023.00	0.25
145054.00	0.50
145055.00	0.25
145079.00	0.50
145080.00	0.25
145143.00	0.50
145144.00	0.25
145168.00	0.50
145169.00	0.25
145205.00	0.50
145212.00	0.25
145242.00	0.25
145276.00	0.25
145302.00	0.50
145304.00	0.25
145329.00	0.50
145330.00	0.25
145383.00	0.50
145384.00	0.25
145940.00	0.00
145956.00	0.25
145957.00	0.00
145966.00	0.25
145970.00	0.50
145971.00	0.25
146021.00	0.50
146026.00	0.25
146041.00	0.50
146042.00	0.00
146182.00	0.25
146184.00	0.00
146235.00	0.25
146236.00	0.00
146268.00	0.25
146269.00	0.00
146325.00	0.25
146326.00	0.00
146376.00	0.25
146377.00	0.00
146750.00	0.25
146751.00	0.00
152605.00	0.25
152608.00	0.25
152618.00	0.00
159682.00	0.25
159685.00	0.00
159708.00	0.25
159710.00	0.00
159872.00	0.25
159873.00	0.00
159882.00	0.25
159883.00	0.00
159890.00	0.00
159898.00	0.25
159901.00	0.00
159954.00	0.25
159955.00	0.00
161443.00	0.25
161445.00	0.00
161448.00	0.00
161937.00	0.25
161943.00	0.00
161952.00	0.25
161953.00	0.00
162032.00	0.00
162314.00	0.25
162318.00	0.00
162453.00	0.00
162587.00	0.25
162588.00	0.00
162705.00	0.25
162707.00	0.00
162721.00	0.25
162722.00	0.00
162833.00	0.25
162834.00	0.00
162941.00	0.25
162946.00	0.00
163001.00	0.25
163002.00	0.00
163014.00	0.25
163016.00	0.00
163129.00	0.25
163130.00	0.00
163151.00	0.25
163174.00	0.50
163176.00	0.25
163207.00	0.00
163280.00	0.25
163282.00	0.00
163333.00	0.25
163335.00	0.00
163434.00	0.25
163435.00	0.00
163449.00	0.25
163450.00	0.00
163469.00	0.25
163470.00	0.00
164128.00	0.25
164134.00	0.00
164144.00	0.25
164145.00	0.00
166349.00	0.25
166378.00	0.00
166438.00	0.25
166440.00	0.00
166478.00	0.25
166480.00	0.00
166837.00	0.25
166864.00	0.00
166929.00	0.25
166931.00	0.00
166971.00	0.25
166973.00	0.00
167024.00	0.25
167025.00	0.00
168605.00	0.25
168640.00	0.00
168699.00	0.25
168700.00	0.00
168737.00	0.25
168743.00	0.00
168777.00	0.25
168779.00	0.00
168841.00	0.25
168842.00	0.00
168953.00	0.25
168954.00	0.00
169320.00	0.25
169321.00	0.00
169410.00	0.00
169445.00	0.25
169450.00	0.50
169452.00	0.25
169505.00	0.00
169520.00	0.25
169522.00	0.00
169540.00	0.25
169542.00	0.00
169551.00	0.25
169572.00	0.50
169573.00	0.25
169575.00	0.00
169642.00	0.00
169684.00	0.25
169685.00	0.00
169784.00	0.25
169791.00	0.00
169815.00	0.25
169816.00	0.00
169834.00	0.25
169835.00	0.00
169857.00	0.25
169858.00	0.00
169952.00	0.25
169962.00	0.50
169963.00	0.25
169993.00	0.00
170007.00	0.25
170009.00	0.00
170035.00	0.25
170037.00	0.00
170049.00	0.25
170070.00	0.00
170076.00	0.25
170077.00	0.00
170122.00	0.25
170130.00	0.00
