level	start	end	color	opacity	title	initiation	in	out	children	parents	prof_uid
1	152891	152895	#FFC0CB	1.0	ProfTask <1>						7997
1	154595	154597	#FFC0CB	1.0	ProfTask <1>						7999
1	166822	166824	#FFC0CB	1.0	ProfTask <5>						8001
1	168453	168514	#ff00e3	1.0	calc_mean <7>						12443
1	168547	168550	#FFC0CB	1.0	ProfTask <7>						8003
1	172817	172819	#FFC0CB	1.0	ProfTask						8005
1	172911	172913	#FFC0CB	1.0	ProfTask						8007
1	180348	180353	#FFC0CB	1.0	ProfTask <9>						8009
1	181978	182290	#007eff	1.0	eval_samples <13>						12148
1	183083	183381	#007eff	1.0	eval_samples <15>						12149
1	183419	183422	#FFC0CB	1.0	ProfTask <15>						8011
1	186985	186988	#FFC0CB	1.0	ProfTask						8013
1	187012	187014	#FFC0CB	1.0	ProfTask						8015
1	187050	187051	#FFC0CB	1.0	ProfTask						8017
1	187075	187077	#FFC0CB	1.0	ProfTask						8019
1	187158	187164	#FFC0CB	1.0	ProfTask						8021
1	190557	190559	#FFC0CB	1.0	ProfTask <17>						8023
1	191908	191909	#FFC0CB	1.0	ProfTask <17>						8025
1	195441	195443	#FFC0CB	1.0	ProfTask						8027
1	196102	196104	#FFC0CB	1.0	ProfTask <19>						8029
1	196846	196913	#ff00e3	1.0	calc_mean <19>						12150
1	196936	196939	#FFC0CB	1.0	ProfTask <19>						8031
1	197288	197290	#FFC0CB	1.0	ProfTask <21>						8033
1	197346	197348	#FFC0CB	1.0	ProfTask <21>						8035
1	197361	197363	#FFC0CB	1.0	ProfTask <21>						8037
1	198599	198644	#ff00e3	1.0	calc_mean <23>						12151
1	198679	198681	#FFC0CB	1.0	ProfTask <23>						8039
1	209996	209998	#FFC0CB	1.0	ProfTask <27>						8041
1	210344	210346	#FFC0CB	1.0	ProfTask <29>						8043
1	210423	210431	#FFC0CB	1.0	ProfTask <29>						8045
1	211650	211698	#ff00e3	1.0	calc_mean <31>						12449
1	211731	211734	#FFC0CB	1.0	ProfTask <31>						8047
1	219310	219313	#FFC0CB	1.0	ProfTask <33>						8049
1	223404	223406	#FFC0CB	1.0	ProfTask <37>						8051
1	223481	223482	#FFC0CB	1.0	ProfTask <37>						8053
1	224598	224606	#FFC0CB	1.0	ProfTask						8055
1	224643	224645	#FFC0CB	1.0	ProfTask						8057
1	224652	224653	#FFC0CB	1.0	ProfTask						8059
1	224683	224684	#FFC0CB	1.0	ProfTask						8061
1	224718	224719	#FFC0CB	1.0	ProfTask <39>						8063
1	224818	224820	#FFC0CB	1.0	ProfTask <39>						8065
1	225159	225165	#FFC0CB	1.0	ProfTask <302>						8067
1	227030	227032	#FFC0CB	1.0	ProfTask <43>						8069
1	232411	232414	#FFC0CB	1.0	ProfTask <322>						8071
1	232435	232437	#FFC0CB	1.0	ProfTask <322>						8073
1	235883	235886	#FFC0CB	1.0	ProfTask <322>						8075
1	236463	236464	#FFC0CB	1.0	ProfTask <322>						8077
1	239852	239857	#FFC0CB	1.0	ProfTask						8079
