level	start	end	color	opacity	title	initiation	in	out	children	parents	prof_uid
3	162182	162291	#ff002c	1.0	Copy size=30000	84					7153
3	163102	163107	#ff002c	1.0	Copy size=30000	84					194
3	185422	185797	#ff002c	1.0	Copy size=30000	168					6075
3	185853	185882	#ff002c	1.0	Copy size=1000	168					6076
3	186788	186824	#ff002c	1.0	Copy size=1000	168					6078
3	186860	186872	#ff002c	1.0	Copy size=1000	168					6080
3	186934	186946	#ff002c	1.0	Copy size=1000	168					6081
3	186999	187011	#ff002c	1.0	Copy size=1000	168					7617
3	187104	187108	#ff002c	1.0	Copy size=30000	168					6082
3	194289	194326	#ff002c	1.0	Copy size=30000	182					7618
3	194870	194876	#ff002c	1.0	Copy size=30000	182					6083
3	207171	207546	#ff002c	1.0	Copy size=30000	234					6084
3	207885	207894	#ff002c	1.0	Copy size=30000	234					195
3	220068	220123	#ff002c	1.0	Copy size=30000	286					7158
3	220611	220619	#ff002c	1.0	Copy size=30000	286					6086
