time	count
0.00	0.00
17082.00	0.50
17154.00	0.00
17227.00	0.50
17345.00	0.00
17364.00	0.50
17576.00	0.00
17585.00	0.50
17588.00	0.00
17788.00	0.50
17982.00	0.00
18004.00	0.50
18022.00	0.00
18028.00	0.50
18037.00	0.00
18064.00	0.50
18077.00	0.00
18090.00	0.50
18140.00	0.00
18154.00	0.50
18188.00	0.00
18317.00	0.50
18334.00	0.00
18353.00	0.50
18496.00	0.00
18515.00	0.50
18540.00	0.00
18551.00	0.50
18556.00	0.00
18567.00	0.50
18574.00	0.00
18593.00	0.50
18607.00	0.00
18619.00	0.50
18624.00	0.00
18642.00	0.50
18677.00	0.00
18726.00	0.50
18735.00	0.00
18747.00	0.50
18758.00	0.00
19368.00	0.50
26424.00	0.00
26450.00	0.50
26509.00	0.00
26524.00	0.50
26531.00	0.00
26541.00	0.50
27529.00	0.00
27546.00	0.50
27551.00	0.00
27742.00	0.50
27812.00	0.00
27827.00	0.50
27875.00	0.00
27899.00	0.50
27979.00	0.00
27996.00	0.50
28006.00	0.00
28011.00	0.50
28022.00	0.00
28028.00	0.50
28112.00	0.00
28137.00	0.50
28279.00	0.00
28296.00	0.50
28300.00	0.00
28305.00	0.50
28307.00	0.00
28311.00	0.50
28435.00	0.00
28449.00	0.50
28456.00	0.00
28464.00	0.50
28473.00	0.00
28478.00	0.50
28481.00	0.00
28492.00	0.50
28497.00	0.00
28508.00	0.50
28513.00	0.00
28526.00	0.50
28530.00	0.00
28539.00	0.50
28568.00	0.00
28583.00	0.50
28649.00	0.00
28673.00	0.50
28676.00	0.00
28692.00	0.50
28982.00	0.00
28996.00	0.50
29020.00	0.00
29037.00	0.50
29045.00	0.00
29052.00	0.50
82132.00	0.00
82149.00	0.50
82290.00	0.00
82306.00	0.50
82324.00	0.00
82336.00	0.50
82340.00	0.00
82345.00	0.50
82353.00	0.00
82383.00	0.50
82387.00	0.00
82402.00	0.50
82408.00	0.00
82424.00	0.50
126595.00	0.00
126606.00	0.50
126614.00	0.00
126624.00	0.50
126629.00	0.00
126635.00	0.50
134153.00	0.00
134173.00	0.50
134332.00	0.00
134364.00	0.50
134652.00	0.00
134667.00	0.50
134674.00	0.00
134679.00	0.50
134680.00	0.00
134684.00	0.50
134685.00	0.00
134689.00	0.50
134690.00	0.00
134694.00	0.00
134699.00	0.50
134700.00	0.00
134704.00	0.50
134705.00	0.00
134731.00	0.50
134733.00	0.00
134739.00	0.50
134740.00	0.00
134764.00	0.50
134766.00	0.00
134778.00	0.50
134779.00	0.00
134799.00	0.50
134800.00	0.00
134808.00	0.50
134809.00	0.00
134813.00	0.50
134828.00	0.00
134836.00	0.50
134842.00	0.00
134849.00	0.50
134854.00	0.00
134858.00	0.50
134862.00	0.00
134866.00	0.50
134870.00	0.00
134874.00	0.50
134881.00	0.00
141052.00	0.50
141081.00	0.00
141105.00	0.50
141117.00	0.00
141132.00	0.50
141134.00	0.00
141146.00	0.50
141155.00	0.00
141167.00	0.50
141442.00	0.00
141463.00	0.50
141466.00	0.00
141482.00	0.50
141484.00	0.00
141503.00	0.50
141505.00	0.00
141521.00	0.50
141523.00	0.00
141538.00	0.50
141540.00	0.00
141559.00	0.50
141561.00	0.00
141578.00	0.50
141580.00	0.00
141598.00	0.50
141600.00	0.00
141617.00	0.50
141619.00	0.00
141634.00	0.50
141636.00	0.00
141654.00	0.50
141655.00	0.00
141669.00	0.50
141671.00	0.00
141689.00	0.50
141691.00	0.00
141706.00	0.50
141708.00	0.00
141723.00	0.50
141724.00	0.00
141740.00	0.50
141742.00	0.00
