time	count
0.00	0.00
429278.00	0.00
765757.00	0.00
773920.00	0.00
780865.00	0.00
787665.00	0.00
798526.00	0.00
805512.00	0.00
812872.00	0.00
820333.00	0.00
831171.00	0.00
838337.00	0.00
845213.00	0.00
852037.00	0.00
863282.00	0.00
870645.00	0.00
877856.00	0.00
884918.00	0.00
896269.00	0.00
903815.00	0.00
911081.00	0.00
918179.00	0.00
929446.00	0.00
936920.00	0.00
943865.00	0.00
951399.00	0.00
962519.00	0.00
969387.00	0.00
976398.00	0.00
983017.00	0.00
993524.00	0.00
999090.00	0.01
1005720.00	0.01
1011739.00	0.01
1021493.00	0.01
1027086.00	0.01
1031764.00	0.01
1037966.00	0.01
1047265.00	0.01
1053882.00	0.01
1059644.00	0.01
1066455.00	0.01
1076239.00	0.01
1081730.00	0.01
1086771.00	0.01
1091762.00	0.01
1100446.00	0.01
1105180.00	0.01
1110350.00	0.01
1115686.00	0.01
1125006.00	0.01
1129856.00	0.01
1134700.00	0.01
1139455.00	0.01
1149030.00	0.01
1153878.00	0.01
1158540.00	0.01
1163410.00	0.01
1173012.00	0.01
1178319.00	0.01
1183086.00	0.01
1187874.00	0.01
1196312.00	0.01
1201123.00	0.01
1206215.00	0.01
1211555.00	0.01
1220358.00	0.01
1225173.00	0.01
1230824.00	0.01
1236095.00	0.01
1245520.00	0.01
1251703.00	0.01
1257698.00	0.01
1263574.00	0.01
1272914.00	0.01
1278598.00	0.01
1283889.00	0.01
1289411.00	0.01
1298473.00	0.01
1303288.00	0.01
1308241.00	0.01
1313070.00	0.01
1322850.00	0.01
1327933.00	0.01
1332820.00	0.01
1337633.00	0.01
1348450.00	0.01
1353590.00	0.01
1358977.00	0.01
1364881.00	0.01
1374280.00	0.01
1381050.00	0.01
1387096.00	0.01
1392944.00	0.02
1402216.00	0.02
1408522.00	0.02
1414297.00	0.02
1419348.00	0.02
1427973.00	0.02
1433080.00	0.02
1438869.00	0.02
1444085.00	0.02
1452535.00	0.02
1457436.00	0.02
1462294.00	0.02
1467316.00	0.02
1477146.00	0.02
1482961.00	0.02
1487928.00	0.02
1492928.00	0.02
1502421.00	0.02
1507359.00	0.02
1512588.00	0.02
1517497.00	0.02
1526736.00	0.02
1532100.00	0.02
1537130.00	0.02
1542135.00	0.02
1551756.00	0.02
1556891.00	0.02
1561807.00	0.02
1566675.00	0.02
1575547.00	0.02
1581365.00	0.02
1586383.00	0.02
1591175.00	0.02
1600752.00	0.02
1606198.00	0.02
1611121.00	0.02
1616355.00	0.02
1625709.00	0.02
1630624.00	0.02
1635357.00	0.02
1640359.00	0.02
1649930.00	0.02
1654913.00	0.02
1659685.00	0.02
1664533.00	0.02
1673727.00	0.02
1678505.00	0.02
1683804.00	0.02
1688646.00	0.02
1697328.00	0.02
1702107.00	0.02
1706982.00	0.02
1711889.00	0.02
1721502.00	0.02
1726597.00	0.02
1731736.00	0.02
1736936.00	0.02
1745724.00	0.02
1750977.00	0.02
1760624.00	0.02
1765437.00	0.02
1770212.00	0.02
1774938.00	0.03
1784196.00	0.03
1789041.00	0.03
1793766.00	0.03
1848220.00	0.03
1848326.00	0.03
1848360.00	0.03
1848383.00	0.02
1848407.00	0.02
1848429.00	0.02
1848451.00	0.02
1848478.00	0.02
1852309.00	0.02
1852334.00	0.02
1852369.00	0.02
1852393.00	0.02
1852427.00	0.02
1852449.00	0.02
1852468.00	0.02
1852487.00	0.02
1852510.00	0.02
1852529.00	0.02
1852547.00	0.02
1852566.00	0.02
1852586.00	0.02
1852608.00	0.02
1852626.00	0.02
1852644.00	0.02
1852661.00	0.02
1852679.00	0.02
1852698.00	0.02
1852724.00	0.02
1852747.00	0.02
1852770.00	0.02
1852794.00	0.02
1852814.00	0.02
1852834.00	0.02
1852853.00	0.02
1852873.00	0.02
1852894.00	0.02
1852917.00	0.02
1852941.00	0.02
