time	count
0.00	0.00
515693.00	0.25
515710.00	0.00
516473.00	0.25
516491.00	0.00
519823.00	0.25
519826.00	0.00
519928.00	0.25
519932.00	0.00
520606.00	0.25
520608.00	0.00
521150.00	0.25
521183.00	0.00
522584.00	0.25
522600.00	0.00
522811.00	0.25
522812.00	0.00
524516.00	0.25
524520.00	0.00
525580.00	0.25
525583.00	0.00
763673.00	0.25
763674.00	0.00
763728.00	0.25
763915.00	0.00
763933.00	0.25
763937.00	0.00
764208.00	0.25
764220.00	0.00
764226.00	0.25
764229.00	0.00
764571.00	0.25
764574.00	0.00
767903.00	0.25
767905.00	0.00
769325.00	0.25
769328.00	0.00
769355.00	0.25
769362.00	0.00
770544.00	0.25
770546.00	0.00
771061.00	0.25
771065.00	0.00
771467.00	0.25
771468.00	0.00
771572.00	0.25
771573.00	0.00
772222.00	0.25
772223.00	0.00
772603.00	0.25
772605.00	0.00
772841.00	0.25
772844.00	0.00
772864.00	0.25
772866.00	0.00
773003.00	0.25
773062.00	0.00
773083.00	0.25
773084.00	0.00
773103.00	0.25
773106.00	0.00
773252.00	0.25
773254.00	0.00
773420.00	0.25
773423.00	0.00
773640.00	0.25
773643.00	0.00
775365.00	0.25
775367.00	0.00
776579.00	0.25
776581.00	0.00
776608.00	0.25
776610.00	0.00
777550.00	0.25
777552.00	0.00
778027.00	0.25
778029.00	0.00
778525.00	0.25
778527.00	0.00
778579.00	0.25
778580.00	0.00
779208.00	0.25
779209.00	0.00
779513.00	0.25
779514.00	0.00
779813.00	0.25
779816.00	0.00
779832.00	0.25
779846.00	0.00
779983.00	0.25
780035.00	0.00
780062.00	0.25
780064.00	0.00
780105.00	0.25
780108.00	0.00
780211.00	0.25
780219.00	0.00
780321.00	0.25
780323.00	0.00
780539.00	0.25
780542.00	0.00
782277.00	0.25
782281.00	0.00
783420.00	0.25
783422.00	0.00
783448.00	0.25
783450.00	0.00
784482.00	0.25
784486.00	0.00
784978.00	0.25
784981.00	0.00
785406.00	0.25
785407.00	0.00
785453.00	0.25
785454.00	0.00
786093.00	0.25
786094.00	0.00
786460.00	0.25
786461.00	0.00
786689.00	0.25
786700.00	0.00
786716.00	0.25
786720.00	0.00
786840.00	0.25
786886.00	0.00
786903.00	0.25
786905.00	0.00
786932.00	0.25
786934.00	0.00
787004.00	0.25
787005.00	0.00
787143.00	0.25
787145.00	0.00
787380.00	0.25
787383.00	0.00
792619.00	0.25
792621.00	0.00
793664.00	0.25
793666.00	0.00
793702.00	0.25
793704.00	0.00
794806.00	0.25
794808.00	0.00
795349.00	0.25
795352.00	0.00
795763.00	0.25
795765.00	0.00
795805.00	0.25
795806.00	0.00
796833.00	0.25
796834.00	0.00
797151.00	0.25
797152.00	0.00
797426.00	0.25
797434.00	0.00
797483.00	0.25
797485.00	0.00
797651.00	0.25
797684.00	0.00
797700.00	0.25
797702.00	0.00
797733.00	0.25
797735.00	0.00
797888.00	0.25
797891.00	0.00
798053.00	0.25
798055.00	0.00
798252.00	0.25
798260.00	0.00
799888.00	0.25
799890.00	0.00
800942.00	0.25
800950.00	0.00
800971.00	0.25
800972.00	0.00
802044.00	0.25
802054.00	0.00
802604.00	0.25
802607.00	0.00
803055.00	0.25
803056.00	0.00
803134.00	0.25
803135.00	0.00
803432.00	0.25
803434.00	0.00
803871.00	0.25
803872.00	0.00
804193.00	0.25
804194.00	0.00
804383.00	0.25
804386.00	0.00
804458.00	0.25
804460.00	0.00
804604.00	0.25
804641.00	0.00
804659.00	0.25
804664.00	0.00
804741.00	0.25
804744.00	0.00
804803.00	0.25
804811.00	0.00
804947.00	0.25
804950.00	0.00
805110.00	0.25
805120.00	0.00
807332.00	0.25
807334.00	0.00
808499.00	0.25
808501.00	0.00
808523.00	0.25
808529.00	0.00
809489.00	0.25
809492.00	0.00
809950.00	0.25
809953.00	0.00
810369.00	0.25
810370.00	0.00
810472.00	0.25
810473.00	0.00
810691.00	0.25
810693.00	0.00
811425.00	0.25
811426.00	0.00
811617.00	0.25
811620.00	0.00
811681.00	0.25
811684.00	0.00
811769.00	0.25
811770.00	0.00
811788.00	0.25
811820.00	0.00
811851.00	0.25
811854.00	0.00
811882.00	0.25
811885.00	0.00
811961.00	0.25
811963.00	0.00
812206.00	0.25
812209.00	0.00
812489.00	0.25
812490.00	0.00
814277.00	0.25
814284.00	0.00
815521.00	0.25
815522.00	0.00
815553.00	0.25
815555.00	0.00
816631.00	0.25
816633.00	0.00
817083.00	0.25
817089.00	0.00
817522.00	0.25
817523.00	0.00
817564.00	0.25
817565.00	0.00
818545.00	0.25
818547.00	0.00
818560.00	0.25
818561.00	0.00
818585.00	0.25
818587.00	0.00
818640.00	0.25
818643.00	0.00
818658.00	0.25
818659.00	0.00
818935.00	0.25
818938.00	0.00
818965.00	0.25
818967.00	0.00
819001.00	0.25
819003.00	0.00
819020.00	0.25
819022.00	0.00
819052.00	0.25
819055.00	0.00
819067.00	0.25
819075.00	0.00
819094.00	0.25
819097.00	0.00
819116.00	0.25
819118.00	0.00
819141.00	0.25
819142.00	0.00
819153.00	0.25
819154.00	0.00
819161.00	0.25
819184.00	0.50
819186.00	0.25
819193.00	0.00
819200.00	0.25
819201.00	0.00
819205.00	0.25
819207.00	0.00
819221.00	0.25
819223.00	0.00
819235.00	0.25
819243.00	0.00
819248.00	0.25
819256.00	0.00
819263.00	0.25
819265.00	0.00
819295.00	0.25
819296.00	0.00
819360.00	0.25
819362.00	0.00
819429.00	0.25
819430.00	0.00
819455.00	0.25
819456.00	0.00
819477.00	0.25
819479.00	0.00
819495.00	0.25
819501.00	0.00
819527.00	0.25
819528.00	0.00
819616.00	0.25
819618.00	0.00
819714.00	0.25
819720.00	0.00
819888.00	0.25
819890.00	0.00
825371.00	0.25
825373.00	0.00
826389.00	0.25
826399.00	0.00
826422.00	0.25
826425.00	0.00
827648.00	0.25
827650.00	0.00
827946.00	0.25
827949.00	0.00
828399.00	0.25
828400.00	0.00
828474.00	0.25
828475.00	0.00
828734.00	0.25
828736.00	0.00
829507.00	0.00
829849.00	0.25
829850.00	0.00
830077.00	0.25
830079.00	0.00
830149.00	0.25
830152.00	0.00
830268.00	0.25
830310.00	0.00
830329.00	0.25
830332.00	0.00
830369.00	0.25
830371.00	0.00
830438.00	0.25
830440.00	0.00
830598.00	0.25
830599.00	0.00
830795.00	0.25
830802.00	0.00
832617.00	0.25
832620.00	0.00
833820.00	0.25
833822.00	0.00
833847.00	0.25
833849.00	0.00
834938.00	0.25
834942.00	0.00
835427.00	0.25
835437.00	0.00
835839.00	0.25
835840.00	0.00
835910.00	0.25
835912.00	0.00
836604.00	0.25
836605.00	0.00
836903.00	0.25
836904.00	0.00
837225.00	0.25
837228.00	0.00
837307.00	0.25
837308.00	0.00
837388.00	0.25
837389.00	0.00
837413.00	0.25
837445.00	0.00
837460.00	0.25
837467.00	0.00
837493.00	0.25
837495.00	0.00
837566.00	0.25
837568.00	0.00
837722.00	0.25
837723.00	0.00
837921.00	0.25
837923.00	0.00
839750.00	0.25
839752.00	0.00
840824.00	0.25
840826.00	0.00
840853.00	0.25
840855.00	0.00
841912.00	0.25
841919.00	0.00
842387.00	0.25
842390.00	0.00
842778.00	0.25
842779.00	0.00
842853.00	0.00
843107.00	0.25
843108.00	0.00
843502.00	0.25
843503.00	0.00
843825.00	0.25
843826.00	0.00
844040.00	0.25
844042.00	0.00
844109.00	0.25
844111.00	0.00
844222.00	0.00
844235.00	0.25
844273.00	0.00
844288.00	0.25
844292.00	0.00
844332.00	0.25
844334.00	0.00
844412.00	0.25
844414.00	0.00
844545.00	0.25
844547.00	0.00
844755.00	0.25
844757.00	0.00
846571.00	0.25
846573.00	0.00
847577.00	0.25
847579.00	0.00
847766.00	0.25
847767.00	0.00
848776.00	0.25
848779.00	0.00
849260.00	0.25
849273.00	0.00
849635.00	0.25
849636.00	0.00
