time	count
0.00	0.00
512547.00	1.00
512608.00	0.00
512880.00	1.00
515572.00	0.00
515584.00	1.00
515664.00	0.00
515694.00	1.00
515696.00	0.00
515698.00	1.00
515700.00	0.00
515702.00	1.00
515749.00	0.00
515873.00	1.00
516046.00	0.00
516068.00	1.00
516266.00	0.00
516289.00	1.00
516536.00	0.00
516554.00	1.00
516558.00	0.00
516572.00	1.00
516637.00	0.00
516641.00	1.00
516644.00	0.00
516649.00	1.00
516651.00	0.00
516794.00	1.00
516843.00	0.00
516859.00	1.00
516936.00	0.00
516940.00	1.00
516943.00	0.00
517076.00	1.00
517120.00	0.00
517138.00	1.00
517191.00	0.00
517195.00	1.00
517198.00	0.00
517361.00	1.00
517903.00	0.00
517926.00	1.00
518121.00	0.00
518127.00	1.00
518131.00	0.00
518136.00	1.00
518138.00	0.00
518142.00	1.00
518143.00	0.00
518147.00	1.00
518150.00	0.00
518154.00	1.00
518156.00	0.00
518164.00	1.00
518209.00	0.00
518230.00	1.00
518330.00	0.00
518363.00	1.00
518386.00	0.00
518401.00	1.00
518416.00	0.00
518423.00	1.00
518441.00	0.00
518461.00	1.00
519065.00	0.00
519086.00	1.00
519166.00	0.00
519172.00	1.00
519233.00	0.00
519237.00	1.00
519280.00	0.00
519287.00	1.00
519301.00	0.00
519305.00	1.00
519309.00	0.00
519314.00	1.00
519316.00	0.00
519320.00	1.00
519322.00	0.00
519325.00	1.00
519326.00	0.00
519328.00	1.00
519330.00	0.00
519373.00	1.00
519384.00	0.00
519410.00	1.00
519433.00	0.00
519438.00	1.00
519479.00	0.00
519499.00	1.00
519504.00	0.00
519522.00	1.00
519850.00	0.00
519866.00	1.00
519867.00	0.00
519890.00	1.00
519931.00	0.00
519936.00	1.00
519939.00	0.00
519944.00	1.00
519945.00	0.00
519948.00	1.00
519949.00	0.00
519953.00	1.00
519954.00	0.00
519958.00	1.00
519959.00	0.00
519964.00	1.00
519967.00	0.00
520020.00	1.00
520295.00	0.00
520311.00	1.00
520361.00	0.00
520366.00	1.00
520368.00	0.00
520374.00	1.00
520375.00	0.00
520379.00	1.00
520382.00	0.00
520438.00	1.00
520727.00	0.00
520743.00	1.00
520778.00	0.00
520783.00	1.00
520787.00	0.00
520792.00	1.00
520794.00	0.00
520797.00	1.00
520798.00	0.00
520802.00	1.00
520804.00	0.00
520875.00	1.00
521026.00	0.00
521043.00	1.00
521091.00	0.00
521123.00	1.00
521263.00	0.00
521268.00	1.00
521270.00	0.00
521277.00	1.00
521280.00	0.00
521397.00	1.00
521410.00	0.00
521425.00	1.00
521449.00	0.00
521454.00	1.00
521456.00	0.00
521551.00	1.00
521575.00	0.00
521590.00	1.00
521611.00	0.00
521615.00	1.00
521616.00	0.00
521717.00	1.00
521724.00	0.00
521738.00	1.00
521759.00	0.00
521763.00	1.00
521765.00	0.00
521879.00	1.00
521894.00	0.00
521912.00	1.00
522988.00	0.00
522993.00	1.00
522995.00	0.00
523094.00	1.00
523157.00	0.00
523196.00	1.00
523434.00	0.00
523450.00	1.00
523588.00	0.00
523593.00	1.00
523596.00	0.00
523601.00	1.00
523602.00	0.00
523727.00	1.00
523768.00	0.00
523785.00	1.00
524303.00	0.00
524318.00	1.00
524332.00	0.00
524349.00	1.00
524889.00	0.00
524895.00	1.00
524898.00	0.00
524903.00	1.00
524905.00	0.00
525084.00	1.00
525092.00	0.00
525124.00	1.00
525128.00	0.00
525147.00	1.00
525154.00	0.00
525169.00	1.00
525518.00	0.00
525546.00	1.00
525708.00	0.00
525724.00	1.00
525726.00	0.00
525728.00	1.00
525729.00	0.00
525731.00	0.00
525733.00	1.00
525734.00	0.00
763640.00	1.00
763644.00	0.00
763996.00	1.00
764024.00	0.00
764048.00	1.00
764092.00	0.00
764107.00	1.00
764149.00	0.00
764169.00	1.00
764193.00	0.00
764207.00	1.00
764520.00	0.00
764543.00	1.00
764581.00	0.00
764599.00	1.00
764613.00	0.00
764630.00	1.00
764657.00	0.00
764673.00	1.00
764676.00	0.00
764691.00	1.00
764699.00	0.00
764716.00	1.00
764758.00	0.00
764770.00	1.00
764773.00	0.00
764776.00	1.00
764777.00	0.00
764780.00	1.00
764781.00	0.00
764783.00	1.00
764784.00	0.00
764787.00	1.00
764788.00	0.00
764790.00	1.00
764791.00	0.00
764794.00	1.00
764795.00	0.00
764797.00	0.00
764918.00	1.00
764932.00	0.00
764952.00	1.00
764954.00	0.00
765047.00	1.00
765054.00	0.00
765070.00	1.00
765072.00	0.00
765097.00	1.00
765116.00	0.00
765127.00	1.00
765147.00	0.00
765170.00	1.00
765172.00	0.00
765176.00	1.00
765178.00	0.00
765281.00	1.00
765306.00	0.00
765321.00	1.00
765323.00	0.00
765472.00	1.00
765484.00	0.00
765504.00	1.00
765511.00	0.00
765529.00	1.00
765542.00	0.00
765559.00	1.00
765562.00	0.00
765565.00	1.00
765567.00	0.00
765571.00	1.00
765572.00	0.00
765995.00	1.00
766013.00	0.00
766032.00	1.00
766035.00	0.00
766059.00	1.00
766112.00	0.00
766129.00	1.00
766132.00	0.00
766485.00	1.00
766543.00	0.00
766567.00	1.00
766571.00	0.00
766718.00	1.00
766759.00	0.00
766784.00	1.00
766787.00	0.00
766824.00	1.00
766829.00	0.00
766852.00	1.00
766859.00	0.00
766873.00	1.00
766883.00	0.00
766902.00	1.00
766906.00	0.00
766925.00	1.00
766934.00	0.00
766951.00	1.00
766954.00	0.00
766973.00	1.00
766980.00	0.00
766994.00	1.00
766996.00	0.00
766999.00	1.00
767002.00	0.00
767004.00	1.00
767006.00	0.00
767009.00	1.00
767010.00	0.00
767012.00	1.00
767014.00	0.00
767016.00	1.00
767017.00	0.00
767021.00	1.00
767022.00	0.00
767463.00	1.00
767498.00	0.00
767517.00	1.00
767555.00	0.00
767570.00	1.00
767573.00	0.00
767576.00	1.00
767579.00	0.00
767626.00	1.00
767631.00	0.00
767659.00	1.00
767671.00	0.00
767690.00	1.00
767694.00	0.00
767714.00	1.00
767726.00	0.00
767742.00	1.00
767746.00	0.00
767759.00	1.00
767766.00	0.00
767778.00	1.00
767780.00	0.00
767781.00	1.00
767782.00	0.00
767783.00	1.00
767785.00	0.00
767787.00	1.00
767789.00	0.00
767791.00	1.00
767792.00	0.00
767795.00	1.00
767796.00	0.00
767817.00	1.00
767842.00	0.00
767853.00	1.00
767877.00	0.00
767910.00	1.00
767916.00	0.00
767920.00	1.00
767936.00	0.00
768078.00	1.00
768227.00	0.00
768250.00	1.00
768256.00	0.00
768270.00	1.00
768291.00	0.00
768298.00	1.00
768301.00	0.00
768305.00	1.00
768306.00	0.00
768468.00	1.00
768857.00	0.00
768873.00	1.00
768926.00	0.00
768931.00	1.00
768933.00	0.00
768937.00	1.00
768938.00	0.00
768941.00	1.00
768942.00	0.00
768945.00	1.00
768946.00	0.00
768949.00	1.00
768950.00	0.00
769017.00	1.00
769238.00	0.00
769252.00	1.00
769294.00	0.00
769300.00	1.00
769303.00	0.00
769328.00	1.00
769330.00	0.00
769361.00	1.00
769363.00	0.00
769370.00	1.00
769371.00	0.00
769378.00	1.00
769399.00	0.00
769402.00	1.00
769404.00	0.00
769408.00	1.00
769409.00	0.00
769411.00	1.00
769412.00	0.00
769520.00	1.00
769529.00	0.00
769545.00	1.00
769561.00	0.00
769565.00	1.00
769568.00	0.00
769724.00	1.00
769929.00	0.00
769950.00	1.00
769982.00	0.00
769987.00	1.00
769989.00	0.00
769994.00	1.00
769995.00	0.00
770074.00	1.00
770285.00	0.00
770303.00	1.00
770331.00	0.00
770335.00	1.00
770367.00	0.00
770373.00	1.00
770374.00	0.00
770438.00	1.00
770631.00	0.00
770648.00	1.00
770684.00	0.00
770688.00	1.00
770691.00	0.00
770695.00	1.00
770696.00	0.00
770700.00	1.00
770702.00	0.00
770755.00	1.00
770943.00	0.00
770961.00	1.00
771007.00	0.00
771034.00	1.00
771066.00	0.00
771070.00	1.00
771073.00	0.00
771078.00	1.00
