level	start	end	color	opacity	title	initiation	in	out	children	parents	prof_uid
3	510315	510346	#000000	1.0	Intersection						85505
3	511349	511350	#000000	1.0	Intersection						10129
3	524449	524467	#000000	1.0	Intersection						165741
3	763930	763932	#000000	1.0	Intersection						93226
3	766278	766280	#000000	1.0	Intersection						85506
3	772196	772197	#000000	1.0	Intersection						107026
3	773103	773105	#000000	1.0	Intersection						1644
3	774146	774148	#000000	1.0	Intersection						85507
3	779154	779155	#000000	1.0	Intersection						165742
3	780095	780097	#000000	1.0	Intersection						93227
3	781119	781121	#000000	1.0	Intersection						1645
3	786038	786040	#000000	1.0	Intersection						165743
3	786971	786972	#000000	1.0	Intersection						85508
3	787899	787900	#000000	1.0	Intersection						10130
3	789448	789450	#000000	1.0	Intersection						93228
3	790285	790287	#000000	1.0	Intersection						93229
3	791161	791163	#000000	1.0	Intersection						10131
3	791978	791980	#000000	1.0	Intersection						93230
3	796782	796784	#000000	1.0	Intersection						163625
3	797721	797723	#000000	1.0	Intersection						93231
3	798763	798764	#000000	1.0	Intersection						85509
3	803803	803804	#000000	1.0	Intersection						107027
3	804663	804664	#000000	1.0	Intersection						10132
3	805886	805888	#000000	1.0	Intersection						1646
3	811923	811925	#000000	1.0	Intersection						85510
3	813151	813152	#000000	1.0	Intersection						85511
3	819285	819286	#000000	1.0	Intersection						93232
3	820629	820631	#000000	1.0	Intersection						10133
3	822185	822187	#000000	1.0	Intersection						93233
3	823038	823040	#000000	1.0	Intersection						93234
3	823924	823925	#000000	1.0	Intersection						93235
3	824761	824762	#000000	1.0	Intersection						93236
3	829480	829482	#000000	1.0	Intersection						163626
3	830466	830467	#000000	1.0	Intersection						10134
3	831467	831469	#000000	1.0	Intersection						10135
3	836550	836552	#000000	1.0	Intersection						163627
3	837593	837594	#000000	1.0	Intersection						1647
3	838609	838611	#000000	1.0	Intersection						10136
3	843477	843478	#000000	1.0	Intersection						165744
3	844425	844426	#000000	1.0	Intersection						10137
3	845515	845516	#000000	1.0	Intersection						10138
3	851235	851237	#000000	1.0	Intersection						10139
3	852263	852264	#000000	1.0	Intersection						10140
