level	start	end	color	opacity	title	initiation	in	out	children	parents	prof_uid
3	766027	766044	#ff002c	1.0	Copy size=3000	62					93178
3	767074	767130	#ff002c	1.0	Copy size=3000	62					37318
3	774068	774072	#ff002c	1.0	Copy size=3000	76					85435
3	774597	774600	#ff002c	1.0	Copy size=3000	76					85437
3	781012	781049	#ff002c	1.0	Copy size=3000	90					37319
3	781541	781565	#ff002c	1.0	Copy size=3000	90					9728
3	787826	787829	#ff002c	1.0	Copy size=3000	104					9729
3	788308	788310	#ff002c	1.0	Copy size=3000	104					85438
3	798691	798696	#ff002c	1.0	Copy size=3000	174					37320
3	799183	799185	#ff002c	1.0	Copy size=3000	174					1557
3	805676	805718	#ff002c	1.0	Copy size=3000	188					85440
3	806287	806290	#ff002c	1.0	Copy size=3000	188					85442
3	813039	813044	#ff002c	1.0	Copy size=3000	202					85443
3	813579	813582	#ff002c	1.0	Copy size=3000	202					85444
3	820509	820514	#ff002c	1.0	Copy size=3000	216					85445
3	821046	821049	#ff002c	1.0	Copy size=3000	216					85447
3	831315	831369	#ff002c	1.0	Copy size=3000	286					9732
3	831894	831897	#ff002c	1.0	Copy size=3000	286					9733
3	838496	838505	#ff002c	1.0	Copy size=3000	300					9734
3	839035	839038	#ff002c	1.0	Copy size=3000	300					9735
3	845370	845380	#ff002c	1.0	Copy size=3000	314					37321
3	845858	845861	#ff002c	1.0	Copy size=3000	314					85451
3	852155	852186	#ff002c	1.0	Copy size=3000	328					9736
3	852621	852636	#ff002c	1.0	Copy size=3000	328					93179
3	863419	863421	#ff002c	1.0	Copy size=3000	398					9737
3	864012	864014	#ff002c	1.0	Copy size=3000	398					9739
3	870776	870780	#ff002c	1.0	Copy size=3000	412					37322
3	871317	871334	#ff002c	1.0	Copy size=3000	412					9740
3	877997	878001	#ff002c	1.0	Copy size=3000	426					37323
3	878515	878517	#ff002c	1.0	Copy size=3000	426					9741
3	885056	885061	#ff002c	1.0	Copy size=3000	440					9742
3	885523	885525	#ff002c	1.0	Copy size=3000	440					9743
3	896762	896765	#ff002c	1.0	Copy size=3000	510					9744
3	897071	897088	#ff002c	1.0	Copy size=3000	510					93180
3	903950	903953	#ff002c	1.0	Copy size=3000	524					9746
3	904534	904537	#ff002c	1.0	Copy size=3000	524					37324
3	911195	911198	#ff002c	1.0	Copy size=3000	538					37325
3	911807	911809	#ff002c	1.0	Copy size=3000	538					85456
3	918362	918364	#ff002c	1.0	Copy size=3000	552					9748
3	918921	918923	#ff002c	1.0	Copy size=3000	552					9750
3	929580	929583	#ff002c	1.0	Copy size=3000	622					9751
3	930127	930129	#ff002c	1.0	Copy size=3000	622					9752
3	937055	937058	#ff002c	1.0	Copy size=3000	636					9753
3	937594	937596	#ff002c	1.0	Copy size=3000	636					9754
3	943981	943984	#ff002c	1.0	Copy size=3000	650					9755
3	944541	944543	#ff002c	1.0	Copy size=3000	650					9756
3	951523	951525	#ff002c	1.0	Copy size=3000	664					9757
3	952092	952094	#ff002c	1.0	Copy size=3000	664					9759
3	962657	962660	#ff002c	1.0	Copy size=3000	734					9760
3	963144	963146	#ff002c	1.0	Copy size=3000	734					9761
3	969525	969527	#ff002c	1.0	Copy size=3000	748					37326
3	970116	970132	#ff002c	1.0	Copy size=3000	748					9762
3	976498	976519	#ff002c	1.0	Copy size=3000	762					9763
3	977014	977031	#ff002c	1.0	Copy size=3000	762					1560
3	983131	983133	#ff002c	1.0	Copy size=3000	776					37327
3	983766	983769	#ff002c	1.0	Copy size=3000	776					1561
3	993641	993644	#ff002c	1.0	Copy size=3000	846					9766
3	994166	994182	#ff002c	1.0	Copy size=3000	846					9767
3	999209	999212	#ff002c	1.0	Copy size=3000	860					9768
3	999669	999671	#ff002c	1.0	Copy size=3000	860					9770
3	1005885	1005900	#ff002c	1.0	Copy size=3000	874					9771
3	1006412	1006429	#ff002c	1.0	Copy size=3000	874					1562
3	1011873	1011875	#ff002c	1.0	Copy size=3000	888					9773
3	1012331	1012363	#ff002c	1.0	Copy size=3000	888					9775
3	1021626	1021628	#ff002c	1.0	Copy size=3000	958					9776
3	1022076	1022092	#ff002c	1.0	Copy size=3000	958					85463
3	1027190	1027192	#ff002c	1.0	Copy size=3000	972					9778
3	1027651	1027653	#ff002c	1.0	Copy size=3000	972					9780
3	1031881	1031883	#ff002c	1.0	Copy size=3000	986					9781
3	1032271	1032273	#ff002c	1.0	Copy size=3000	986					93181
3	1038080	1038082	#ff002c	1.0	Copy size=3000	1000					93182
3	1038527	1038529	#ff002c	1.0	Copy size=3000	1000					9783
3	1047384	1047400	#ff002c	1.0	Copy size=3000	1070					37328
3	1047835	1047849	#ff002c	1.0	Copy size=3000	1070					9785
3	1053991	1054007	#ff002c	1.0	Copy size=3000	1084					9786
3	1054552	1054567	#ff002c	1.0	Copy size=3000	1084					9788
3	1059743	1059760	#ff002c	1.0	Copy size=3000	1098					9789
3	1060249	1060267	#ff002c	1.0	Copy size=3000	1098					9791
3	1066581	1066596	#ff002c	1.0	Copy size=3000	1112					37329
3	1067044	1067047	#ff002c	1.0	Copy size=3000	1112					1564
3	1076361	1076699	#ff002c	1.0	Copy size=3000	1182					9793
3	1077018	1077032	#ff002c	1.0	Copy size=3000	1182					37330
3	1081855	1081869	#ff002c	1.0	Copy size=3000	1196					37331
3	1082260	1082262	#ff002c	1.0	Copy size=3000	1196					85464
3	1086849	1086852	#ff002c	1.0	Copy size=3000	1210					93184
3	1087369	1087371	#ff002c	1.0	Copy size=3000	1210					93185
3	1091873	1091888	#ff002c	1.0	Copy size=3000	1224					93186
3	1092351	1092353	#ff002c	1.0	Copy size=3000	1224					9797
3	1100553	1100570	#ff002c	1.0	Copy size=3000	1294					9798
3	1101022	1101024	#ff002c	1.0	Copy size=3000	1294					9800
3	1105302	1105316	#ff002c	1.0	Copy size=3000	1308					9801
3	1105755	1105757	#ff002c	1.0	Copy size=3000	1308					9803
3	1110475	1110489	#ff002c	1.0	Copy size=3000	1322					9804
3	1110947	1110950	#ff002c	1.0	Copy size=3000	1322					9806
3	1115791	1115824	#ff002c	1.0	Copy size=3000	1336					93187
3	1116262	1116276	#ff002c	1.0	Copy size=3000	1336					37332
3	1125127	1125143	#ff002c	1.0	Copy size=3000	1406					37333
3	1125584	1125586	#ff002c	1.0	Copy size=3000	1406					85465
3	1129967	1129983	#ff002c	1.0	Copy size=3000	1420					93188
3	1130414	1130416	#ff002c	1.0	Copy size=3000	1420					93189
3	1134823	1134838	#ff002c	1.0	Copy size=3000	1434					37334
3	1135298	1135311	#ff002c	1.0	Copy size=3000	1434					85466
3	1139557	1139575	#ff002c	1.0	Copy size=3000	1448					37335
3	1140031	1140033	#ff002c	1.0	Copy size=3000	1448					9812
3	1149158	1149173	#ff002c	1.0	Copy size=3000	1518					37336
3	1149646	1149649	#ff002c	1.0	Copy size=3000	1518					9814
3	1153995	1154009	#ff002c	1.0	Copy size=3000	1532					93190
3	1154460	1154461	#ff002c	1.0	Copy size=3000	1532					1567
3	1158637	1158654	#ff002c	1.0	Copy size=3000	1546					9816
3	1159108	1159110	#ff002c	1.0	Copy size=3000	1546					85467
3	1163490	1163493	#ff002c	1.0	Copy size=3000	1560					93191
3	1164024	1164038	#ff002c	1.0	Copy size=3000	1560					9819
3	1173129	1173144	#ff002c	1.0	Copy size=3000	1630					93192
3	1173603	1173605	#ff002c	1.0	Copy size=3000	1630					9821
3	1178436	1178452	#ff002c	1.0	Copy size=3000	1644					93193
3	1178870	1178872	#ff002c	1.0	Copy size=3000	1644					9823
3	1183213	1183227	#ff002c	1.0	Copy size=3000	1658					9824
