time	count
0.00	0.00
22010.00	0.12
22119.00	0.00
22724.00	0.12
22805.00	0.00
22870.00	0.12
22871.00	0.00
23167.00	0.12
23337.00	0.00
23857.00	0.12
23877.00	0.00
23880.00	0.12
23887.00	0.00
23904.00	0.12
23906.00	0.00
23947.00	0.12
23952.00	0.00
24078.00	0.12
24081.00	0.00
24094.00	0.12
24139.00	0.00
24161.00	0.12
24167.00	0.00
24224.00	0.12
24226.00	0.00
24303.00	0.12
24378.00	0.00
24457.00	0.12
24459.00	0.00
24512.00	0.12
24515.00	0.00
24541.00	0.12
24564.00	0.25
24566.00	0.12
24567.00	0.00
24601.00	0.12
24603.00	0.00
24624.00	0.12
24633.00	0.00
24665.00	0.12
24680.00	0.25
24684.00	0.12
24685.00	0.00
24705.00	0.12
24708.00	0.00
24720.00	0.12
24723.00	0.00
24736.00	0.12
24760.00	0.25
24764.00	0.12
25351.00	0.00
428673.00	0.12
428676.00	0.00
428757.00	0.12
428762.00	0.00
428763.00	0.12
428766.00	0.00
429405.00	0.12
429411.00	0.00
430220.00	0.12
430596.00	0.25
430599.00	0.12
430628.00	0.25
430630.00	0.12
430680.00	0.25
430683.00	0.12
430718.00	0.25
430721.00	0.12
430738.00	0.25
430751.00	0.12
448153.00	0.00
457282.00	0.12
457287.00	0.25
457288.00	0.38
457290.00	0.25
457291.00	0.12
457297.00	0.00
457301.00	0.12
457303.00	0.38
457304.00	0.25
457307.00	0.12
457309.00	0.00
457310.00	0.12
457311.00	0.12
457312.00	0.00
457317.00	0.12
457319.00	0.00
457372.00	0.12
457386.00	0.00
457390.00	0.12
457393.00	0.00
457411.00	0.12
457413.00	0.00
457424.00	0.12
457425.00	0.00
457450.00	0.12
457452.00	0.00
457456.00	0.12
457463.00	0.00
457475.00	0.12
457477.00	0.00
457489.00	0.12
457490.00	0.00
457519.00	0.12
457522.00	0.00
457563.00	0.12
457565.00	0.00
457583.00	0.12
457585.00	0.00
457605.00	0.12
457607.00	0.00
457618.00	0.12
457625.00	0.00
457635.00	0.12
457637.00	0.00
457646.00	0.12
457647.00	0.00
457660.00	0.12
457661.00	0.00
457673.00	0.12
457674.00	0.00
457683.00	0.12
457684.00	0.00
457695.00	0.12
457696.00	0.00
457706.00	0.12
457710.00	0.00
457725.00	0.12
457727.00	0.00
457773.00	0.12
457775.00	0.00
457797.00	0.12
457799.00	0.00
457818.00	0.12
457825.00	0.00
457839.00	0.12
457842.00	0.00
457849.00	0.12
457850.00	0.00
457870.00	0.12
457871.00	0.00
457882.00	0.12
457883.00	0.00
457894.00	0.12
457899.00	0.00
457909.00	0.00
457923.00	0.12
457924.00	0.00
457939.00	0.12
457940.00	0.00
457950.00	0.12
457951.00	0.00
457961.00	0.12
457962.00	0.00
457973.00	0.12
457974.00	0.00
457986.00	0.12
457990.00	0.00
458001.00	0.12
458002.00	0.00
458024.00	0.12
458025.00	0.00
458040.00	0.12
458041.00	0.00
458053.00	0.00
458069.00	0.12
458074.00	0.00
458079.00	0.12
458080.00	0.00
458091.00	0.12
458092.00	0.00
458103.00	0.12
458104.00	0.00
458115.00	0.12
458116.00	0.00
458128.00	0.12
458135.00	0.00
458144.00	0.12
458145.00	0.00
458154.00	0.12
458155.00	0.00
458164.00	0.12
458165.00	0.00
458176.00	0.12
458177.00	0.00
458188.00	0.12
458189.00	0.00
458199.00	0.12
458200.00	0.00
458212.00	0.12
458215.00	0.00
458227.00	0.12
458228.00	0.00
458244.00	0.12
458245.00	0.00
458255.00	0.12
458256.00	0.00
458267.00	0.12
458268.00	0.00
458279.00	0.12
458280.00	0.00
458290.00	0.12
458291.00	0.00
458304.00	0.12
458307.00	0.00
458317.00	0.12
458318.00	0.00
458334.00	0.12
458349.00	0.00
458353.00	0.12
458354.00	0.00
458368.00	0.12
458369.00	0.00
458380.00	0.12
458381.00	0.00
458392.00	0.00
458403.00	0.12
458404.00	0.00
458417.00	0.12
458421.00	0.00
458430.00	0.12
458431.00	0.00
458442.00	0.00
458455.00	0.00
458467.00	0.12
458468.00	0.00
458481.00	0.00
458491.00	0.12
458492.00	0.00
458502.00	0.12
458506.00	0.00
458518.00	0.12
458519.00	0.00
458529.00	0.12
458538.00	0.00
458540.00	0.12
458541.00	0.00
458552.00	0.12
458553.00	0.00
458564.00	0.00
458576.00	0.12
458577.00	0.00
458587.00	0.12
458590.00	0.00
458601.00	0.12
458606.00	0.00
458611.00	0.12
458612.00	0.00
458624.00	0.12
458625.00	0.00
458635.00	0.12
458636.00	0.00
458647.00	0.00
458658.00	0.12
458662.00	0.00
458673.00	0.00
458698.00	0.12
458699.00	0.00
458712.00	0.12
458713.00	0.00
458734.00	0.12
458735.00	0.00
458746.00	0.12
458747.00	0.00
458750.00	0.12
458751.00	0.00
458760.00	0.12
458762.00	0.00
458771.00	0.12
458772.00	0.00
458782.00	0.12
458783.00	0.00
458794.00	0.00
458807.00	0.12
458808.00	0.00
458819.00	0.00
458830.00	0.12
458834.00	0.00
458847.00	0.12
458851.00	0.00
458868.00	0.12
458869.00	0.00
458880.00	0.12
458882.00	0.00
458893.00	0.00
458905.00	0.12
458906.00	0.00
458918.00	0.12
458922.00	0.00
458932.00	0.12
458933.00	0.00
458954.00	0.12
458956.00	0.00
458965.00	0.12
458966.00	0.00
458969.00	0.00
458982.00	0.00
458996.00	0.12
458997.00	0.00
459007.00	0.12
459008.00	0.00
459020.00	0.12
459021.00	0.00
459033.00	0.12
459034.00	0.00
459044.00	0.12
459045.00	0.00
459049.00	0.12
459053.00	0.00
459070.00	0.12
459071.00	0.00
459084.00	0.12
459086.00	0.00
459097.00	0.12
459101.00	0.00
459105.00	0.00
459127.00	0.00
459138.00	0.12
459140.00	0.00
459149.00	0.00
459162.00	0.00
459174.00	0.00
459186.00	0.00
459197.00	0.12
459201.00	0.00
459212.00	0.12
459213.00	0.00
459224.00	0.12
459225.00	0.00
459227.00	0.12
459228.00	0.00
459241.00	0.12
459242.00	0.00
459253.00	0.00
459258.00	0.12
459262.00	0.00
459272.00	0.12
459273.00	0.00
459284.00	0.12
459289.00	0.00
459300.00	0.12
459304.00	0.00
459316.00	0.12
459322.00	0.00
459325.00	0.12
459326.00	0.00
459336.00	0.12
459337.00	0.00
459352.00	0.12
459353.00	0.00
459364.00	0.12
459365.00	0.00
459376.00	0.00
459387.00	0.12
459391.00	0.00
459403.00	0.12
459404.00	0.00
459413.00	0.00
459431.00	0.12
459432.00	0.00
459450.00	0.12
459451.00	0.00
459468.00	0.12
459469.00	0.00
459479.00	0.12
459480.00	0.00
459492.00	0.12
459493.00	0.00
459502.00	0.00
459514.00	0.12
459515.00	0.00
459526.00	0.12
459527.00	0.00
459538.00	0.12
459541.00	0.00
459552.00	0.12
459553.00	0.00
459561.00	0.12
459566.00	0.00
459577.00	0.12
459578.00	0.00
459597.00	0.12
459598.00	0.00
459611.00	0.12
459612.00	0.00
459629.00	0.12
459630.00	0.00
459638.00	0.12
459640.00	0.00
459649.00	0.12
459651.00	0.00
459661.00	0.00
459672.00	0.12
459673.00	0.00
459684.00	0.12
459685.00	0.00
459696.00	0.12
459697.00	0.00
459708.00	0.12
459713.00	0.00
459723.00	0.00
459735.00	0.00
459738.00	0.00
459750.00	0.12
459751.00	0.00
459761.00	0.12
459762.00	0.00
459772.00	0.12
459773.00	0.00
459786.00	0.12
459790.00	0.00
459799.00	0.12
459800.00	0.00
459805.00	0.12
459806.00	0.00
459817.00	0.12
459818.00	0.00
459829.00	0.12
459830.00	0.00
459840.00	0.12
459841.00	0.00
459852.00	0.00
459864.00	0.12
459865.00	0.00
459875.00	0.12
459878.00	0.00
459889.00	0.12
459893.00	0.00
459916.00	0.12
459917.00	0.00
459927.00	0.12
459928.00	0.00
459933.00	0.12
459934.00	0.00
459949.00	0.12
459950.00	0.00
459962.00	0.12
459963.00	0.00
459979.00	0.12
459982.00	0.00
459989.00	0.00
460003.00	0.12
460004.00	0.00
460016.00	0.12
460017.00	0.00
460028.00	0.00
460039.00	0.12
460043.00	0.00
460054.00	0.12
460055.00	0.00
460063.00	0.12
460069.00	0.00
460076.00	0.12
460077.00	0.00
460088.00	0.12
460089.00	0.00
460101.00	0.00
460113.00	0.12
460114.00	0.00
460126.00	0.12
460128.00	0.00
460147.00	0.12
460148.00	0.00
460163.00	0.12
460164.00	0.00
460184.00	0.00
460201.00	0.12
460205.00	0.00
460213.00	0.12
460214.00	0.00
460226.00	0.12
460227.00	0.00
460239.00	0.12
460244.00	0.00
460247.00	0.12
460248.00	0.00
460269.00	0.12
460273.00	0.00
460284.00	0.12
460285.00	0.00
460304.00	0.12
460305.00	0.00
460319.00	0.12
460320.00	0.00
460335.00	0.12
460336.00	0.00
460356.00	0.12
460357.00	0.00
460368.00	0.12
460373.00	0.00
460398.00	0.12
460399.00	0.00
460412.00	0.12
460413.00	0.00
460423.00	0.12
460424.00	0.00
460436.00	0.12
460437.00	0.00
460446.00	0.12
460447.00	0.00
460458.00	0.00
460470.00	0.00
460481.00	0.12
460485.00	0.00
460496.00	0.00
460505.00	0.12
460506.00	0.00
460524.00	0.12
460525.00	0.00
460536.00	0.12
460541.00	0.00
460550.00	0.12
460551.00	0.00
460565.00	0.12
460566.00	0.00
460577.00	0.12
460578.00	0.00
460589.00	0.12
460590.00	0.00
460601.00	0.12
460605.00	0.00
460616.00	0.12
460617.00	0.00
460629.00	0.12
460630.00	0.00
460648.00	0.00
460662.00	0.12
460663.00	0.00
460672.00	0.12
460673.00	0.00
460686.00	0.12
460687.00	0.00
460698.00	0.12
460704.00	0.00
460706.00	0.12
460707.00	0.00
460722.00	0.12
460723.00	0.00
460735.00	0.12
460739.00	0.00
460750.00	0.12
460751.00	0.00
460765.00	0.12
460766.00	0.00
460775.00	0.12
460776.00	0.00
460789.00	0.12
460790.00	0.00
460815.00	0.12
460816.00	0.00
460831.00	0.12
460832.00	0.00
460851.00	0.12
460857.00	0.00
460864.00	0.12
460865.00	0.00
460880.00	0.12
