time	count
0.00	0.00
429278.00	0.00
522519.00	0.00
522783.00	0.00
765757.00	0.00
771438.00	0.00
771543.00	0.00
773920.00	0.00
778463.00	0.00
778538.00	0.00
780865.00	0.00
785351.00	0.00
785424.00	0.00
787665.00	0.00
795703.00	0.00
795779.00	0.00
798526.00	0.00
803028.00	0.00
803107.00	0.00
805512.00	0.00
810344.00	0.00
810417.00	0.00
812872.00	0.00
817464.00	0.00
817537.00	0.00
820333.00	0.00
828376.00	0.00
828451.00	0.00
831171.00	0.00
835782.00	0.00
835861.00	0.00
838337.00	0.00
842758.00	0.00
842830.00	0.00
845213.00	0.00
849614.00	0.00
849685.00	0.00
852037.00	0.00
860449.00	0.00
860534.00	0.00
863282.00	0.00
868015.00	0.00
868095.00	0.00
870645.00	0.00
875173.00	0.00
875260.00	0.00
877856.00	0.00
882363.00	0.00
882444.00	0.00
884918.00	0.00
893258.00	0.00
893345.00	0.00
896269.00	0.00
901262.00	0.00
901355.00	0.00
903815.00	0.00
908547.00	0.00
908626.00	0.00
911081.00	0.00
915711.00	0.00
915792.00	0.00
918179.00	0.00
926486.00	0.00
926570.00	0.00
929446.00	0.00
934156.00	0.00
934235.00	0.00
936920.00	0.00
941467.00	0.00
941547.00	0.00
943865.00	0.00
948446.00	0.00
948523.00	0.00
951399.00	0.00
959660.00	0.00
959743.00	0.00
962519.00	0.00
966814.00	0.00
966892.00	0.00
969387.00	0.00
973906.00	0.00
973987.00	0.00
976398.00	0.00
980626.00	0.00
980722.00	0.00
983017.00	0.00
991013.00	0.00
991090.00	0.00
993524.00	0.00
997317.00	0.00
997404.00	0.00
999090.00	0.00
1002291.00	0.00
1002385.00	0.00
1005720.00	0.00
1009844.00	0.00
1009936.00	0.00
1011739.00	0.00
1019236.00	0.00
1019313.00	0.00
1021493.00	0.00
1025304.00	0.00
1025390.00	0.00
1027086.00	0.00
1030203.00	0.00
1030277.00	0.00
1031764.00	0.00
1035899.00	0.00
1035974.00	0.00
1037966.00	0.00
1044938.00	0.00
1045012.00	0.00
1047265.00	0.00
1051651.00	0.00
1051724.00	0.00
1053882.00	0.00
1057829.00	0.00
1057906.00	0.00
1059644.00	0.00
1064063.00	0.00
1064144.00	0.00
1066455.00	0.00
1074101.00	0.00
1074176.00	0.00
1076239.00	0.00
1079765.00	0.00
1079841.00	0.00
1081730.00	0.00
1084888.00	0.00
1084964.00	0.00
1086771.00	0.00
1090115.00	0.00
1090192.00	0.00
1091762.00	0.00
1098634.00	0.00
1098710.00	0.00
1100446.00	0.00
1103509.00	0.00
1103591.00	0.00
1105180.00	0.00
1108244.00	0.00
1108320.00	0.00
1110350.00	0.00
1113860.00	0.00
1113938.00	0.00
1115686.00	0.00
1122729.00	0.00
1122806.00	0.00
1125006.00	0.00
1128046.00	0.00
1128140.00	0.00
1129856.00	0.00
1132914.00	0.00
1132991.00	0.00
1134700.00	0.00
1137759.00	0.00
1137840.00	0.00
1139455.00	0.00
1146777.00	0.00
1146858.00	0.00
1149030.00	0.00
1152198.00	0.00
1152289.00	0.00
1153878.00	0.00
1156949.00	0.00
1157036.00	0.00
1158540.00	0.00
1161621.00	0.00
1161712.00	0.00
1163410.00	0.00
1170609.00	0.00
1170689.00	0.00
1173012.00	0.00
1176220.00	0.00
1176302.00	0.00
1178319.00	0.00
1181417.00	0.00
1181508.00	0.00
1183086.00	0.00
1186162.00	0.00
1186255.00	0.00
1187874.00	0.00
1194405.00	0.00
1194517.00	0.00
1196312.00	0.01
1199477.00	0.01
1199572.00	0.01
1201123.00	0.01
1204289.00	0.01
1204389.00	0.01
1206215.00	0.01
1209404.00	0.01
1209531.00	0.01
1211555.00	0.01
1218479.00	0.01
1218587.00	0.01
1220358.00	0.01
1223462.00	0.01
1223547.00	0.01
1225173.00	0.01
1228973.00	0.01
1229069.00	0.01
1230824.00	0.01
