time	count
0.00	0.00
22564.00	0.50
22653.00	0.00
22712.00	0.50
22839.00	0.00
22870.00	0.50
23164.00	0.00
23178.00	0.50
23181.00	0.00
23329.00	0.50
23792.00	0.00
23824.00	0.50
23850.00	0.00
23862.00	0.50
23875.00	0.00
23906.00	0.50
23926.00	0.00
23943.00	0.50
24015.00	0.00
24033.00	0.50
24088.00	0.00
24104.00	0.50
24106.00	0.00
24176.00	0.50
24200.00	0.00
24227.00	0.50
24433.00	0.00
24459.00	0.50
24491.00	0.00
24505.00	0.50
24514.00	0.00
24533.00	0.50
24543.00	0.00
24566.00	0.50
24584.00	0.00
24603.00	0.50
24610.00	0.00
24624.00	0.50
24665.00	0.00
24691.00	0.50
24702.00	0.00
24722.00	0.50
24738.00	0.00
25400.00	0.50
428585.00	0.00
428611.00	0.50
428694.00	0.00
428715.00	0.50
428723.00	0.00
428731.00	0.50
430188.00	0.00
430214.00	0.50
430221.00	0.00
430453.00	0.50
430534.00	0.00
430558.00	0.50
430603.00	0.00
430632.00	0.50
430648.00	0.00
430668.00	0.50
430683.00	0.00
430705.00	0.50
430719.00	0.00
430749.00	0.50
457221.00	0.00
457246.00	0.50
457252.00	0.00
457257.00	0.50
457258.00	0.00
457262.00	0.50
457263.00	0.00
457267.00	0.00
457271.00	0.50
457272.00	0.00
457276.00	0.00
457280.00	0.50
457281.00	0.00
457285.00	0.50
457286.00	0.00
457290.00	0.00
457334.00	0.50
457346.00	0.00
457372.00	0.50
457375.00	0.00
457383.00	0.50
457385.00	0.00
457409.00	0.50
457411.00	0.00
457426.00	0.50
457427.00	0.00
457447.00	0.50
457449.00	0.00
457458.00	0.50
457459.00	0.00
457474.00	0.50
457475.00	0.00
457497.00	0.50
457500.00	0.00
457538.00	0.50
457543.00	0.00
457566.00	0.50
457568.00	0.00
457587.00	0.50
457589.00	0.00
457605.00	0.50
457606.00	0.00
457621.00	0.50
457622.00	0.00
457634.00	0.50
457635.00	0.00
457650.00	0.50
457651.00	0.00
457662.00	0.50
457663.00	0.00
457673.00	0.50
457674.00	0.00
457684.00	0.50
457685.00	0.00
457696.00	0.50
457697.00	0.00
457708.00	0.50
457709.00	0.00
457745.00	0.50
457750.00	0.00
457776.00	0.50
457779.00	0.00
457799.00	0.50
457801.00	0.00
457818.00	0.50
457820.00	0.00
457836.00	0.50
457837.00	0.00
457852.00	0.50
457853.00	0.00
457870.00	0.50
457872.00	0.00
457883.00	0.50
457884.00	0.00
457895.00	0.50
457896.00	0.00
457907.00	0.50
457908.00	0.00
457926.00	0.00
457939.00	0.50
457940.00	0.00
457952.00	0.00
457963.00	0.50
457964.00	0.00
457974.00	0.50
457975.00	0.00
457987.00	0.50
457988.00	0.00
458009.00	0.50
458011.00	0.00
458025.00	0.50
458027.00	0.00
458040.00	0.50
458041.00	0.00
458055.00	0.00
458068.00	0.00
458079.00	0.50
458080.00	0.00
458093.00	0.50
458094.00	0.00
458104.00	0.50
458105.00	0.00
458117.00	0.00
458130.00	0.50
458131.00	0.00
458144.00	0.50
458145.00	0.00
458156.00	0.50
458157.00	0.00
458165.00	0.50
458166.00	0.00
458178.00	0.50
458179.00	0.00
458189.00	0.50
458190.00	0.00
458201.00	0.50
458202.00	0.00
458213.00	0.50
458214.00	0.00
458225.00	0.50
458226.00	0.00
458243.00	0.50
458244.00	0.00
458256.00	0.50
458257.00	0.00
458269.00	0.00
458281.00	0.00
458292.00	0.50
458293.00	0.00
458303.00	0.50
458304.00	0.00
458317.00	0.50
458318.00	0.00
458333.00	0.00
458356.00	0.50
458357.00	0.00
458369.00	0.50
458370.00	0.00
458382.00	0.50
458383.00	0.00
458393.00	0.50
458394.00	0.00
458405.00	0.50
458406.00	0.00
458416.00	0.50
458417.00	0.00
458431.00	0.50
458432.00	0.00
458443.00	0.50
458444.00	0.00
458455.00	0.50
458456.00	0.00
458468.00	0.00
458480.00	0.50
458481.00	0.00
458492.00	0.50
458493.00	0.00
458504.00	0.50
458505.00	0.00
458518.00	0.50
458519.00	0.00
458531.00	0.50
458532.00	0.00
458542.00	0.00
458554.00	0.50
458555.00	0.00
458565.00	0.50
458566.00	0.00
458577.00	0.00
458588.00	0.50
458589.00	0.00
458601.00	0.50
458602.00	0.00
458614.00	0.50
458615.00	0.00
458625.00	0.50
458626.00	0.00
458637.00	0.50
458638.00	0.00
458648.00	0.50
458649.00	0.00
458659.00	0.50
458660.00	0.00
458681.00	0.50
458683.00	0.00
458697.00	0.50
458698.00	0.00
458717.00	0.50
458719.00	0.00
458733.00	0.00
458744.00	0.50
458745.00	0.00
458753.00	0.00
458762.00	0.50
458763.00	0.00
458772.00	0.50
458773.00	0.00
458783.00	0.50
458784.00	0.00
458796.00	0.50
458797.00	0.00
458808.00	0.50
458809.00	0.00
458820.00	0.50
458821.00	0.00
458832.00	0.50
458833.00	0.00
458855.00	0.50
458857.00	0.00
458870.00	0.50
458871.00	0.00
458882.00	0.50
458883.00	0.00
458895.00	0.50
458896.00	0.00
458907.00	0.50
458908.00	0.00
458919.00	0.50
458920.00	0.00
458938.00	0.50
458940.00	0.00
458953.00	0.50
458954.00	0.00
458964.00	0.00
458971.00	0.00
458981.00	0.50
458982.00	0.00
458996.00	0.00
459009.00	0.50
459010.00	0.00
459020.00	0.50
459021.00	0.00
459031.00	0.50
459032.00	0.00
459043.00	0.00
459056.00	0.00
459069.00	0.50
459070.00	0.00
459083.00	0.00
459095.00	0.00
459110.00	0.50
459112.00	0.00
459125.00	0.50
459126.00	0.00
459139.00	0.00
459151.00	0.50
459152.00	0.00
459163.00	0.50
459164.00	0.00
459175.00	0.50
459176.00	0.00
459187.00	0.50
459188.00	0.00
459199.00	0.50
459200.00	0.00
459211.00	0.50
459212.00	0.00
459222.00	0.50
459223.00	0.00
459230.00	0.50
459231.00	0.00
459240.00	0.50
459241.00	0.00
459251.00	0.50
459252.00	0.00
459259.00	0.00
459270.00	0.50
459271.00	0.00
459285.00	0.50
459286.00	0.00
459300.00	0.00
459316.00	0.50
459317.00	0.00
459326.00	0.00
459342.00	0.50
459343.00	0.00
459354.00	0.50
459355.00	0.00
459365.00	0.50
459366.00	0.00
459377.00	0.50
459378.00	0.00
459389.00	0.50
459390.00	0.00
459401.00	0.50
459402.00	0.00
459413.00	0.50
459414.00	0.00
459437.00	0.50
459438.00	0.00
459451.00	0.50
459452.00	0.00
459469.00	0.00
459481.00	0.50
459482.00	0.00
459491.00	0.50
459492.00	0.00
459503.00	0.50
459504.00	0.00
459516.00	0.00
459528.00	0.50
459529.00	0.00
459539.00	0.50
459540.00	0.00
459551.00	0.00
459563.00	0.50
459564.00	0.00
459583.00	0.50
459584.00	0.00
459598.00	0.50
459599.00	0.00
459614.00	0.50
459615.00	0.00
459628.00	0.00
459639.00	0.50
459640.00	0.00
459650.00	0.50
459651.00	0.00
459662.00	0.50
459663.00	0.00
459674.00	0.50
459675.00	0.00
459686.00	0.00
459698.00	0.00
459709.00	0.50
459710.00	0.00
459721.00	0.50
459722.00	0.00
459733.00	0.50
459734.00	0.00
459741.00	0.50
459742.00	0.00
459751.00	0.50
459752.00	0.00
459763.00	0.50
459764.00	0.00
459774.00	0.00
459786.00	0.50
459787.00	0.00
459798.00	0.00
459807.00	0.50
459808.00	0.00
459818.00	0.50
459819.00	0.00
459830.00	0.50
459831.00	0.00
459842.00	0.00
459853.00	0.50
459854.00	0.00
459864.00	0.50
459865.00	0.00
459876.00	0.50
459877.00	0.00
459898.00	0.50
459900.00	0.00
459914.00	0.50
459915.00	0.00
459925.00	0.50
459926.00	0.00
459936.00	0.50
459937.00	0.00
459950.00	0.50
