time	count
0.00	0.00
16155.00	1.00
16257.00	0.00
16315.00	1.00
16433.00	0.00
16457.00	1.00
16764.00	0.00
16784.00	1.00
16788.00	0.00
16927.00	1.00
17154.00	0.00
17171.00	1.00
17208.00	0.00
17221.00	1.00
17238.00	0.00
17260.00	1.00
17281.00	0.00
17293.00	1.00
17368.00	0.00
17384.00	1.00
17431.00	0.00
17443.00	1.00
17445.00	0.00
17476.00	1.00
17497.00	0.00
17519.00	1.00
17731.00	0.00
17752.00	1.00
17784.00	0.00
17797.00	1.00
17808.00	0.00
17821.00	1.00
17872.00	0.00
17891.00	1.00
17901.00	0.00
18265.00	1.00
18330.00	0.00
19444.00	1.00
19549.00	0.00
19567.00	1.00
19573.00	0.00
20378.00	1.00
20395.00	0.00
20416.00	1.00
20418.00	0.00
20739.00	1.00
20779.00	0.00
20796.00	1.00
20809.00	0.00
20819.00	1.00
20825.00	0.00
20829.00	1.00
20830.00	0.00
21458.00	1.00
28887.00	0.00
28908.00	1.00
28991.00	0.00
29006.00	1.00
29014.00	0.00
29022.00	1.00
30532.00	0.00
30551.00	1.00
30555.00	0.00
30744.00	1.00
30829.00	0.00
30844.00	1.00
30885.00	0.00
30898.00	1.00
30910.00	0.00
30917.00	1.00
30921.00	0.00
30929.00	1.00
30933.00	0.00
30938.00	1.00
34248.00	0.00
34261.00	1.00
34266.00	0.00
34272.00	1.00
34273.00	0.00
34279.00	1.00
34280.00	0.00
34285.00	1.00
34286.00	0.00
34292.00	0.00
34298.00	1.00
34299.00	0.00
34304.00	1.00
34305.00	0.00
34310.00	1.00
34311.00	0.00
34316.00	1.00
34317.00	0.00
34322.00	1.00
34323.00	0.00
34328.00	0.00
34334.00	0.00
34339.00	1.00
34340.00	0.00
34345.00	1.00
34346.00	0.00
34351.00	1.00
34352.00	0.00
34357.00	1.00
34358.00	0.00
34363.00	1.00
34364.00	0.00
34369.00	0.00
34374.00	1.00
34375.00	0.00
34380.00	1.00
34381.00	0.00
34386.00	1.00
34387.00	0.00
34392.00	1.00
34393.00	0.00
34397.00	1.00
34398.00	0.00
34403.00	1.00
34404.00	0.00
34410.00	0.00
34416.00	1.00
34417.00	0.00
34422.00	0.00
34428.00	0.00
34433.00	1.00
34434.00	0.00
34439.00	1.00
34440.00	0.00
34445.00	1.00
34446.00	0.00
34451.00	1.00
34452.00	0.00
34457.00	1.00
34458.00	0.00
34463.00	1.00
34464.00	0.00
34469.00	0.00
34474.00	1.00
34475.00	0.00
34480.00	1.00
34481.00	0.00
34486.00	1.00
34487.00	0.00
34492.00	1.00
34493.00	0.00
34498.00	0.00
34503.00	1.00
34504.00	0.00
34509.00	1.00
34510.00	0.00
34515.00	1.00
34516.00	0.00
34521.00	1.00
34522.00	0.00
34531.00	1.00
34532.00	0.00
34537.00	1.00
34538.00	0.00
34543.00	1.00
34544.00	0.00
34550.00	1.00
34551.00	0.00
34556.00	0.00
34561.00	1.00
34562.00	0.00
34567.00	1.00
34568.00	0.00
34573.00	1.00
34574.00	0.00
34579.00	1.00
34580.00	0.00
34585.00	1.00
34586.00	0.00
34591.00	1.00
34592.00	0.00
34597.00	1.00
34598.00	0.00
34603.00	0.00
34616.00	1.00
34617.00	0.00
34623.00	1.00
34624.00	0.00
34629.00	1.00
34630.00	0.00
34635.00	1.00
34636.00	0.00
34641.00	1.00
34642.00	0.00
34647.00	1.00
34648.00	0.00
34653.00	1.00
34654.00	0.00
34659.00	1.00
34660.00	0.00
34665.00	1.00
34666.00	0.00
34671.00	1.00
34672.00	0.00
34677.00	1.00
34678.00	0.00
34683.00	1.00
34684.00	0.00
34689.00	1.00
34690.00	0.00
34695.00	1.00
34696.00	0.00
