level	start	end	color	opacity	title	initiation	in	out	children	parents	prof_uid
3	74667	74694	#000000	1.0	Intersection						1309
3	74729	74730	#000000	1.0	Intersection						1310
3	74740	74741	#000000	1.0	Intersection						1311
3	74771	74773	#000000	1.0	Intersection						1312
3	74782	74783	#000000	1.0	Intersection						1313
3	74793	74795	#000000	1.0	Intersection						1314
3	74803	74803	#000000	1.0	Intersection						1315
3	74814	74814	#000000	1.0	Intersection						1316
3	74824	74825	#000000	1.0	Intersection						1317
3	74833	74834	#000000	1.0	Intersection						1318
3	79070	79072	#000000	1.0	Intersection						1319
3	79204	79206	#000000	1.0	Intersection						1320
3	79288	79301	#000000	1.0	Intersection						1321
3	79401	79403	#000000	1.0	Intersection						1322
3	79715	79717	#000000	1.0	Intersection						1323
3	79807	79809	#000000	1.0	Intersection						1324
3	80022	80024	#000000	1.0	Intersection						1325
3	80393	80394	#000000	1.0	Intersection						1326
3	80636	80639	#000000	1.0	Intersection						1327
3	80849	80851	#000000	1.0	Intersection						1328
3	92441	92442	#000000	1.0	Intersection						1329
3	92452	92453	#000000	1.0	Intersection						1330
3	92466	92466	#000000	1.0	Intersection						1331
3	92475	92475	#000000	1.0	Intersection						1332
3	92484	92484	#000000	1.0	Intersection						1333
3	92493	92493	#000000	1.0	Intersection						1334
3	92500	92500	#000000	1.0	Intersection						1335
3	92510	92511	#000000	1.0	Intersection						1336
3	92531	92532	#000000	1.0	Intersection						1337
3	92540	92541	#000000	1.0	Intersection						1338
3	95400	95402	#000000	1.0	Intersection						1339
3	95603	95605	#000000	1.0	Intersection						1340
3	95760	95762	#000000	1.0	Intersection						1341
3	96000	96002	#000000	1.0	Intersection						1342
3	96188	96189	#000000	1.0	Intersection						1343
3	96290	96292	#000000	1.0	Intersection						1344
3	96489	96491	#000000	1.0	Intersection						1345
3	96548	96549	#000000	1.0	Intersection						1346
3	96735	96736	#000000	1.0	Intersection						1347
3	96792	96793	#000000	1.0	Intersection						1348
3	107914	107916	#000000	1.0	Intersection						1349
3	107926	107927	#000000	1.0	Intersection						1350
3	107934	107934	#000000	1.0	Intersection						1351
3	107943	107944	#000000	1.0	Intersection						1352
3	107955	107957	#000000	1.0	Intersection						1353
3	107964	107966	#000000	1.0	Intersection						1354
3	107975	107976	#000000	1.0	Intersection						1355
3	107991	107992	#000000	1.0	Intersection						1356
3	107998	108000	#000000	1.0	Intersection						1357
3	108018	108025	#000000	1.0	Intersection						1358
3	111726	111729	#000000	1.0	Intersection						1359
3	111838	111839	#000000	1.0	Intersection						1360
3	112110	112112	#000000	1.0	Intersection						1361
3	112364	112366	#000000	1.0	Intersection						1362
3	112420	112421	#000000	1.0	Intersection						1363
3	112489	112490	#000000	1.0	Intersection						1364
3	112577	112578	#000000	1.0	Intersection						1365
3	112808	112809	#000000	1.0	Intersection						1366
3	113027	113028	#000000	1.0	Intersection						1367
3	113080	113081	#000000	1.0	Intersection						1368
3	117749	117874	#000000	1.0	Union Reduction						15739
3	187973	188056	#000000	1.0	Union Reduction						15740
3	188087	188127	#000000	1.0	Intersection						15741
3	188240	188248	#000000	1.0	Intersection						12578
3	190245	190247	#000000	1.0	Intersection						12579
3	198418	198420	#000000	1.0	Intersection						1369
3	198434	198435	#000000	1.0	Intersection						1370
3	199286	199288	#000000	1.0	Intersection						1371
3	199346	199347	#000000	1.0	Intersection						1372
