level	start	end	color	opacity	title	initiation	in	out	children	parents	prof_uid
3	78976	79000	#ff002c	1.0	Copy size=3000	88					1267
3	79137	79142	#ff002c	1.0	Copy size=10	88					1268
3	79253	79258	#ff002c	1.0	Copy size=10	88					1269
3	79351	79356	#ff002c	1.0	Copy size=10	88					1270
3	79451	79456	#ff002c	1.0	Copy size=10	88					1271
3	79861	79867	#ff002c	1.0	Copy size=10	88					1272
3	81113	81119	#ff002c	1.0	Copy size=3000	88					1278
3	95340	95349	#ff002c	1.0	Copy size=3000	156					1279
3	95449	95452	#ff002c	1.0	Copy size=10	156					1280
3	96242	96246	#ff002c	1.0	Copy size=10	156					1283
3	96334	96337	#ff002c	1.0	Copy size=10	156					1284
3	96591	96595	#ff002c	1.0	Copy size=10	156					1285
3	96831	96836	#ff002c	1.0	Copy size=10	156					1287
3	96973	96978	#ff002c	1.0	Copy size=3000	156					1289
3	111469	111478	#ff002c	1.0	Copy size=3000	224					1290
3	112052	112064	#ff002c	1.0	Copy size=10	224					1291
3	112458	112462	#ff002c	1.0	Copy size=10	224					1292
3	112540	112543	#ff002c	1.0	Copy size=10	224					1294
3	112624	112628	#ff002c	1.0	Copy size=10	224					1295
3	113119	113124	#ff002c	1.0	Copy size=10	224					1297
3	113252	113257	#ff002c	1.0	Copy size=3000	224					1299
3	199136	199142	#ff002c	1.0	Copy size=3000	266					5944
3	199396	199401	#ff002c	1.0	Copy size=10	266					1300
3	199563	199568	#ff002c	1.0	Copy size=3000	266					1302
