time	count
0.00	0.00
16318.00	0.50
16345.00	0.00
16456.00	0.50
16463.00	0.00
16770.00	0.50
16923.00	0.00
17214.00	0.50
17224.00	0.00
17234.00	0.50
17241.00	0.00
17266.00	0.50
17268.00	0.00
17294.00	0.50
17296.00	0.00
17384.00	0.50
17385.00	0.00
17435.00	0.50
17457.00	0.00
17476.00	0.50
17480.00	0.00
17516.00	0.50
17518.00	0.00
17589.00	0.50
17646.00	0.00
17750.00	0.50
17753.00	0.00
17797.00	0.50
17798.00	0.00
17820.00	0.50
17821.00	0.00
17915.00	0.50
17916.00	0.00
18347.00	0.50
18352.00	0.00
20028.00	0.50
20043.00	0.00
20387.00	0.50
20437.00	0.00
20449.00	0.50
20453.00	0.00
20602.00	0.50
20604.00	0.00
20814.00	0.50
21413.00	0.00
28941.00	0.50
28944.00	0.00
29035.00	0.50
29038.00	0.00
29044.00	0.50
29045.00	0.00
29742.00	0.50
29747.00	0.00
30526.00	0.50
35944.00	0.00
35949.00	0.50
35951.00	0.00
35956.00	0.50
35957.00	0.00
35964.00	0.50
35970.00	0.00
35975.00	0.50
35976.00	0.00
35980.00	0.50
35981.00	0.00
35984.00	0.00
35988.00	0.00
35992.00	0.50
35993.00	0.00
35996.00	0.50
35999.00	0.00
36003.00	0.00
36007.00	0.50
36008.00	0.00
36011.00	0.00
36014.00	0.50
36015.00	0.00
36018.00	0.50
36022.00	0.00
36025.00	0.50
36026.00	0.00
36030.00	0.00
36032.00	0.50
36033.00	0.00
36043.00	0.50
36044.00	0.00
36049.00	0.00
36054.00	0.50
36058.00	0.00
36062.00	0.00
36074.00	0.50
36075.00	0.00
36079.00	0.50
36080.00	0.00
36084.00	0.00
36087.00	0.50
36090.00	0.00
36095.00	0.00
36099.00	0.50
36100.00	0.00
36111.00	0.00
36122.00	0.50
36123.00	0.00
36128.00	0.50
36131.00	0.00
36142.00	0.50
36143.00	0.00
36148.00	0.00
36153.00	0.00
36157.00	0.00
36161.00	0.50
36164.00	0.00
36168.00	0.00
36171.00	0.50
36172.00	0.00
36175.00	0.00
36178.00	0.00
36189.00	0.50
36190.00	0.00
36193.00	0.50
36197.00	0.00
36201.00	0.50
36202.00	0.00
36206.00	0.00
36209.00	0.00
36212.00	0.00
36216.00	0.00
36219.00	0.50
36222.00	0.00
36226.00	0.50
36227.00	0.00
36233.00	0.00
36236.00	0.00
36238.00	0.50
36241.00	0.00
36244.00	0.50
36245.00	0.00
36249.00	0.00
36252.00	0.00
36258.00	0.50
36259.00	0.00
36261.00	0.00
36263.00	0.50
36266.00	0.00
36271.00	0.00
36275.00	0.00
36279.00	0.00
36282.00	0.00
36293.00	0.50
36297.00	0.00
36304.00	0.00
36306.00	0.50
36307.00	0.00
36310.00	0.50
36311.00	0.00
36321.00	0.50
36322.00	0.00
36325.00	0.50
36328.00	0.00
36331.00	0.00
36334.00	0.50
36335.00	0.00
36345.00	0.00
36349.00	0.50
36350.00	0.00
36353.00	0.00
36357.00	0.50
36361.00	0.00
36365.00	0.50
36366.00	0.00
36368.00	0.50
36369.00	0.00
36373.00	0.00
36376.00	0.50
36377.00	0.00
36379.00	0.50
36382.00	0.00
36385.00	0.00
36396.00	0.50
36397.00	0.00
36411.00	0.50
36412.00	0.00
36415.00	0.00
36427.00	0.50
36431.00	0.00
36437.00	0.50
36438.00	0.00
36440.00	0.50
36441.00	0.00
36444.00	0.00
