time	count
0.00	0.00
15574.00	0.50
15672.00	0.00
15728.00	0.50
15835.00	0.00
15861.00	0.50
16164.00	0.00
16177.00	0.50
16181.00	0.00
16385.00	0.50
16602.00	0.00
16631.00	0.50
16657.00	0.00
16667.00	0.50
16679.00	0.00
16701.00	0.50
16719.00	0.00
16732.00	0.50
16804.00	0.00
16822.00	0.50
16874.00	0.00
16886.00	0.50
16888.00	0.00
16933.00	0.50
16954.00	0.00
16973.00	0.50
17167.00	0.00
17188.00	0.50
17218.00	0.00
17228.00	0.50
17237.00	0.00
17250.00	0.50
17260.00	0.00
17268.00	0.50
17285.00	0.00
17299.00	0.50
17305.00	0.00
17359.00	0.50
17403.00	0.00
17445.00	0.50
17465.00	0.00
17481.00	0.50
17497.00	0.00
17511.00	0.50
17513.00	0.00
18134.00	0.50
25285.00	0.00
25303.00	0.50
25388.00	0.00
25404.00	0.50
25411.00	0.00
25422.00	0.50
26628.00	0.00
26657.00	0.50
26663.00	0.00
26844.00	0.50
26924.00	0.00
26942.00	0.50
26985.00	0.00
27011.00	0.50
27022.00	0.00
27063.00	0.50
27075.00	0.00
27094.00	0.50
27103.00	0.00
27114.00	0.50
30568.00	0.00
30587.00	0.50
30593.00	0.00
30600.00	0.50
30601.00	0.00
30607.00	0.50
30609.00	0.00
30614.00	0.50
30615.00	0.00
30621.00	0.50
30622.00	0.00
30628.00	0.50
30629.00	0.00
30637.00	0.50
30638.00	0.00
30643.00	0.50
30644.00	0.00
30652.00	0.50
30653.00	0.00
30665.00	0.50
30666.00	0.00
30674.00	0.50
30675.00	0.00
30682.00	0.50
30683.00	0.00
30693.00	0.50
30694.00	0.00
30702.00	0.50
30703.00	0.00
30713.00	0.50
30714.00	0.00
30727.00	0.50
30729.00	0.00
30734.00	0.50
30735.00	0.00
30739.00	0.50
30740.00	0.00
30744.00	0.50
30745.00	0.00
30750.00	0.50
30751.00	0.00
30756.00	0.50
30757.00	0.00
30768.00	0.50
30769.00	0.00
30777.00	0.50
30778.00	0.00
30787.00	0.50
30788.00	0.00
30793.00	0.50
30794.00	0.00
30802.00	0.50
30803.00	0.00
30814.00	0.50
30815.00	0.00
30824.00	0.50
30825.00	0.00
30834.00	0.50
30835.00	0.00
30843.00	0.50
30844.00	0.00
30854.00	0.50
30856.00	0.00
30864.00	0.50
30869.00	0.00
30874.00	0.50
30875.00	0.00
30879.00	0.50
30880.00	0.00
30884.00	0.50
30885.00	0.00
30891.00	0.00
30896.00	0.50
30897.00	0.00
30909.00	0.50
30911.00	0.00
30918.00	0.50
30919.00	0.00
30927.00	0.50
30928.00	0.00
30935.00	0.50
30936.00	0.00
30945.00	0.50
30946.00	0.00
30956.00	0.50
30957.00	0.00
30967.00	0.50
30968.00	0.00
30978.00	0.50
30979.00	0.00
30986.00	0.50
30987.00	0.00
30999.00	0.50
31001.00	0.00
31014.00	0.50
31015.00	0.00
31023.00	0.50
31024.00	0.00
31031.00	0.50
31032.00	0.00
31038.00	0.50
31039.00	0.00
31047.00	0.50
31048.00	0.00
31056.00	0.50
31057.00	0.00
31064.00	0.50
31065.00	0.00
31072.00	0.50
31073.00	0.00
31079.00	0.00
31088.00	0.00
31096.00	0.50
31097.00	0.00
31105.00	0.50
31106.00	0.00
31115.00	0.50
31116.00	0.00
31123.00	0.50
31124.00	0.00
31130.00	0.00
31138.00	0.50
31139.00	0.00
31146.00	0.50
31147.00	0.00
31153.00	0.50
31154.00	0.00
31160.00	0.50
31161.00	0.00
31168.00	0.50
31169.00	0.00
31176.00	0.50
31177.00	0.00
31184.00	0.50
31185.00	0.00
31193.00	0.50
31194.00	0.00
31202.00	0.50
31203.00	0.00
31208.00	0.50
31209.00	0.00
31218.00	0.50
31219.00	0.00
31227.00	0.50
31228.00	0.00
31236.00	0.50
31237.00	0.00
31244.00	0.50
31245.00	0.00
31253.00	0.50
31254.00	0.00
31260.00	0.00
31268.00	0.50
31269.00	0.00
31277.00	0.50
31278.00	0.00
31285.00	0.50
31286.00	0.00
31293.00	0.50
31294.00	0.00
31301.00	0.00
31315.00	0.50
31316.00	0.00
31323.00	0.50
31324.00	0.00
31332.00	0.50
31333.00	0.00
31341.00	0.00
31348.00	0.00
31356.00	0.50
31357.00	0.00
31365.00	0.50
31366.00	0.00
31373.00	0.50
31374.00	0.00
31381.00	0.50
31382.00	0.00
31390.00	0.00
31397.00	0.00
31405.00	0.50
31406.00	0.00
31413.00	0.50
31414.00	0.00
31421.00	0.50
31422.00	0.00
31430.00	0.00
31436.00	0.50
31437.00	0.00
31447.00	0.50
31448.00	0.00
31455.00	0.50
31456.00	0.00
31463.00	0.50
31464.00	0.00
31472.00	0.00
31478.00	0.50
31479.00	0.00
31486.00	0.50
31487.00	0.00
31495.00	0.00
31503.00	0.50
31504.00	0.00
31512.00	0.50
31513.00	0.00
31520.00	0.50
31521.00	0.00
31526.00	0.50
31527.00	0.00
31536.00	0.50
31537.00	0.00
31545.00	0.00
31553.00	0.50
31554.00	0.00
31561.00	0.50
31562.00	0.00
31567.00	0.50
31568.00	0.00
31574.00	0.00
31585.00	0.50
31586.00	0.00
31593.00	0.50
31594.00	0.00
31601.00	0.50
31602.00	0.00
31609.00	0.50
31610.00	0.00
31618.00	0.50
31619.00	0.00
31628.00	0.00
31635.00	0.50
31636.00	0.00
31645.00	0.50
31646.00	0.00
31653.00	0.50
31654.00	0.00
31660.00	0.50
31661.00	0.00
31668.00	0.50
31669.00	0.00
31677.00	0.00
31685.00	0.00
31693.00	0.50
31694.00	0.00
31698.00	0.50
31699.00	0.00
31709.00	0.50
31710.00	0.00
31718.00	0.50
31719.00	0.00
31727.00	0.00
31735.00	0.00
31743.00	0.00
31752.00	0.00
31760.00	0.50
31761.00	0.00
31769.00	0.00
31776.00	0.50
31777.00	0.00
31785.00	0.50
31786.00	0.00
31791.00	0.50
31792.00	0.00
31799.00	0.50
31800.00	0.00
31808.00	0.00
31816.00	0.00
31821.00	0.50
31822.00	0.00
31832.00	0.50
31833.00	0.00
31842.00	0.00
31850.00	0.50
31851.00	0.00
31858.00	0.50
31859.00	0.00
31866.00	0.50
31867.00	0.00
31873.00	0.00
31881.00	0.00
31892.00	0.50
31893.00	0.00
31901.00	0.50
31902.00	0.00
31910.00	0.50
31911.00	0.00
31917.00	0.50
31918.00	0.00
31927.00	0.50
31928.00	0.00
31937.00	0.50
31938.00	0.00
31947.00	0.50
31948.00	0.00
31958.00	0.50
31959.00	0.00
31969.00	0.50
31970.00	0.00
31975.00	0.50
31976.00	0.00
31986.00	0.00
31996.00	0.50
31997.00	0.00
32007.00	0.50
32008.00	0.00
32018.00	0.50
32019.00	0.00
32028.00	0.00
32036.00	0.50
32037.00	0.00
32048.00	0.50
32049.00	0.00
32057.00	0.50
32058.00	0.00
32076.00	0.50
32077.00	0.00
32114.00	0.50
32117.00	0.00
32133.00	0.50
32135.00	0.00
32157.00	0.50
32158.00	0.00
32170.00	0.50
32171.00	0.00
32179.00	0.50
32180.00	0.00
32199.00	0.50
32200.00	0.00
32209.00	0.50
32210.00	0.00
32219.00	0.50
32220.00	0.00
32229.00	0.50
32230.00	0.00
32239.00	0.50
32240.00	0.00
32249.00	0.50
32250.00	0.00
32260.00	0.50
32261.00	0.00
32270.00	0.50
32271.00	0.00
32283.00	0.50
32284.00	0.00
32295.00	0.50
32296.00	0.00
32328.00	0.50
32331.00	0.00
32348.00	0.50
32349.00	0.00
32366.00	0.50
32367.00	0.00
32380.00	0.50
32382.00	0.00
32393.00	0.50
32394.00	0.00
32402.00	0.50
32403.00	0.00
32417.00	0.00
32428.00	0.50
32429.00	0.00
32438.00	0.50
32439.00	0.00
32457.00	0.50
32458.00	0.00
32479.00	0.50
32481.00	0.00
32493.00	0.50
32494.00	0.00
32511.00	0.50
32512.00	0.00
32544.00	0.50
32548.00	0.00
32564.00	0.50
32565.00	0.00
32581.00	0.50
32582.00	0.00
32598.00	0.50
32599.00	0.00
32612.00	0.50
32613.00	0.00
32620.00	0.50
32621.00	0.00
32631.00	0.50
32632.00	0.00
32643.00	0.00
32653.00	0.50
32654.00	0.00
32663.00	0.50
32664.00	0.00
32674.00	0.50
32675.00	0.00
32686.00	0.50
32687.00	0.00
32706.00	0.50
32707.00	0.00
32722.00	0.50
32723.00	0.00
32734.00	0.00
32752.00	0.50
32754.00	0.00
32764.00	0.50
32765.00	0.00
32776.00	0.50
32777.00	0.00
32800.00	0.50
32801.00	0.00
32812.00	0.50
32813.00	0.00
32823.00	0.50
32824.00	0.00
32833.00	0.50
32834.00	0.00
32849.00	0.50
32850.00	0.00
32868.00	0.50
32869.00	0.00
32878.00	0.50
32879.00	0.00
32888.00	0.00
32898.00	0.50
32899.00	0.00
32907.00	0.50
32908.00	0.00
32926.00	0.50
32927.00	0.00
32938.00	0.50
32939.00	0.00
32946.00	0.00
32967.00	0.50
32968.00	0.00
32977.00	0.50
32978.00	0.00
32996.00	0.50
32997.00	0.00
33016.00	0.50
33018.00	0.00
33030.00	0.50
33031.00	0.00
33042.00	0.50
33043.00	0.00
33054.00	0.50
33055.00	0.00
33073.00	0.50
33075.00	0.00
33087.00	0.50
33088.00	0.00
33099.00	0.50
33100.00	0.00
33119.00	0.50
33120.00	0.00
33131.00	0.50
33132.00	0.00
33141.00	0.50
33142.00	0.00
33151.00	0.50
33152.00	0.00
33163.00	0.50
33164.00	0.00
33172.00	0.00
33188.00	0.50
33189.00	0.00
33198.00	0.50
33199.00	0.00
33217.00	0.50
33218.00	0.00
33229.00	0.50
33230.00	0.00
33239.00	0.50
33240.00	0.00
33251.00	0.00
33271.00	0.50
33272.00	0.00
33283.00	0.00
33293.00	0.50
33294.00	0.00
33317.00	0.50
33319.00	0.00
33339.00	0.50
33341.00	0.00
33354.00	0.50
33355.00	0.00
33368.00	0.50
33369.00	0.00
33380.00	0.50
33381.00	0.00
33389.00	0.50
33390.00	0.00
33400.00	0.50
33401.00	0.00
33419.00	0.50
33421.00	0.00
33431.00	0.50
33432.00	0.00
33442.00	0.50
33443.00	0.00
33452.00	0.50
33453.00	0.00
33462.00	0.50
33463.00	0.00
33475.00	0.00
33493.00	0.50
33494.00	0.00
33511.00	0.50
33512.00	0.00
33524.00	0.00
33536.00	0.50
33537.00	0.00
33548.00	0.50
33549.00	0.00
33560.00	0.50
33561.00	0.00
33579.00	0.50
33581.00	0.00
33591.00	0.50
33592.00	0.00
33601.00	0.00
33610.00	0.50
33611.00	0.00
33628.00	0.50
33630.00	0.00
33640.00	0.50
33641.00	0.00
33652.00	0.50
33653.00	0.00
33662.00	0.50
33663.00	0.00
33681.00	0.50
33683.00	0.00
33695.00	0.50
33696.00	0.00
33712.00	0.00
33722.00	0.50
33723.00	0.00
33733.00	0.50
33734.00	0.00
33750.00	0.50
33751.00	0.00
33773.00	0.50
33775.00	0.00
33785.00	0.50
33786.00	0.00
33796.00	0.00
33815.00	0.50
33817.00	0.00
33826.00	0.50
33827.00	0.00
33837.00	0.50
33838.00	0.00
33849.00	0.50
33850.00	0.00
33859.00	0.50
33860.00	0.00
33866.00	0.50
33867.00	0.00
33880.00	0.50
33881.00	0.00
34019.00	0.50
34021.00	0.00
34038.00	0.50
34045.00	0.00
34056.00	0.50
34102.00	0.00
34115.00	0.50
34155.00	0.00
34167.00	0.50
34168.00	0.00
34180.00	0.50
34181.00	0.00
34192.00	0.50
34193.00	0.00
34202.00	0.50
34273.00	0.00
34287.00	0.50
34300.00	0.00
34325.00	0.50
34327.00	0.00
34339.00	0.50
34634.00	0.00
34934.00	0.50
34945.00	0.00
35014.00	0.50
35261.00	0.00
35276.00	0.50
35305.00	0.00
35323.00	0.50
35333.00	0.00
35350.00	0.50
36042.00	0.00
36057.00	0.50
36138.00	0.00
36152.00	0.50
36166.00	0.00
36175.00	0.50
36182.00	0.00
36192.00	0.50
36205.00	0.00
36215.00	0.50
36224.00	0.00
36234.00	0.50
36242.00	0.00
36252.00	0.50
36259.00	0.00
36269.00	0.50
36281.00	0.00
36292.00	0.50
