time	count
0.00	0.00
15865.00	0.12
15893.00	0.00
15984.00	0.12
16036.00	0.00
16313.00	0.12
16474.00	0.00
16530.00	0.12
16533.00	0.00
16565.00	0.12
16602.00	0.00
16755.00	0.12
16760.00	0.00
16791.00	0.12
16809.00	0.00
16821.00	0.12
16854.00	0.00
16924.00	0.12
16925.00	0.00
16994.00	0.12
17005.00	0.25
17006.00	0.12
17022.00	0.00
17047.00	0.12
17064.00	0.25
17067.00	0.12
17070.00	0.00
17178.00	0.12
17231.00	0.00
17287.00	0.12
17288.00	0.00
17329.00	0.12
17331.00	0.00
17363.00	0.12
17366.00	0.00
17390.00	0.12
17391.00	0.00
17425.00	0.12
17427.00	0.00
17446.00	0.12
17447.00	0.00
17493.00	0.12
17513.00	0.25
17514.00	0.12
17528.00	0.25
17545.00	0.38
17546.00	0.25
17547.00	0.12
17556.00	0.00
17566.00	0.12
17586.00	0.25
17587.00	0.12
18152.00	0.00
25284.00	0.12
25287.00	0.00
25384.00	0.12
25386.00	0.00
25419.00	0.12
25421.00	0.00
26019.00	0.12
26032.00	0.00
26799.00	0.12
27082.00	0.25
27084.00	0.12
27106.00	0.25
27115.00	0.12
27141.00	0.25
27143.00	0.12
27170.00	0.25
27172.00	0.12
31121.00	0.38
31122.00	0.50
31123.00	0.62
31124.00	0.38
31126.00	0.25
31127.00	0.12
31129.00	0.12
31130.00	0.25
31131.00	0.12
31163.00	0.25
31165.00	0.12
31184.00	0.25
31186.00	0.12
31198.00	0.25
31201.00	0.12
31211.00	0.25
31221.00	0.12
31225.00	0.25
31227.00	0.12
31246.00	0.25
31256.00	0.12
31261.00	0.25
31268.00	0.12
31277.00	0.25
31279.00	0.12
31292.00	0.25
31294.00	0.12
31308.00	0.25
31309.00	0.12
31331.00	0.25
31333.00	0.12
31377.00	0.25
31378.00	0.12
31402.00	0.25
31403.00	0.12
31421.00	0.25
31423.00	0.12
31442.00	0.25
31443.00	0.12
31467.00	0.25
31468.00	0.12
31491.00	0.25
31493.00	0.12
31517.00	0.25
31523.00	0.12
31539.00	0.25
31541.00	0.12
31548.00	0.25
31549.00	0.12
31573.00	0.25
31576.00	0.12
31593.00	0.25
31595.00	0.12
31622.00	0.25
31623.00	0.12
31647.00	0.25
31651.00	0.12
31661.00	0.25
31670.00	0.12
31676.00	0.12
31707.00	0.25
31709.00	0.12
31734.00	0.25
31735.00	0.12
31758.00	0.25
31760.00	0.12
31785.00	0.25
31786.00	0.12
31808.00	0.25
31810.00	0.12
31834.00	0.25
31836.00	0.12
31849.00	0.25
31851.00	0.12
31870.00	0.25
31875.00	0.12
31886.00	0.25
31887.00	0.12
31909.00	0.25
31911.00	0.12
31936.00	0.25
31938.00	0.12
31965.00	0.25
31966.00	0.12
31988.00	0.25
31995.00	0.12
32011.00	0.25
32013.00	0.12
32036.00	0.25
32037.00	0.12
32061.00	0.25
32063.00	0.12
32082.00	0.25
32087.00	0.12
32103.00	0.25
32104.00	0.12
32124.00	0.25
32125.00	0.12
32152.00	0.25
32153.00	0.12
32174.00	0.25
32175.00	0.12
32192.00	0.00
32200.00	0.12
32201.00	0.00
32226.00	0.12
32228.00	0.00
32250.00	0.12
32252.00	0.00
32278.00	0.12
32279.00	0.00
32297.00	0.12
32298.00	0.00
32324.00	0.12
32325.00	0.00
32345.00	0.12
32346.00	0.00
32368.00	0.12
32369.00	0.00
32395.00	0.12
32399.00	0.00
32420.00	0.12
32421.00	0.00
32444.00	0.12
32445.00	0.00
32470.00	0.12
32471.00	0.00
