time	count
0.00	0.00
53064.00	0.00
53290.00	0.00
53554.00	0.00
53644.00	0.00
53945.00	0.00
54011.00	0.00
54325.00	0.00
54392.00	0.00
88808.00	0.00
88882.00	0.00
89293.00	0.00
89399.00	0.00
89788.00	0.00
89871.00	0.00
90236.00	0.00
90304.00	0.00
111458.00	0.00
111531.00	0.00
111875.00	0.00
111945.00	0.00
112277.00	0.00
112349.00	0.00
112715.00	0.00
112787.00	0.00
113118.00	0.00
113190.00	0.00
113537.00	0.00
113608.00	0.00
113990.00	0.00
114060.00	0.00
114436.00	0.00
114507.00	0.00
145026.00	0.00
147657.00	0.00
150398.00	0.00
161607.00	0.00
161738.00	0.00
161863.00	0.00
165825.00	0.00
165971.00	0.00
166053.00	0.00
166188.00	0.00
166264.00	0.00
166414.00	0.00
166506.00	0.00
166631.00	0.00
166734.00	0.00
166868.00	0.00
166948.00	0.00
167079.00	0.00
167239.00	0.00
167529.00	0.00
167619.00	0.00
167732.00	0.00
167804.00	0.00
167909.00	0.00
167983.00	0.00
168085.00	0.00
168158.00	0.00
168268.00	0.00
168337.00	0.00
168443.00	0.00
168518.00	0.00
168621.00	0.00
168698.00	0.00
168802.00	0.00
168874.00	0.00
168950.00	0.00
169576.00	0.00
169621.00	0.00
