level	start	end	color	opacity	title	initiation	in	out	children	parents	prof_uid
1	47825	47853	#FFC0CB	1.0	ProfTask						11727
1	88392	88396	#FFC0CB	1.0	ProfTask <9>						11729
1	89582	89584	#FFC0CB	1.0	ProfTask <15>						11731
1	98045	98102	#007eff	1.0	eval_samples <9>						11172
1	98297	98299	#FFC0CB	1.0	ProfTask <15>						11733
1	98562	98562	#FFC0CB	1.0	ProfTask <11>						11735
1	98621	98659	#007eff	1.0	eval_samples <11>						11098
1	98677	98678	#FFC0CB	1.0	ProfTask <15>						11737
1	98709	98738	#007eff	1.0	eval_samples <15>						11099
1	98809	98811	#FFC0CB	1.0	ProfTask <11>						11739
1	98815	98816	#FFC0CB	1.0	ProfTask <13>						11741
1	98873	98875	#FFC0CB	1.0	ProfTask <15>						11743
1	98999	99001	#FFC0CB	1.0	ProfTask <13>						11745
1	99042	99043	#FFC0CB	1.0	ProfTask <156>						11747
1	99459	99460	#FFC0CB	1.0	ProfTask <156>						11749
1	99659	99666	#FFC0CB	1.0	ProfTask <156>						11751
1	100236	100238	#FFC0CB	1.0	ProfTask <156>						11753
1	100594	100595	#FFC0CB	1.0	ProfTask <156>						11755
1	100796	100797	#FFC0CB	1.0	ProfTask <156>						11757
1	106934	106935	#FFC0CB	1.0	ProfTask						11759
1	111112	111114	#FFC0CB	1.0	ProfTask <17>						11761
1	112543	112551	#FFC0CB	1.0	ProfTask <25>						11763
1	112813	112814	#FFC0CB	1.0	ProfTask <23>						11765
1	112954	112956	#FFC0CB	1.0	ProfTask <27>						11767
1	113145	113145	#FFC0CB	1.0	ProfTask <25>						11769
1	113215	113215	#FFC0CB	1.0	ProfTask <25>						11771
1	113359	113361	#FFC0CB	1.0	ProfTask <29>						11773
1	113563	113564	#FFC0CB	1.0	ProfTask <27>						11775
1	113636	113636	#FFC0CB	1.0	ProfTask <27>						11777
1	113803	113804	#FFC0CB	1.0	ProfTask <31>						11779
1	114464	114465	#FFC0CB	1.0	ProfTask <31>						11781
1	114532	114532	#FFC0CB	1.0	ProfTask <31>						11783
1	126997	127029	#007eff	1.0	eval_samples <25>						11173
1	127142	127142	#FFC0CB	1.0	ProfTask <27>						11785
1	127443	127444	#FFC0CB	1.0	ProfTask <31>						11787
1	127448	127448	#FFC0CB	1.0	ProfTask <27>						11789
1	127497	127504	#FFC0CB	1.0	ProfTask <27>						11791
1	127660	127700	#007eff	1.0	eval_samples <27>						11003
1	127897	127900	#FFC0CB	1.0	ProfTask <29>						11793
1	128105	128106	#FFC0CB	1.0	ProfTask <31>						11795
1	128127	128128	#FFC0CB	1.0	ProfTask <29>						11797
1	128154	128155	#FFC0CB	1.0	ProfTask <29>						11799
1	128295	128301	#FFC0CB	1.0	ProfTask						11801
1	128320	128321	#FFC0CB	1.0	ProfTask						11803
1	128444	128445	#FFC0CB	1.0	ProfTask						11805
1	128520	128521	#FFC0CB	1.0	ProfTask <29>						11807
1	128545	128546	#FFC0CB	1.0	ProfTask						11809
1	128694	128723	#007eff	1.0	eval_samples <29>						7457
1	129111	129113	#FFC0CB	1.0	ProfTask <224>						11811
1	129239	129246	#FFC0CB	1.0	ProfTask <17>						11813
1	129694	129695	#FFC0CB	1.0	ProfTask <29>						11815
1	131183	131184	#FFC0CB	1.0	ProfTask <224>						11817
1	131376	131377	#FFC0CB	1.0	ProfTask <224>						11819
1	131736	131737	#FFC0CB	1.0	ProfTask <224>						11821
1	131936	131941	#FFC0CB	1.0	ProfTask <224>						11823
1	132286	132286	#FFC0CB	1.0	ProfTask <224>						11825
1	132481	132482	#FFC0CB	1.0	ProfTask <224>						11827
1	132840	132841	#FFC0CB	1.0	ProfTask <224>						11829
1	133036	133037	#FFC0CB	1.0	ProfTask <224>						11831
1	133581	133582	#FFC0CB	1.0	ProfTask <224>						11833
1	145578	145580	#FFC0CB	1.0	ProfTask <33>						11835
1	146374	146380	#FFC0CB	1.0	ProfTask <35>						11837
1	148124	148125	#FFC0CB	1.0	ProfTask <37>						11839
1	148144	148145	#FFC0CB	1.0	ProfTask						11841
1	148162	148163	#FFC0CB	1.0	ProfTask						11843
1	148231	148232	#FFC0CB	1.0	ProfTask						11845
1	148332	148333	#FFC0CB	1.0	ProfTask						11847
1	148491	148495	#FFC0CB	1.0	ProfTask						11849
1	148778	148779	#FFC0CB	1.0	ProfTask						11851
1	148812	148813	#FFC0CB	1.0	ProfTask <37>						11853
1	148844	148868	#ff00e3	1.0	calc_mean <37>						7459
1	149364	149366	#FFC0CB	1.0	ProfTask <39>						11855
1	150740	150741	#FFC0CB	1.0	ProfTask <41>						11857
1	151836	151837	#FFC0CB	1.0	ProfTask <41>						11859
1	152751	152752	#FFC0CB	1.0	ProfTask <45>						11861
1	161884	161886	#FFC0CB	1.0	ProfTask <11>						11863
1	166527	166529	#FFC0CB	1.0	ProfTask <15>						11865
1	166754	166755	#FFC0CB	1.0	ProfTask <19>						11867
1	168717	168717	#FFC0CB	1.0	ProfTask <7>						11869
1	168892	168893	#FFC0CB	1.0	ProfTask <31>						11871
1	169438	169441	#FFC0CB	1.0	ProfTask <304>						11873
1	169488	169489	#FFC0CB	1.0	ProfTask						11875
1	169638	169639	#FFC0CB	1.0	ProfTask <41>						11877
1	171263	171264	#FFC0CB	1.0	ProfTask <304>						11879
1	171337	171348	#FFC0CB	1.0	ProfTask <304>						11881
1	171456	171457	#FFC0CB	1.0	ProfTask <304>						11883
