op_id	desc	proc	level
0	Operation <0>		
1	main <1>	CPU Processor 0x1d00000000000004	2
3	Fence Operation <3>		
4	__dummy <4>	CPU Processor 0x1d00000000000004	3
5	Fence Operation <5>		
6	__dummy <6>	CPU Processor 0x1d00000000000003	2
7	Mapping Operation <7>		
8	Fill Operation <8>		
9	Pending Partition Operation <9>		
10	Pending Partition Operation <10>		
11	Mapping Operation <11>		
12	eval_samples <12>	CPU Processor 0x1d00000000000004	3
13	Mapping Operation <13>		
14	Advance Operation <14>		
15	Open Operation <15>		
16	Open Operation <16>		
17	Inter Close Operation <17>		
18	Read Close Operation <18>		
19	eval_samples <19>	CPU Processor 0x1d00000000000003	2
20	Mapping Operation <20>		
21	Advance Operation <21>		
22	Open Operation <22>		
23	Open Operation <23>		
24	Inter Close Operation <24>		
25	Read Close Operation <25>		
26	eval_samples <26>	CPU Processor 0x1d00000000000003	2
27	Mapping Operation <27>		
28	Advance Operation <28>		
29	Open Operation <29>		
30	Open Operation <30>		
31	Inter Close Operation <31>		
32	Read Close Operation <32>		
33	calc_mean <33>	CPU Processor 0x1d00000000000003	2
34	Open Operation <34>		
35	calc_var <35>	CPU Processor 0x1d00000000000003	2
36	calc_mean <36>	CPU Processor 0x1d00000000000003	2
37	Open Operation <37>		
38	calc_var <38>	CPU Processor 0x1d00000000000003	2
39	calc_mean <39>	CPU Processor 0x1d00000000000003	2
40	Open Operation <40>		
41	calc_var <41>	CPU Processor 0x1d00000000000003	2
42	Mapping Operation <42>		
43	Read Close Operation <43>		
44	eval_samples <44>	CPU Processor 0x1d00000000000004	3
45	eval_samples <45>	CPU Processor 0x1d00000000000002	2
46	eval_samples <46>	CPU Processor 0x1d00000000000003	2
47	Advance Operation <47>		
48	Open Operation <48>		
49	eval_samples <49>	CPU Processor 0x1d00000000000001	2
50	eval_samples <50>	CPU Processor 0x1d00000000000004	3
51	eval_samples <51>	CPU Processor 0x1d00000000000002	2
52	Open Operation <52>		
53	eval_samples <53>	CPU Processor 0x1d00000000000003	2
54	Mapping Operation <54>		
55	Open Operation <55>		
56	Open Operation <56>		
57	Open Operation <57>		
58	Open Operation <58>		
59	Open Operation <59>		
60	Open Operation <60>		
61	Open Operation <61>		
62	Open Operation <62>		
63	Open Operation <63>		
64	Open Operation <64>		
65	Open Operation <65>		
66	Open Operation <66>		
67	Inter Close Operation <67>		
68	Read Close Operation <68>		
69	Mapping Operation <69>		
70	Mapping Operation <70>		
71	calc_mean <71>	CPU Processor 0x1d00000000000003	2
72	Open Operation <72>		
73	calc_var <73>	CPU Processor 0x1d00000000000003	2
74	calc_mean <74>	CPU Processor 0x1d00000000000003	2
75	Open Operation <75>		
76	calc_var <76>	CPU Processor 0x1d00000000000003	2
77	calc_mean <77>	CPU Processor 0x1d00000000000003	2
78	Open Operation <78>		
79	calc_var <79>	CPU Processor 0x1d00000000000003	2
80	Fence Operation <80>		
81	__dummy <81>	CPU Processor 0x1d00000000000003	2
82	Fence Operation <82>		
83	__dummy <83>	CPU Processor 0x1d00000000000003	2
84	Fence Operation <84>		
85	__dummy <85>	CPU Processor 0x1d00000000000003	2
86	Deletion Operation <86>		
