level	start	end	color	opacity	title	initiation	in	out	children	parents	prof_uid
3	40393	40423	#000000	1.0	Intersection						1184
3	41336	41338	#000000	1.0	Intersection						1185
3	42075	42076	#000000	1.0	Intersection						1186
3	66345	66347	#000000	1.0	Intersection						1187
3	66357	66357	#000000	1.0	Intersection						1188
3	66363	66363	#000000	1.0	Intersection						1189
3	66370	66370	#000000	1.0	Intersection						1190
3	66376	66376	#000000	1.0	Intersection						1191
3	66382	66382	#000000	1.0	Intersection						1192
3	66387	66387	#000000	1.0	Intersection						1193
3	66392	66393	#000000	1.0	Intersection						1194
3	66397	66398	#000000	1.0	Intersection						1195
3	66402	66403	#000000	1.0	Intersection						1196
3	66408	66408	#000000	1.0	Intersection						1197
3	66413	66414	#000000	1.0	Intersection						1198
3	66418	66419	#000000	1.0	Intersection						1199
3	66424	66424	#000000	1.0	Intersection						1200
3	66428	66429	#000000	1.0	Intersection						1201
3	66434	66434	#000000	1.0	Intersection						1202
3	66438	66439	#000000	1.0	Intersection						1203
3	66443	66444	#000000	1.0	Intersection						1204
3	66448	66449	#000000	1.0	Intersection						1205
3	66454	66454	#000000	1.0	Intersection						1206
3	66459	66460	#000000	1.0	Intersection						1207
3	66464	66465	#000000	1.0	Intersection						1208
3	66469	66470	#000000	1.0	Intersection						1209
3	66475	66475	#000000	1.0	Intersection						1210
3	66480	66480	#000000	1.0	Intersection						1211
3	66485	66486	#000000	1.0	Intersection						1212
3	66491	66491	#000000	1.0	Intersection						1213
3	66496	66497	#000000	1.0	Intersection						1214
3	66502	66502	#000000	1.0	Intersection						1215
3	66507	66507	#000000	1.0	Intersection						1216
3	66511	66511	#000000	1.0	Intersection						1217
3	66516	66517	#000000	1.0	Intersection						1218
3	66521	66522	#000000	1.0	Intersection						1219
3	66526	66527	#000000	1.0	Intersection						1220
3	66531	66531	#000000	1.0	Intersection						1221
3	66536	66537	#000000	1.0	Intersection						1222
3	66540	66541	#000000	1.0	Intersection						1223
3	66545	66546	#000000	1.0	Intersection						1224
3	66549	66550	#000000	1.0	Intersection						1225
3	66554	66555	#000000	1.0	Intersection						1226
3	66560	66561	#000000	1.0	Intersection						1227
3	66567	66567	#000000	1.0	Intersection						1228
3	66573	66573	#000000	1.0	Intersection						1229
3	66578	66579	#000000	1.0	Intersection						1230
3	66583	66584	#000000	1.0	Intersection						1231
3	66588	66589	#000000	1.0	Intersection						1232
3	66594	66595	#000000	1.0	Intersection						1233
3	66600	66600	#000000	1.0	Intersection						1234
3	66605	66606	#000000	1.0	Intersection						1235
3	66611	66611	#000000	1.0	Intersection						1236
3	66617	66617	#000000	1.0	Intersection						1237
3	66622	66623	#000000	1.0	Intersection						1238
3	66627	66627	#000000	1.0	Intersection						1239
3	66632	66632	#000000	1.0	Intersection						1240
3	66636	66637	#000000	1.0	Intersection						1241
3	66642	66642	#000000	1.0	Intersection						1242
3	66647	66647	#000000	1.0	Intersection						1243
3	66652	66652	#000000	1.0	Intersection						1244
3	66657	66658	#000000	1.0	Intersection						1245
3	66662	66663	#000000	1.0	Intersection						1246
3	66668	66668	#000000	1.0	Intersection						1247
3	66673	66673	#000000	1.0	Intersection						1248
3	66678	66678	#000000	1.0	Intersection						1249
3	66683	66684	#000000	1.0	Intersection						1250
3	66690	66690	#000000	1.0	Intersection						1251
3	66695	66695	#000000	1.0	Intersection						1252
3	66699	66701	#000000	1.0	Intersection						1253
3	66706	66706	#000000	1.0	Intersection						1254
3	66710	66711	#000000	1.0	Intersection						1255
3	66716	66721	#000000	1.0	Intersection						1256
3	66726	66727	#000000	1.0	Intersection						1257
3	66732	66733	#000000	1.0	Intersection						1258
3	66737	66738	#000000	1.0	Intersection						1259
3	66742	66743	#000000	1.0	Intersection						1260
3	66747	66748	#000000	1.0	Intersection						1261
3	66752	66752	#000000	1.0	Intersection						1262
3	66757	66758	#000000	1.0	Intersection						1263
3	66763	66763	#000000	1.0	Intersection						1264
3	66768	66769	#000000	1.0	Intersection						1265
3	66774	66774	#000000	1.0	Intersection						1266
3	66779	66780	#000000	1.0	Intersection						1267
3	66784	66785	#000000	1.0	Intersection						1268
