time	count
0.00	0.00
14143.00	0.12
14268.00	0.00
14598.00	0.12
14653.00	0.00
14691.00	0.12
14693.00	0.00
15011.00	0.12
15184.00	0.00
15221.00	0.12
15226.00	0.00
15261.00	0.12
15263.00	0.00
15418.00	0.12
15420.00	0.00
15421.00	0.12
15439.00	0.00
15444.00	0.12
15446.00	0.00
15533.00	0.12
15540.00	0.00
15587.00	0.12
15602.00	0.00
15612.00	0.12
15619.00	0.12
15625.00	0.00
15658.00	0.12
15660.00	0.00
15711.00	0.12
15749.00	0.00
15887.00	0.12
15889.00	0.00
15922.00	0.12
15923.00	0.00
15945.00	0.12
15946.00	0.00
15974.00	0.12
15976.00	0.00
16014.00	0.12
16031.00	0.25
16032.00	0.12
16034.00	0.00
16081.00	0.12
16091.00	0.25
16092.00	0.12
16098.00	0.00
16113.00	0.12
16114.00	0.00
16120.00	0.12
16122.00	0.00
16131.00	0.12
16158.00	0.25
16160.00	0.12
16660.00	0.00
16722.00	0.12
16723.00	0.00
23881.00	0.12
23905.00	0.00
23988.00	0.12
23990.00	0.00
24554.00	0.12
24559.00	0.00
25295.00	0.12
25545.00	0.25
25556.00	0.38
25575.00	0.25
25576.00	0.12
25581.00	0.25
25590.00	0.12
25609.00	0.25
25610.00	0.12
29528.00	0.38
29530.00	0.50
29531.00	0.38
29533.00	0.25
29535.00	0.12
29539.00	0.25
29540.00	0.25
29541.00	0.12
29554.00	0.25
29556.00	0.12
29567.00	0.25
29570.00	0.12
29590.00	0.25
29601.00	0.38
29603.00	0.25
29618.00	0.12
29619.00	0.25
29622.00	0.12
29628.00	0.25
29629.00	0.12
29645.00	0.25
29646.00	0.12
29664.00	0.25
29675.00	0.38
29676.00	0.25
29691.00	0.12
29692.00	0.25
29694.00	0.12
29715.00	0.25
29723.00	0.12
29726.00	0.12
29772.00	0.25
29776.00	0.12
29814.00	0.25
29815.00	0.12
29846.00	0.25
29849.00	0.12
29889.00	0.25
29893.00	0.12
29897.00	0.25
29899.00	0.12
29937.00	0.25
29940.00	0.12
29956.00	0.25
29972.00	0.12
29979.00	0.25
29982.00	0.12
30002.00	0.25
30004.00	0.12
30025.00	0.25
30026.00	0.12
30049.00	0.25
30050.00	0.12
30072.00	0.25
30073.00	0.12
30098.00	0.25
30099.00	0.12
30122.00	0.25
30137.00	0.12
30145.00	0.25
30150.00	0.12
30170.00	0.25
30172.00	0.12
30184.00	0.25
30185.00	0.12
30207.00	0.25
30209.00	0.12
30232.00	0.25
30234.00	0.12
30260.00	0.25
30262.00	0.12
30291.00	0.25
30293.00	0.12
30310.00	0.00
30318.00	0.12
30319.00	0.00
30348.00	0.12
30354.00	0.00
30365.00	0.12
30372.00	0.00
30388.00	0.12
30390.00	0.00
30408.00	0.12
30409.00	0.00
30424.00	0.12
30425.00	0.00
30443.00	0.12
30445.00	0.00
30463.00	0.12
30465.00	0.00
30491.00	0.12
30492.00	0.00
30517.00	0.12
30519.00	0.00
30539.00	0.12
30541.00	0.00
30567.00	0.12
30569.00	0.00
30598.00	0.12
30604.00	0.00
30616.00	0.12
30617.00	0.00
30644.00	0.12
30646.00	0.00
30664.00	0.12
30673.00	0.00
30684.00	0.12
30686.00	0.00
30713.00	0.12
30715.00	0.00
30740.00	0.12
30742.00	0.00
30775.00	0.12
30782.00	0.00
30798.00	0.12
30799.00	0.00
30826.00	0.12
30828.00	0.00
30857.00	0.12
30859.00	0.00
30877.00	0.12
30879.00	0.00
30908.00	0.12
30909.00	0.00
30930.00	0.12
30932.00	0.00
30957.00	0.12
30959.00	0.00
30981.00	0.12
