time	count
0.00	0.00
28317.00	0.00
57305.00	0.00
57537.00	0.00
71518.00	0.00
75293.00	0.00
78589.00	0.00
92884.00	0.00
92956.00	0.00
93098.00	0.00
93162.00	0.00
93307.00	0.00
93385.00	0.00
93643.00	0.00
93704.00	0.00
94878.00	0.00
94947.00	0.00
96055.00	0.00
96169.00	0.00
96537.00	0.00
96613.00	0.00
97413.00	0.00
97481.00	0.00
103597.00	0.00
103668.00	0.00
103922.00	0.00
103987.00	0.00
104314.00	0.00
104377.00	0.00
105231.00	0.00
105299.00	0.00
105787.00	0.00
105859.00	0.00
111337.00	0.00
111404.00	0.00
111647.00	0.00
111713.00	0.00
111985.00	0.00
112052.00	0.00
113116.00	0.00
113187.00	0.00
113647.00	0.00
113740.00	0.00
115083.00	0.00
115156.00	0.00
115656.00	0.00
115726.00	0.00
115966.00	0.00
116039.00	0.00
118740.00	0.00
118819.00	0.00
120019.00	0.00
120094.00	0.00
121076.00	0.00
121155.00	0.00
124305.00	0.00
124380.00	0.00
125299.00	0.00
125374.00	0.00
128359.00	0.00
128435.00	0.00
128883.00	0.00
128957.00	0.00
129247.00	0.00
129337.00	0.00
129584.00	0.00
129670.00	0.00
131594.00	0.00
131674.00	0.00
131869.00	0.00
131950.00	0.00
133597.00	0.00
133673.00	0.00
133974.00	0.00
134049.00	0.00
135664.00	0.00
135748.00	0.00
135950.00	0.00
136024.00	0.00
137198.00	0.00
137275.00	0.00
138157.00	0.00
138231.00	0.00
138468.00	0.00
138545.00	0.00
138874.00	0.00
138950.00	0.00
140251.00	0.00
140332.00	0.00
164329.00	0.00
196197.00	0.00
196522.00	0.00
196643.00	0.00
196734.00	0.00
196842.00	0.00
196933.00	0.00
197012.00	0.00
200919.00	0.00
201003.00	0.00
201091.00	0.00
201177.00	0.00
201273.00	0.00
201396.00	0.00
201487.00	0.00
201575.00	0.00
201672.00	0.00
201779.00	0.00
201880.00	0.00
201994.00	0.00
202085.00	0.00
202173.00	0.00
202277.00	0.00
202366.00	0.00
202462.00	0.00
202550.00	0.00
202645.00	0.00
202731.00	0.00
202834.00	0.00
202931.00	0.00
203058.00	0.00
203160.00	0.00
203261.00	0.00
203366.00	0.00
203533.00	0.00
203625.00	0.00
203732.00	0.00
203824.00	0.00
203931.00	0.00
204026.00	0.00
204111.00	0.00
204215.00	0.00
204317.00	0.00
204484.00	0.00
204597.00	0.00
208275.00	0.00
208340.00	0.00
208396.00	0.00
208452.00	0.00
208487.00	0.00
208570.00	0.00
208683.00	0.00
208748.00	0.00
208805.00	0.00
208917.00	0.00
208980.00	0.00
209077.00	0.00
209147.00	0.00
209204.00	0.00
209327.00	0.00
209395.00	0.00
209503.00	0.00
209558.00	0.00
209598.00	0.00
209713.00	0.00
209784.00	0.00
209841.00	0.00
209954.00	0.00
210018.00	0.00
210129.00	0.00
210179.00	0.00
210235.00	0.00
210339.00	0.00
210406.00	0.00
210463.00	0.00
210562.00	0.00
210628.00	0.00
210707.00	0.00
210799.00	0.00
210923.00	0.00
211007.00	0.00
211068.00	0.00
211130.00	0.00
211192.00	0.00
211252.00	0.00
211315.00	0.00
211385.00	0.00
211434.00	0.00
211488.00	0.00
220203.00	0.00
